#label	score
H10_MOUSE	NaN
CP2DA_MOUSE	NaN
PURB_MOUSE	NaN
HMCS1_MOUSE	NaN
RS13_MOUSE	NaN
CFAB_MOUSE	NaN
AGT2_MOUSE	NaN
ISC2A_MOUSE	NaN
ELOC_MOUSE	-13.6789
PHYD1_MOUSE	NaN
PIN4_MOUSE	NaN
RAB7A_MOUSE	NaN
ARPC4_MOUSE	NaN
RAB9A_MOUSE	NaN
CP4V2_MOUSE	NaN
DPM1_MOUSE	NaN
IF5A1_MOUSE	31.8877
DPH1_MOUSE	NaN
VPS25_MOUSE	NaN
PSME3_MOUSE	3.6428
G6PC_MOUSE	NaN
ASSY_MOUSE	NaN
TRXR2_MOUSE	NaN
AASD1_MOUSE	NaN
CPNE1_MOUSE	NaN
CEAM1_MOUSE	NaN
ADH1_MOUSE	NaN
DCMC_MOUSE	NaN
TTPA_MOUSE	NaN
EFTU_MOUSE	NaN
CH10_MOUSE	NaN
RAB18_MOUSE	NaN
D2HDH_MOUSE	NaN
MOSC2_MOUSE	NaN
DHB8_MOUSE	NaN
PTGR2_MOUSE	NaN
UBXN1_MOUSE	NaN
GANAB_MOUSE	NaN
EF1G_MOUSE	NaN
GLYAL_MOUSE	NaN
RL23_MOUSE	NaN
TEBP_MOUSE	NaN
NDUB6_MOUSE	NaN
RMD3_MOUSE	NaN
TOP1_MOUSE	NaN
CHCH2_MOUSE	NaN
SERPH_MOUSE	NaN
EIF3G_MOUSE	NaN
GMPPB_MOUSE	NaN
F16P1_MOUSE	NaN
PSB3_MOUSE	NaN
MARCS_MOUSE	NaN
IF2H_MOUSE	NaN
RT29_MOUSE	NaN
SBP2_MOUSE	NaN
CSDE1_MOUSE	NaN
DDRGK_MOUSE	NaN
LEG1_MOUSE	NaN
TM9S4_MOUSE	NaN
AAKG1_MOUSE	NaN
RLA0_MOUSE	NaN
XPO5_MOUSE	NaN
HMGB1_MOUSE	NaN
NU4M_MOUSE	NaN
ETHE1_MOUSE	NaN
MOCS1_MOUSE	NaN
PEPD_MOUSE	NaN
DPP3_MOUSE	NaN
RS15_MOUSE	NaN
LDHA_MOUSE	NaN
UFC1_MOUSE	NaN
COF2_MOUSE	NaN
ACADM_MOUSE	NaN
LMNB2_MOUSE	NaN
IAH1_MOUSE	NaN
U2AF1_MOUSE	NaN
COPZ1_MOUSE	NaN
AP2A1_MOUSE	NaN
SPB6_MOUSE	NaN
ATLA2_MOUSE	NaN
IF4A1_MOUSE	NaN
FPPS_MOUSE	NaN
NDUS8_MOUSE	NaN
ARHGC_MOUSE	NaN
RL11_MOUSE	NaN
SEPT9_MOUSE	NaN
IF4B_MOUSE	NaN
DHCR7_MOUSE	12.7326
C560_MOUSE	NaN
EST1C_MOUSE	NaN
RL38_MOUSE	NaN
RETST_MOUSE	NaN
CP3AB_MOUSE	NaN
EF1D_MOUSE	NaN
COPE_MOUSE	NaN
FBX6_MOUSE	NaN
DDX17_MOUSE	NaN
PDLI1_MOUSE	NaN
RT21_MOUSE	NaN
SIR5_MOUSE	NaN
CNN3_MOUSE	NaN
SC61B_MOUSE	-11.7035
A1CF_MOUSE	NaN
CBR1_MOUSE	NaN
BZW1_MOUSE	NaN
ATP5I_MOUSE	NaN
ECM29_MOUSE	NaN
GPD1L_MOUSE	NaN
SUOX_MOUSE	NaN
ZADH2_MOUSE	NaN
RL29_MOUSE	NaN
FABD_MOUSE	NaN
DLRB1_MOUSE	NaN
S26A1_MOUSE	NaN
HNRH2_MOUSE	NaN
ABCA6_MOUSE	NaN
S10AD_MOUSE	NaN
BHMT2_MOUSE	NaN
AMPB_MOUSE	NaN
CX6A1_MOUSE	NaN
LONM_MOUSE	NaN
TM205_MOUSE	NaN
SPEB_MOUSE	NaN
PCKGM_MOUSE	NaN
AMPL_MOUSE	NaN
KAT1_MOUSE	NaN
RL22L_MOUSE	NaN
SRRM2_MOUSE	NaN
VATG1_MOUSE	NaN
RS21_MOUSE	NaN
TM214_MOUSE	NaN
ASPD_MOUSE	NaN
HDHD3_MOUSE	NaN
NUFP2_MOUSE	NaN
ADH4_MOUSE	NaN
GNA1_MOUSE	NaN
FERM2_MOUSE	NaN
CB043_MOUSE	NaN
CLIC4_MOUSE	NaN
DDX1_MOUSE	NaN
F91A1_MOUSE	NaN
PROD2_MOUSE	NaN
SC24A_MOUSE	NaN
GALT_MOUSE	NaN
NDUA3_MOUSE	NaN
VAT1_MOUSE	NaN
ATP5H_MOUSE	NaN
NIPS1_MOUSE	NaN
RT17_MOUSE	NaN
SMYD5_MOUSE	NaN
QORL2_MOUSE	NaN
PEBP1_MOUSE	NaN
ILVBL_MOUSE	NaN
MAOX_MOUSE	NaN
HEM3_MOUSE	NaN
DCPS_MOUSE	NaN
AFG31_MOUSE	NaN
SYK_MOUSE	NaN
CK054_MOUSE	NaN
COX41_MOUSE	NaN
PROSC_MOUSE	NaN
OPHN1_MOUSE	NaN
GAS2_MOUSE	NaN
PTMS_MOUSE	NaN
GFPT1_MOUSE	NaN
GSTK1_MOUSE	NaN
5NT3A_MOUSE	NaN
GRPE1_MOUSE	NaN
LRC47_MOUSE	NaN
PTPRU_MOUSE	NaN
ARK72_MOUSE	NaN
NOL6_MOUSE	NaN
UFM1_MOUSE	NaN
GSHB_MOUSE	NaN
ARMC1_MOUSE	NaN
ZC3HF_MOUSE	NaN
DCAF8_MOUSE	NaN
GNL1_MOUSE	NaN
