#nodeA	nodeB	score1
APOH_MOUSE	MDHC_MOUSE	0
APOH_MOUSE	ACLY_MOUSE	0
APOH_MOUSE	IF2A_MOUSE	0
APOH_MOUSE	NTCP_MOUSE	0
APOH_MOUSE	TFR1_MOUSE	0
APOH_MOUSE	MUTA_MOUSE	0
APOH_MOUSE	CPT1A_MOUSE	0
APOH_MOUSE	LYPA1_MOUSE	0
APOH_MOUSE	ANT3_MOUSE	0
APOH_MOUSE	THRB_MOUSE	0
APOH_MOUSE	URIC_MOUSE	0
APOH_MOUSE	DCUP_MOUSE	0
APOH_MOUSE	ALBU_MOUSE	0
APOH_MOUSE	FAAA_MOUSE	0
APOH_MOUSE	OAT_MOUSE	0
APOH_MOUSE	ASAH1_MOUSE	0
APOH_MOUSE	HYOU1_MOUSE	0
APOH_MOUSE	ANXA2_MOUSE	0
APOH_MOUSE	LRP1_MOUSE	0
APOH_MOUSE	IMDH2_MOUSE	0
COX5A_MOUSE	DHSD_MOUSE	0
COX5A_MOUSE	CSN6_MOUSE	0
COX5A_MOUSE	CX6B1_MOUSE	0
DHSD_MOUSE	MCA3_MOUSE	0
DHSD_MOUSE	PON1_MOUSE	0
DHSD_MOUSE	DHSB_MOUSE	0
DHSD_MOUSE	DHSA_MOUSE	0
DHSD_MOUSE	HS90B_MOUSE	0
DHSD_MOUSE	PPID_MOUSE	0
DHSD_MOUSE	AT2A2_MOUSE	0
DHSD_MOUSE	PGDH_MOUSE	0
DHSD_MOUSE	APEX1_MOUSE	0
DHSD_MOUSE	RHOB_MOUSE	0
DHSD_MOUSE	C560_MOUSE	0
DHSD_MOUSE	RENT1_MOUSE	0
DHSD_MOUSE	BUB3_MOUSE	0
ODP2_MOUSE	ODB2_MOUSE	0
ODP2_MOUSE	ODO2_MOUSE	0
ODP2_MOUSE	ODPX_MOUSE	0
ODP2_MOUSE	ODO1_MOUSE	0
ODP2_MOUSE	DLDH_MOUSE	0
ODP2_MOUSE	PREP_MOUSE	0
ODP2_MOUSE	ODPB_MOUSE	0
ODP2_MOUSE	SUCB1_MOUSE	0
ODP2_MOUSE	ACON_MOUSE	0
ODP2_MOUSE	ODPA_MOUSE	0
ODP2_MOUSE	PDK2_MOUSE	0
ODP2_MOUSE	SUCA_MOUSE	0
MY18A_MOUSE	GOLP3_MOUSE	0
DDX3X_MOUSE	XPO1_MOUSE	0
DDX3X_MOUSE	EIF3E_MOUSE	0
DDX3X_MOUSE	IF4E_MOUSE	0
DDX3X_MOUSE	EIF3B_MOUSE	0
DDX3X_MOUSE	IF4A1_MOUSE	0
PPA5_MOUSE	SQSTM_MOUSE	0
PPA5_MOUSE	PAPS2_MOUSE	0
PPA5_MOUSE	PDCD5_MOUSE	0
PPA5_MOUSE	G6PC_MOUSE	0
PLAK_MOUSE	CTNB1_MOUSE	0
PLAK_MOUSE	SPTB2_MOUSE	0
PLAK_MOUSE	K1C18_MOUSE	0
PLAK_MOUSE	HEMH_MOUSE	0
PLAK_MOUSE	YBOX1_MOUSE	0
PLAK_MOUSE	GSTK1_MOUSE	0
PLAK_MOUSE	CTNA1_MOUSE	0
PLAK_MOUSE	MK14_MOUSE	0
RAB5B_MOUSE	RAB5C_MOUSE	0
RAB5B_MOUSE	PARK7_MOUSE	0
RAB5B_MOUSE	EEA1_MOUSE	0
RAC1_MOUSE	WDR1_MOUSE	0
RAC1_MOUSE	CDC42_MOUSE	0
RAC1_MOUSE	KINH_MOUSE	0
RAC1_MOUSE	GDIR1_MOUSE	0
RAC1_MOUSE	RHG01_MOUSE	0
RAC1_MOUSE	RBM39_MOUSE	0
RAC1_MOUSE	OPHN1_MOUSE	0
RAC1_MOUSE	VPS35_MOUSE	0
RAC1_MOUSE	HACD3_MOUSE	0
RAC1_MOUSE	NDUAD_MOUSE	0
RAC1_MOUSE	NPM_MOUSE	0
PSA_MOUSE	VDAC3_MOUSE	0
PSA_MOUSE	LKHA4_MOUSE	0
PSA_MOUSE	CATL1_MOUSE	0
PSA_MOUSE	ERAP1_MOUSE	0
PSA_MOUSE	TSN_MOUSE	0
PSA_MOUSE	AMPE_MOUSE	0
PSA_MOUSE	DNJA1_MOUSE	0
PSA_MOUSE	NLTP_MOUSE	0
PSA_MOUSE	TPP1_MOUSE	0
PSA_MOUSE	CCS_MOUSE	0
PSA_MOUSE	AMPN_MOUSE	0
PSA_MOUSE	AMPB_MOUSE	0
PSA_MOUSE	GUAD_MOUSE	0
PSA_MOUSE	MOCS1_MOUSE	0
SND1_MOUSE	NDUB7_MOUSE	0
PRS6A_MOUSE	PSMD4_MOUSE	0
PRS6A_MOUSE	CSN3_MOUSE	0
PRS6A_MOUSE	VP26A_MOUSE	0
PRS6A_MOUSE	ACACA_MOUSE	0
PRS6A_MOUSE	PRS8_MOUSE	0
PRS6A_MOUSE	PRS4_MOUSE	0
PRS6A_MOUSE	PSMD6_MOUSE	0
PRS6A_MOUSE	PRS10_MOUSE	0
PRS6A_MOUSE	NC2A_MOUSE	0
PRS6A_MOUSE	PSD13_MOUSE	0
PRS6A_MOUSE	THIO_MOUSE	0
PRS6A_MOUSE	PRS7_MOUSE	0
PRS6A_MOUSE	UGDH_MOUSE	0
PRS6A_MOUSE	PSMD9_MOUSE	0
PRS6A_MOUSE	PSMD8_MOUSE	0
PRS6A_MOUSE	PRS6B_MOUSE	0
PRS6A_MOUSE	ALG5_MOUSE	0
PRS6A_MOUSE	CTNA1_MOUSE	0
PRS6A_MOUSE	UB2L3_MOUSE	0
PRS6A_MOUSE	HNRPU_MOUSE	0
PRS6A_MOUSE	FBRL_MOUSE	0
PRS6A_MOUSE	ANM1_MOUSE	0
PRS6A_MOUSE	MK01_MOUSE	0
PRS6A_MOUSE	TRXR2_MOUSE	0
NDUA9_MOUSE	NDUS3_MOUSE	0
NDUA9_MOUSE	NDUS2_MOUSE	0
NDUA9_MOUSE	MDHM_MOUSE	0
NDUA9_MOUSE	SSRA_MOUSE	0
NDUA9_MOUSE	ATPO_MOUSE	0
MEP50_MOUSE	SMD1_MOUSE	0
COASY_MOUSE	CSAD_MOUSE	0
COASY_MOUSE	PCY2_MOUSE	0
COASY_MOUSE	KHK_MOUSE	0
COASY_MOUSE	K1C20_MOUSE	0
PDIP2_MOUSE	CLPP_MOUSE	0
PDIP2_MOUSE	PCNA_MOUSE	0
PDIP2_MOUSE	SBP1_MOUSE	0
CPNS1_MOUSE	DRG1_MOUSE	0
CPNS1_MOUSE	CPT1A_MOUSE	0
CPNS1_MOUSE	FINC_MOUSE	0
CPNS1_MOUSE	CAN2_MOUSE	0
CPNS1_MOUSE	AT2A2_MOUSE	0
CPNS1_MOUSE	GBB2_MOUSE	0
CPNS1_MOUSE	GAS2_MOUSE	0
CPNS1_MOUSE	MRP6_MOUSE	0
CPNS1_MOUSE	PGDH_MOUSE	0
CPNS1_MOUSE	MDR3_MOUSE	0
CPNS1_MOUSE	WNK1_MOUSE	0
CPNS1_MOUSE	MARCS_MOUSE	0
LEG9_MOUSE	APOE_MOUSE	0
LEG9_MOUSE	FINC_MOUSE	0
LEG9_MOUSE	REEP6_MOUSE	0
LEG9_MOUSE	LEG1_MOUSE	0
CD36_MOUSE	APOE_MOUSE	0
CD36_MOUSE	CATD_MOUSE	0
CD36_MOUSE	DHI1_MOUSE	0
CD36_MOUSE	RET4_MOUSE	0
CD36_MOUSE	SCRB2_MOUSE	0
