Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue
1433B_MOUSE,B6_T0_fasted - B6_T0_fed,0.022007761,0.047721242,0.461173263,297,0.645011848,0.739980041
1433E_MOUSE,B6_T0_fasted - B6_T0_fed,-0.097326635,0.151170795,-0.643819033,258,0.520264688,0.640110751
1433F_MOUSE,B6_T0_fasted - B6_T0_fed,-0.316037173,0.098915889,-3.195009169,257,0.001572926,0.005114874
1433G_MOUSE,B6_T0_fasted - B6_T0_fed,0.2275757,0.079125533,2.876134809,208,0.004444925,0.012644568
1433T_MOUSE,B6_T0_fasted - B6_T0_fed,0.112141753,0.08963393,1.251108289,283,0.211928248,0.330427703
1433Z_MOUSE,B6_T0_fasted - B6_T0_fed,0.048163944,0.0786219,0.612602132,209,0.540805415,0.658047976
2AAA_MOUSE,B6_T0_fasted - B6_T0_fed,-0.128290737,0.110003569,-1.166241595,251,0.244623704,0.367939758
2AAB_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
3BHS3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.096492268,0.071204948,-1.35513431,95,0.178588262,0.288767605
3BHS5_MOUSE,B6_T0_fasted - B6_T0_fed,-0.365862155,0.07641549,-4.787800917,181,3.49E-06,2.33E-05
3BHS7_MOUSE,B6_T0_fasted - B6_T0_fed,-0.091083209,0.102517561,-0.888464453,261,0.375109035,0.501698532
3HAO_MOUSE,B6_T0_fasted - B6_T0_fed,-0.212549512,0.049736468,-4.273514405,279,2.64E-05,0.000143692
3HIDH_MOUSE,B6_T0_fasted - B6_T0_fed,-0.14787099,0.073449759,-2.013226341,246,0.045180155,0.091559782
41_MOUSE,B6_T0_fasted - B6_T0_fed,-0.106936878,0.109203445,-0.979244548,100,0.329822292,0.459066043
4F2_MOUSE,B6_T0_fasted - B6_T0_fed,-0.305974003,0.194502416,-1.573111586,226,0.117091859,0.202179345
5NT3A_MOUSE,B6_T0_fasted - B6_T0_fed,0.873622178,0.164346216,5.315742576,35,6.17E-06,3.88E-05
6PGD_MOUSE,B6_T0_fasted - B6_T0_fed,-0.005324851,0.132411255,-0.040214488,197,0.967962853,0.980811917
6PGL_MOUSE,B6_T0_fasted - B6_T0_fed,-0.047376999,0.126040372,-0.375887491,240,0.707332578,0.793529261
A16A1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.323401423,0.116063482,-2.786418399,218,0.005799279,0.015739674
A1AT1_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
A1AT2_MOUSE,B6_T0_fasted - B6_T0_fed,1.315382236,0.116308896,11.30938632,220,0,0
A1AT4_MOUSE,B6_T0_fasted - B6_T0_fed,0.749175967,0.094032342,7.967215889,80,9.38E-12,1.83E-10
A1AT5_MOUSE,B6_T0_fasted - B6_T0_fed,0.57409853,0.193328464,2.969549942,30,0.005818139,0.015767501
A1CF_MOUSE,B6_T0_fasted - B6_T0_fed,-0.697774557,0.160872871,-4.337428375,120,3.02E-05,0.000162283
A2M_MOUSE,B6_T0_fasted - B6_T0_fed,0.589203446,0.160357288,3.674316604,149,0.000332007,0.001360708
A7L3B_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AAAD_MOUSE,B6_T0_fasted - B6_T0_fed,-0.217870914,0.089861369,-2.424522539,248,0.016043992,0.037828304
AACS_MOUSE,B6_T0_fasted - B6_T0_fed,-0.238646741,0.14086548,-1.69414637,231,0.091585245,0.165304601
AADAT_MOUSE,B6_T0_fasted - B6_T0_fed,0.239296926,0.135132084,1.770837234,245,0.077831137,0.145052536
AAKB1_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AAKG1_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AAPK2_MOUSE,B6_T0_fasted - B6_T0_fed,0.360264974,0.158281404,2.276104239,88,0.025266839,0.055769698
AASD1_MOUSE,B6_T0_fasted - B6_T0_fed,-1.058453054,0.107292337,-9.865131919,40,2.85E-12,6.30E-11
AASS_MOUSE,B6_T0_fasted - B6_T0_fed,0.045239234,0.098101557,0.461146948,274,0.64505902,0.739980041
AATC_MOUSE,B6_T0_fasted - B6_T0_fed,0.104277028,0.075797768,1.375726886,216,0.170331068,0.277428294
AATM_MOUSE,B6_T0_fasted - B6_T0_fed,-0.162406507,0.032835837,-4.946013938,216,1.52E-06,1.11E-05
ABCA6_MOUSE,B6_T0_fasted - B6_T0_fed,-2.602117437,0.370686212,-7.019730857,92,3.72E-10,5.24E-09
ABCBA_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ABCBB_MOUSE,B6_T0_fasted - B6_T0_fed,0.14339964,0.191571023,0.748545569,162,0.455216546,0.578333365
ABCD3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.168834393,0.063749351,-2.648409576,189,0.00877079,0.022624233
ABCE1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.180384333,0.13859897,-1.301483935,195,0.194628384,0.308976776
ABCF1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.081863518,0.096864924,-0.84513067,115,0.399792772,0.526542313
ABCG2_MOUSE,B6_T0_fasted - B6_T0_fed,0.087021395,0.139198364,0.625161048,180,0.532657102,0.650118461
ABD12_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ABHDB_MOUSE,B6_T0_fasted - B6_T0_fed,0.650020652,0.241241091,2.694485626,77,0.008650947,0.022417009
ABHEB_MOUSE,B6_T0_fasted - B6_T0_fed,-0.330040404,0.07860998,-4.198454267,239,3.79E-05,0.000199137
ABHGA_MOUSE,B6_T0_fasted - B6_T0_fed,-0.132758476,0.149489921,-0.888076436,60,0.378046012,0.50406135
ABI1_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ABRAL_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ACACA_MOUSE,B6_T0_fasted - B6_T0_fed,1.368252664,0.628570251,2.176769681,37,0.035952925,0.074932603
ACAD8_MOUSE,B6_T0_fasted - B6_T0_fed,-0.17457659,0.125961968,-1.385946829,275,0.166885956,0.272734229
ACAD9_MOUSE,B6_T0_fasted - B6_T0_fed,0.311696942,0.266630417,1.169022445,173,0.244002836,0.367609536
ACADL_MOUSE,B6_T0_fasted - B6_T0_fed,0.054882552,0.074874272,0.732996134,232,0.46430075,0.586267496
ACADM_MOUSE,B6_T0_fasted - B6_T0_fed,0.366548764,0.046598388,7.866125339,216,1.73E-13,4.41E-12
ACADS_MOUSE,B6_T0_fasted - B6_T0_fed,-0.034069528,0.058724808,-0.580155621,215,0.56241719,0.676969969
ACADV_MOUSE,B6_T0_fasted - B6_T0_fed,-0.050152471,0.093922563,-0.533976811,244,0.593843716,0.700980468
ACBD5_MOUSE,B6_T0_fasted - B6_T0_fed,0.925215023,0.274273149,3.373334313,71,0.001205833,0.004083338
ACBP_MOUSE,B6_T0_fasted - B6_T0_fed,-0.040927523,0.03277833,-1.248615268,216,0.213157437,0.330935953
ACD10_MOUSE,B6_T0_fasted - B6_T0_fed,-0.410236829,0.190725738,-2.150925376,161,0.032973709,0.069354576
ACD11_MOUSE,B6_T0_fasted - B6_T0_fed,0.249139978,0.10290452,2.421079056,234,0.016236497,0.038232986
ACDSB_MOUSE,B6_T0_fasted - B6_T0_fed,-0.051900987,0.101260296,-0.512550218,261,0.608699466,0.710731308
ACL6A_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ACLY_MOUSE,B6_T0_fasted - B6_T0_fed,-0.172350472,0.127452199,-1.352275393,139,0.178483218,0.288767605
ACO12_MOUSE,B6_T0_fasted - B6_T0_fed,-0.131991127,0.140337529,-0.940526228,201,0.348076634,0.47837689
ACOC_MOUSE,B6_T0_fasted - B6_T0_fed,-0.227733872,0.087959085,-2.589088706,208,0.010302491,0.025679134
ACOD1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.87302675,0.110609488,-7.892873995,40,1.11E-09,1.44E-08
ACON_MOUSE,B6_T0_fasted - B6_T0_fed,0.153649653,0.108639313,1.414309879,246,0.158535321,0.261930465
ACOT2_MOUSE,B6_T0_fasted - B6_T0_fed,1.771713045,0.111763274,15.85237244,130,0,0
ACOT4_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ACOX1_MOUSE,B6_T0_fasted - B6_T0_fed,0.18483602,0.069550641,2.657574624,296,0.008298006,0.021593674
ACOX2_MOUSE,B6_T0_fasted - B6_T0_fed,-0.186299501,0.115684166,-1.610414865,276,0.108450363,0.189220063
ACSA_MOUSE,B6_T0_fasted - B6_T0_fed,-0.536361757,0.238887268,-2.245250495,182,0.025955434,0.056946533
ACSF2_MOUSE,B6_T0_fasted - B6_T0_fed,0.079317071,0.250480716,0.316659393,208,0.751819643,0.829695501
ACSF3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.786582697,0.284286179,-2.766869284,118,0.006572351,0.017500796
ACSL1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.039306748,0.051865463,-0.757859771,210,0.449384536,0.572910557
ACSL3_MOUSE,B6_T0_fasted - B6_T0_fed,0.177208705,0.165387142,1.071478126,177,0.28541331,0.413668658
ACSL4_MOUSE,B6_T0_fasted - B6_T0_fed,-0.818533431,0.123761561,-6.613793708,100,1.87E-09,2.28E-08
ACSL5_MOUSE,B6_T0_fasted - B6_T0_fed,-0.520536874,0.130605127,-3.985577636,202,9.40E-05,0.000435954
ACSM1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.097564653,0.074184263,-1.315166441,212,0.189874689,0.303005602
ACSM3_MOUSE,B6_T0_fasted - B6_T0_fed,0.209408322,0.282642918,0.740893575,64,0.461467751,0.583443009
ACSM5_MOUSE,B6_T0_fasted - B6_T0_fed,-0.275524958,0.120635183,-2.283951929,160,0.02368937,0.052668599
ACSS3_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ACTBL_MOUSE,B6_T0_fasted - B6_T0_fed,-0.753005431,0.06270438,-12.0088171,130,0,0
ACTN1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.200245823,0.155751384,-1.285676046,137,0.200725075,0.317280705
ACTN4_MOUSE,B6_T0_fasted - B6_T0_fed,0.097429209,0.229744482,0.424076384,140,0.672161008,0.761062402
ACTZ_MOUSE,B6_T0_fasted - B6_T0_fed,0.677260941,0.195978955,3.455784022,40,0.001313605,0.004375498
ACY1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.127194997,0.126290737,-1.007160148,175,0.315248375,0.444599709
ACY2_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ACY3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.040491211,0.08622631,-0.469592297,212,0.639128959,0.735480059
ACYP1_MOUSE,B6_T0_fasted - B6_T0_fed,0.087895558,0.172373053,0.509914726,35,0.613311853,0.713842004
ADAS_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ADCK3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.254215952,0.116601496,-2.180211755,147,0.030832804,0.065681043
ADFP_MOUSE,B6_T0_fasted - B6_T0_fed,1.237048292,0.386540311,3.200308624,108,0.001802857,0.005744058
ADH1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.209248559,0.030850791,-6.782599474,216,1.11E-10,1.79E-09
ADH4_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ADHX_MOUSE,B6_T0_fasted - B6_T0_fed,-0.146179055,0.072263983,-2.022848025,214,0.044332822,0.090442905
ADK_MOUSE,B6_T0_fasted - B6_T0_fed,-0.139177514,0.042098063,-3.306031315,209,0.001113706,0.003820805
ADPRM_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ADRM1_MOUSE,B6_T0_fasted - B6_T0_fed,0.010952373,0.052692177,0.207855773,165,0.835597915,0.891502687
ADRO_MOUSE,B6_T0_fasted - B6_T0_fed,-0.264748818,0.149115312,-1.775463664,183,0.077483411,0.144551537
ADT2_MOUSE,B6_T0_fasted - B6_T0_fed,-0.107213363,0.037029379,-2.895359464,214,0.004179938,0.012021422
ADX_MOUSE,B6_T0_fasted - B6_T0_fed,-0.203294919,0.063372126,-3.20795485,216,0.001539952,0.005055898
AFG31_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AFG32_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AGFG1_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AGM1_MOUSE,B6_T0_fasted - B6_T0_fed,-1.952275855,0.127762125,-15.28055252,56,0,0
AGT2_MOUSE,B6_T0_fasted - B6_T0_fed,0.168565626,0.107272979,1.571370799,254,0.117341368,0.202419385
AHSA1_MOUSE,B6_T0_fasted - B6_T0_fed,0.140682716,0.093529125,1.504159441,151,0.13462905,0.22731836
AHSA2_MOUSE,B6_T0_fasted - B6_T0_fed,-1.214679932,0.144333936,-8.415761182,135,5.00E-14,1.48E-12
AIBP_MOUSE,B6_T0_fasted - B6_T0_fed,-0.046502534,0.091506758,-0.508186875,286,0.611714027,0.713049568
AIFM1_MOUSE,B6_T0_fasted - B6_T0_fed,0.140386481,0.084206999,1.667159302,241,0.09678167,0.17252288
AK1A1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.133401655,0.045991307,-2.900584143,216,0.00410982,0.011838349
AK1CD_MOUSE,B6_T0_fasted - B6_T0_fed,0.137746877,0.127028372,1.08437883,243,0.279271553,0.406374492
AK1D1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.075417841,0.083117037,-0.907369221,276,0.365003114,0.49313105
AK1E1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.600687233,0.113907438,-5.273468025,227,3.12E-07,2.47E-06
AKAP1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.027175667,0.243556426,-0.111578526,63,0.911512334,0.945042782
AKC1H_MOUSE,B6_T0_fasted - B6_T0_fed,-0.290596162,0.163994658,-1.771985542,90,0.079781302,0.147635702
AKTS1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.903627224,0.131423251,-6.875702861,80,1.23E-09,1.56E-08
AL1A1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.157784946,0.030235607,-5.218514193,216,4.22E-07,3.29E-06
AL1A7_MOUSE,B6_T0_fasted - B6_T0_fed,-1.406732947,0.207506521,-6.779222844,173,1.83E-10,2.79E-09
AL1B1_MOUSE,B6_T0_fasted - B6_T0_fed,0.281894665,0.099194278,2.84184401,242,0.004867847,0.013594353
AL3A2_MOUSE,B6_T0_fasted - B6_T0_fed,-0.271953517,0.081204142,-3.349010408,269,0.000926979,0.003336397
AL4A1_MOUSE,B6_T0_fasted - B6_T0_fed,0.149089578,0.06820696,2.185841115,178,0.030132702,0.064414365
AL7A1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.115818192,0.044203679,-2.620103012,289,0.009254879,0.023589038
AL8A1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.25039621,0.069405323,-3.607737846,261,0.000370097,0.001503367
AL9A1_MOUSE,B6_T0_fasted - B6_T0_fed,0.075615834,0.060608028,1.247620758,301,0.21313973,0.330935953
ALAT1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.129910569,0.094538262,-1.374158638,274,0.170515426,0.277428294
ALAT2_MOUSE,B6_T0_fasted - B6_T0_fed,0.3451836,0.138205109,2.497618235,166,0.013477081,0.032615604
ALBU_MOUSE,B6_T0_fasted - B6_T0_fed,1.53395313,0.059347333,25.84704402,213,0,0
ALD2_MOUSE,B6_T0_fasted - B6_T0_fed,-0.722713775,0.105113309,-6.875568667,136,2.04E-10,3.04E-09
ALDH2_MOUSE,B6_T0_fasted - B6_T0_fed,0.051711259,0.023910444,2.162705918,216,0.031662191,0.066980524
ALDOA_MOUSE,B6_T0_fasted - B6_T0_fed,-0.147916508,0.046305935,-3.194331537,286,0.001558204,0.005079414
ALDOB_MOUSE,B6_T0_fasted - B6_T0_fed,0.087525404,0.021034045,4.16113043,216,4.57E-05,0.000233572
ALDOC_MOUSE,B6_T0_fasted - B6_T0_fed,-0.178470609,0.11044328,-1.615948099,115,0.108845684,0.189548758
ALDR_MOUSE,B6_T0_fasted - B6_T0_fed,-0.104622037,0.115341585,-0.90706259,165,0.365696484,0.493703727
ALG2_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ALG5_MOUSE,B6_T0_fasted - B6_T0_fed,-0.060024566,0.055747176,-1.076728384,120,0.283761518,0.411926387
ALR_MOUSE,B6_T0_fasted - B6_T0_fed,0.207894003,0.118934658,1.747968226,189,0.082093404,0.150999112
AMACR_MOUSE,B6_T0_fasted - B6_T0_fed,-0.343369234,0.135535907,-2.533418943,214,0.012011806,0.029498162
AMBP_MOUSE,B6_T0_fasted - B6_T0_fed,0.514106126,0.135666987,3.789471111,30,0.000678686,0.002535013
AMPB_MOUSE,B6_T0_fasted - B6_T0_fed,-0.603738827,0.226585344,-2.664509612,86,0.00920574,0.023554353
AMPE_MOUSE,B6_T0_fasted - B6_T0_fed,-0.459690239,0.430023753,-1.068988017,80,0.28829001,0.416332564
AMPL_MOUSE,B6_T0_fasted - B6_T0_fed,-0.199355241,0.06814644,-2.925394805,289,0.003712936,0.010796982
AMPN_MOUSE,B6_T0_fasted - B6_T0_fed,0.64893606,0.234307083,2.769596428,255,0.006025072,0.016256159
AN32A_MOUSE,B6_T0_fasted - B6_T0_fed,-0.159447362,0.044508032,-3.58244015,120,0.00049282,0.001920948
AN32B_MOUSE,B6_T0_fasted - B6_T0_fed,-0.095809182,0.086998088,-1.101279176,219,0.271984085,0.398619875
ANM1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.359420817,0.212983806,-1.687549981,129,0.093914108,0.168932866
ANO6_MOUSE,B6_T0_fasted - B6_T0_fed,0.081772254,0.164070429,0.498397271,80,0.619571575,0.718128706
ANT3_MOUSE,B6_T0_fasted - B6_T0_fed,0.265628644,0.101090675,2.627627559,152,0.009479854,0.024020875
ANX11_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ANXA1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.211475705,0.110493589,-1.913918334,198,0.057072706,0.11158719
ANXA2_MOUSE,B6_T0_fasted - B6_T0_fed,0.003408395,0.055589634,0.061313492,203,0.951169869,0.97131728
