"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1433B_MOUSE","B6_T1_fed-B6_T0_fed",0.148325257807074,0.292083380751829,0.507818203915887,16,0.618509510287973,0.842429068096423
"1433E_MOUSE","B6_T1_fed-B6_T0_fed",-0.18723087569983,0.32598508697686,-0.574354113668766,200,0.56637362538871,0.809261571556525
"1433F_MOUSE","B6_T1_fed-B6_T0_fed",0.542889489472064,0.634589007183829,0.855497784119035,48,0.396525957237055,0.663925415509534
"1433G_MOUSE","B6_T1_fed-B6_T0_fed",0.434971768286191,0.342808362744436,1.26884818329378,121,0.206930678935389,0.430611227329291
"1433T_MOUSE","B6_T1_fed-B6_T0_fed",0.10295087285782,0.145209170941408,0.708983270067432,33,0.483313922113323,0.747380175298045
"1433Z_MOUSE","B6_T1_fed-B6_T0_fed",-0.174763582375274,0.338229195780209,-0.516701646562884,178,0.606005819397762,0.832903782060442
"2-Sep_MOUSE","B6_T1_fed-B6_T0_fed",-0.233172868557156,0.363461707444653,-0.641533519986181,8,0.539117771308936,0.791047954572208
"2AAA_MOUSE","B6_T1_fed-B6_T0_fed",-0.140127130741195,0.215385298861301,-0.650588185368358,107,0.516706937170802,0.774746489026451
"2ABA_MOUSE","B6_T1_fed-B6_T0_fed",0.311741867074822,0.17596021507154,1.771661093663,10,0.106864068177333,0.268574867883563
"3BHS7_MOUSE","B6_T1_fed-B6_T0_fed",0.25421145977246,0.281808896203099,0.902070385986861,15,0.381276460690307,0.647173524748059
"3HAO_MOUSE","B6_T1_fed-B6_T0_fed",2.42022635297883,0.736306421741625,3.28698254084779,47,0.00192064010034732,0.00955673340253462
"3HIDH_MOUSE","B6_T1_fed-B6_T0_fed",-0.251169204455998,0.690743044205793,-0.363621764363605,52,0.717614689714822,0.900041407402436
"4F2_MOUSE","B6_T1_fed-B6_T0_fed",-0.996114820507903,0.689337513657122,-1.44503207902214,24,0.161380036032329,0.35933621935476
"68MP_MOUSE","B6_T1_fed-B6_T0_fed",0.087574465453491,0.402969587136158,0.217322766404952,10,0.83232679854831,0.960796323113765
"6PGD_MOUSE","B6_T1_fed-B6_T0_fed",-0.0270703993131581,0.428875025810097,-0.0631195515803822,23,0.950216658694057,0.989256497383243
"6PGL_MOUSE","B6_T1_fed-B6_T0_fed",0.777437424255037,0.125413692532625,6.19898360821165,5,0.00159457170610633,0.00813099787328599
"7-Sep_MOUSE","B6_T1_fed-B6_T0_fed",-0.251303016457085,0.237780795545624,-1.05686843161758,27,0.299936599606597,0.550776434396638
"9-Sep_MOUSE","B6_T1_fed-B6_T0_fed",2.47959001780265,0.271880710572637,9.12013953685837,30,3.73521213958838e-10,9.40663628622871e-09
"A16L1_MOUSE","B6_T1_fed-B6_T0_fed",0.0418966598323252,0.0809881769406413,0.517318223659146,12,0.614336437172125,0.840417614014112
"AAAD_MOUSE","B6_T1_fed-B6_T0_fed",0.0418966598323265,0.118756733402414,0.352793973292926,15,0.729151359450146,0.904315654821454
"AACS_MOUSE","B6_T1_fed-B6_T0_fed",2.03567068412742,0.656363806128188,3.10143652821992,12,0.00916550251359016,0.0356789593115781
"AADAT_MOUSE","B6_T1_fed-B6_T0_fed",0.0790204414614029,1.19005804907173,0.0664004932558039,16,0.947881613149092,0.989256497383243
"AASS_MOUSE","B6_T1_fed-B6_T0_fed",0.334550899110977,1.09131742446174,0.306556911501696,10,0.765468509410852,0.930628709963538
"AATC_MOUSE","B6_T1_fed-B6_T0_fed",-0.63898556427428,0.17602622230763,-3.63005895313464,81,0.000494850385084789,0.00295450166890766
"AATM_MOUSE","B6_T1_fed-B6_T0_fed",0.38138218273528,0.214122624315773,1.78113912041749,279,0.0759775828858813,0.209745720986974
"ABCE1_MOUSE","B6_T1_fed-B6_T0_fed",-1.74494357890774,0.313348254527167,-5.56870368255539,10,0.000237817580113209,0.00155273488814656
"ABHEB_MOUSE","B6_T1_fed-B6_T0_fed",-1.6981962917577,2.05481935618488,-0.826445539675416,16,0.420705423707399,0.691278951870747
"ACACA_MOUSE","B6_T1_fed-B6_T0_fed",-0.821003353688277,0.0559971749635834,-14.6615138035481,8,4.59875797442777e-07,6.5986829540045e-06
"ACAD9_MOUSE","B6_T1_fed-B6_T0_fed",3.18428070654468,0.202547821318651,15.7211303770833,14,2.73014721940967e-10,7.16808865691816e-09
"ACADL_MOUSE","B6_T1_fed-B6_T0_fed",-0.746145502180756,0.339329313378076,-2.19888312846527,46,0.0329532440125695,0.104535483577148
"ACADM_MOUSE","B6_T1_fed-B6_T0_fed",-2.52021011628922,1.00646363844301,-2.50402500401104,17,0.0227595001566689,0.0775834894843356
"ACADS_MOUSE","B6_T1_fed-B6_T0_fed",2.76047792430465,0.599677349849617,4.60327195115325,47,3.17206384445878e-05,0.000268104574250831
"ACADV_MOUSE","B6_T1_fed-B6_T0_fed",-0.772305943468883,0.784965398435563,-0.983872594904297,56,0.329410003555525,0.595156580362397
"ACBP_MOUSE","B6_T1_fed-B6_T0_fed",0.901979557493279,0.932275518512634,0.967503210780767,91,0.335856884808134,0.602394470716915
"ACD11_MOUSE","B6_T1_fed-B6_T0_fed",0.0753834199059029,0.270205082773669,0.278985943314197,12,0.785005374445893,0.941396143893326
"ACLY_MOUSE","B6_T1_fed-B6_T0_fed",0.21052789799687,0.24284960190146,0.866906498295578,92,0.388248648945155,0.653613687310125
"ACOC_MOUSE","B6_T1_fed-B6_T0_fed",-1.60919467113348,0.262238778592759,-6.13637189651672,102,1.62645776846659e-08,3.08776751736581e-07
"ACON_MOUSE","B6_T1_fed-B6_T0_fed",0.383934281300306,0.251608517334035,1.52591925491376,130,0.129459235241374,0.30455077588797
"ACOX1_MOUSE","B6_T1_fed-B6_T0_fed",1.04689274589375,0.890193389816755,1.17602844266149,24,0.251117660160913,0.48393606095556
"ACOX2_MOUSE","B6_T1_fed-B6_T0_fed",-1.51533482150121,0.536375848481585,-2.82513619095814,19,0.0108142911702307,0.0408948521023367
"ACSA_MOUSE","B6_T1_fed-B6_T0_fed",-3.82284892854089,0.318130339903045,-12.0166122153139,15,4.24176116453623e-09,8.62316771722167e-08
"ACSF2_MOUSE","B6_T1_fed-B6_T0_fed",-2.09987847547661,0.284086415843754,-7.39168914233311,45,2.68461741725901e-09,5.81196121560985e-08
"ACSL1_MOUSE","B6_T1_fed-B6_T0_fed",2.20308582094193,0.829701005020173,2.65527678960491,129,0.00892322043240323,0.0350968871119487
"ACSL5_MOUSE","B6_T1_fed-B6_T0_fed",1.62881194897759,0.326937082492583,4.98203488132778,31,2.26124253115412e-05,0.000200746279384473
"ACSM1_MOUSE","B6_T1_fed-B6_T0_fed",-0.382564110627543,1.1501122542633,-0.332631975017598,26,0.742079236718175,0.914810967143085
"ACSM5_MOUSE","B6_T1_fed-B6_T0_fed",0.747356639569414,0.818041639251998,0.913592418416236,11,0.380519970835274,0.647173524748059
"ACTBL_MOUSE","B6_T1_fed-B6_T0_fed",-2.42346201073585,1.83118822962566,-1.32343686548884,12,0.210351285758992,0.434796460011048
"ACTN1_MOUSE","B6_T1_fed-B6_T0_fed",-0.0687809748823709,0.693310035753308,-0.0992066627272137,9,0.923148750853957,0.978857300189698
"ACTN4_MOUSE","B6_T1_fed-B6_T0_fed",0.225926351198291,0.233059829174104,0.969392074124949,142,0.333997853700866,0.600806634791354
"ACY3_MOUSE","B6_T1_fed-B6_T0_fed",0.0418966598323336,0.0925974658475138,0.452460112691718,15,0.657412429133419,0.869503684405829
"ADFP_MOUSE","B6_T1_fed-B6_T0_fed",0.0418966598323309,0.267597767093236,0.156565805041764,14,0.877822409320527,0.976765422093355
"ADH1_MOUSE","B6_T1_fed-B6_T0_fed",-5.11542264893432,1.92908692282769,-2.65173258312075,71,0.00986998415162432,0.0379425558975215
"ADH4_MOUSE","B6_T1_fed-B6_T0_fed",0.0418966598323331,0.152323379562446,0.275050750270134,14,0.787294815086765,0.942352174823125
"ADHX_MOUSE","B6_T1_fed-B6_T0_fed",-0.722722104900572,0.49826903190104,-1.45046562926694,64,0.151812290890045,0.344661781211434
"ADK_MOUSE","B6_T1_fed-B6_T0_fed",0.791113573283679,0.74082406868645,1.06788319484057,54,0.290324037354974,0.537927720864922
"ADT2_MOUSE","B6_T1_fed-B6_T0_fed",-0.835105466163003,0.182712820660174,-4.57059041147533,69,2.07355426558031e-05,0.000185573458463236
"ADX_MOUSE","B6_T1_fed-B6_T0_fed",-0.364595873566145,1.49920585292742,-0.243192669541824,9,0.813308409415983,0.956742208979336
"AEDO_MOUSE","B6_T1_fed-B6_T0_fed",0.0418966598323274,0.254521965110512,0.164609210895162,12,0.87199184600607,0.976440960046724
"AFG32_MOUSE","B6_T1_fed-B6_T0_fed",0.0366308267257728,0.391582523955023,0.0935456116779618,18,0.926503506176311,0.978857300189698
"AGT2_MOUSE","B6_T1_fed-B6_T0_fed",-0.269154122666162,1.06960018077158,-0.251639937525069,11,0.805958726442801,0.951994923676878
"AIBP_MOUSE","B6_T1_fed-B6_T0_fed",0.332041847305124,0.182255092820167,1.82185223011987,19,0.0842590336403803,0.225543703931083
"AIFM1_MOUSE","B6_T1_fed-B6_T0_fed",0.736951733938008,0.320435685908909,2.29984288999416,122,0.0231564878347981,0.0785030384289583
"AK1A1_MOUSE","B6_T1_fed-B6_T0_fed",0.0915282676603794,0.13251419234898,0.690705395685748,93,0.491471039363204,0.751928774999185
"AK1CD_MOUSE","B6_T1_fed-B6_T0_fed",-0.100454137609571,0.508228850836663,-0.197655322881022,91,0.843755591945927,0.964068889315994
"AK1D1_MOUSE","B6_T1_fed-B6_T0_fed",0.0418966598323318,0.467005584634206,0.0897134021751548,15,0.929701909554753,0.978884092483418
"AK1E1_MOUSE","B6_T1_fed-B6_T0_fed",0.563571955344978,0.333441410318601,1.6901678612938,11,0.119101922019065,0.288136218560486
"AKC1H_MOUSE","B6_T1_fed-B6_T0_fed",0.924026231436951,0.834761455657229,1.10693447232712,18,0.282896484423637,0.529733325916189
"AL1A1_MOUSE","B6_T1_fed-B6_T0_fed",0.589104755866893,0.299283312808218,1.96838490706093,305,0.0499291729237594,0.149183049365422
"AL1A7_MOUSE","B6_T1_fed-B6_T0_fed",2.75266976989634,0.29382129716423,9.36851683817102,9,6.14156554301637e-06,6.4226202373578e-05
"AL1B1_MOUSE","B6_T1_fed-B6_T0_fed",0.582699354351982,1.61107667926119,0.361683191031724,15,0.722633053051376,0.902002177022293
"AL3A2_MOUSE","B6_T1_fed-B6_T0_fed",0.55419885117552,0.401778278929795,1.37936488914165,4,0.239881145475322,0.472098606606054
"AL4A1_MOUSE","B6_T1_fed-B6_T0_fed",-0.262522867145374,0.379605568054385,-0.691567482771388,5,0.520000839212267,0.776937058122014
"AL7A1_MOUSE","B6_T1_fed-B6_T0_fed",-1.04440151570773,0.464889384698805,-2.24655918178123,111,0.0266468079196946,0.0888707053321708
"AL8A1_MOUSE","B6_T1_fed-B6_T0_fed",3.34550340195451,1.55515110841552,2.15124008454916,14,0.0494027573015443,0.147968452694431
"AL9A1_MOUSE","B6_T1_fed-B6_T0_fed",-0.712256890534448,0.177001036086443,-4.02402667398285,126,9.80483327710502e-05,0.00073328268266349
"ALAT1_MOUSE","B6_T1_fed-B6_T0_fed",0.0418966598323327,0.43873818953149,0.0954935331184011,14,0.925276240357417,0.978857300189698
"ALBU_MOUSE","B6_T1_fed-B6_T0_fed",0.390140420946199,0.568783894177299,0.685920302842798,217,0.493495542421993,0.752748454077551
"ALD2_MOUSE","B6_T1_fed-B6_T0_fed",0.00963693238953375,0.0841562095747328,0.1145124339396,21,0.909919409642068,0.978857300189698
"ALDH2_MOUSE","B6_T1_fed-B6_T0_fed",-0.0794513787409053,0.18513945543127,-0.429143418164587,313,0.668114084172119,0.875139788661968
"ALDOA_MOUSE","B6_T1_fed-B6_T0_fed",-0.476708838414622,0.295526113292697,-1.61308533145589,235,0.108068004179336,0.269951249306277
"ALDOB_MOUSE","B6_T1_fed-B6_T0_fed",0.460813225579661,0.789718962193662,0.583515462639551,256,0.560060080108323,0.806434234368344
"ALDR_MOUSE","B6_T1_fed-B6_T0_fed",1.32277883035683,0.531660675453322,2.48801329763379,117,0.01425408512513,0.0518865517534232
"ALR_MOUSE","B6_T1_fed-B6_T0_fed",0.898712732296786,0.144396094996646,6.22394069810309,12,4.42420941046962e-05,0.000366407678692584
"AMACR_MOUSE","B6_T1_fed-B6_T0_fed",-0.0467175012889205,0.87018293071014,-0.0536869888389965,13,0.95800081570516,0.989976765217362
"AMPL_MOUSE","B6_T1_fed-B6_T0_fed",1.01899344316711,0.297507238577198,3.42510470683119,208,0.000740325834127198,0.00415255490596801
"AN32A_MOUSE","B6_T1_fed-B6_T0_fed",-2.61379636240845,0.643321504548454,-4.06297060478814,12,0.00157330384569399,0.00805583794849119
"AN32B_MOUSE","B6_T1_fed-B6_T0_fed",-0.902632631966307,0.725757564668641,-1.24371095240106,6,0.259993056430587,0.495875473934071
"ANXA1_MOUSE","B6_T1_fed-B6_T0_fed",-0.244751867323635,0.498298836082801,-0.491174872587833,47,0.625588609619571,0.84553816458987
"ANXA2_MOUSE","B6_T1_fed-B6_T0_fed",-0.159865720810081,0.199361466450339,-0.801888768459195,132,0.424058547018119,0.694016242732572
"ANXA3_MOUSE","B6_T1_fed-B6_T0_fed",1.64103382547253,0.977882994771321,1.67814946598625,17,0.11160470060786,0.273797615407752
"ANXA4_MOUSE","B6_T1_fed-B6_T0_fed",-0.173551437224659,0.245109542650638,-0.708056631936307,155,0.479973481824515,0.743823831012884
"ANXA5_MOUSE","B6_T1_fed-B6_T0_fed",-0.235771630977709,0.258942444025258,-0.910517516219594,238,0.363470870380545,0.63261361643102
"ANXA6_MOUSE","B6_T1_fed-B6_T0_fed",3.92683331314006,0.596558227794393,6.58248118990568,13,1.76251377208558e-05,0.000161106814426193
"ANXA7_MOUSE","B6_T1_fed-B6_T0_fed",-0.325479894394078,0.229325097638961,-1.41929469449741,30,0.166120694798902,0.366713662579328
"AOFB_MOUSE","B6_T1_fed-B6_T0_fed",3.15363630371638,1.86741089172642,1.68877471888409,4,0.166531998893389,0.366764290986135
"AP1B1_MOUSE","B6_T1_fed-B6_T0_fed",0.14688718605428,0.306411326642802,0.479379100190746,10,0.641980015108592,0.858348855024749
"AP1G1_MOUSE","B6_T1_fed-B6_T0_fed",3.30222275015548,0.102382161062831,32.2538879417573,16,4.44089209850063e-16,4.21543142273059e-14
"AP2B1_MOUSE","B6_T1_fed-B6_T0_fed",0.250825735842823,1.01623455363501,0.246818743709939,18,0.807841533736375,0.952126506810589
"AP2M1_MOUSE","B6_T1_fed-B6_T0_fed",0.14566121889205,0.562978841964936,0.258733025176677,6,0.804488477416876,0.951994923676878
"AP3B1_MOUSE","B6_T1_fed-B6_T0_fed",-1.97180941280004,0.115848936876052,-17.0205222936979,13,2.87696089174005e-10,7.39618695918172e-09
"APEX1_MOUSE","B6_T1_fed-B6_T0_fed",0.506478840133908,0.192420035170277,2.63215231036474,27,0.0138581586097897,0.0508957372752395
"APOA1_MOUSE","B6_T1_fed-B6_T0_fed",1.42956034309019,0.619614271893061,2.3071778813657,17,0.0338975817843274,0.106708203882296
