B6_T0_FASTED	B6_T0_FED	B6_T1_FASTED	B6_T1_FED	B6_T2_FASTED	B6_T2_FED	S9_T0_FASTED	S9_T0_FED	S9_T1_FASTED	S9_T1_FED	S9_T2_FASTED	S9_T2_FED
1433B_MOUSE	19.0517652777124	18.7117671460547	18.6913421664075	18.8600924038617	18.7918007252762	18.8957550772827	18.8124480712955	18.7974997944784	19.1301546733524	18.7705810903053	18.7783782740462	19.4224576861116
1433E_MOUSE	18.9788221654101	19.1327940109445	19.1774423829404	18.9455631352447	19.4518956977746	19.0131799379984	18.9492063812747	18.9591378870845	18.8408150925674	19.3410539370121	19.1082798901875	18.8637144506717
1433F_MOUSE	17.8809227737403	18.0837607026367	18.0521695275787	18.6266501921087	17.6073732088507	17.8079269490167	18.8037683023312	18.4050357779761	18.9346872776783	17.7858833621858	17.8599718415639	18.327895408537
1433G_MOUSE	19.0930739056681	18.9638770157252	19.347298527583	19.3988487840114	19.2041607188563	19.3302888181827	19.2772994369892	19.2476371005624	19.1879827451052	19.0320575231239	19.0068494749714	19.4168089432519
1433T_MOUSE	18.9313536654485	19.0551221727282	19.0239926827709	19.158073045586	18.6912138512729	19.0142607988422	18.8281516707046	19.1359478346513	19.0673107259459	19.0795138852414	19.0642899266475	19.0412502971459
1433Z_MOUSE	19.24253686646	19.3953404016864	19.3134263336547	19.2205768193112	19.2557179989907	19.2054737554802	19.3211570400792	19.3314498047156	19.3374099195214	19.8606592852584	19.8521072511117	19.2267829367061
2-Sep_MOUSE	17.1023832136352	16.9356620784642	17.937346964389	16.702489209907	17.1856851272492	17.0873241877409	17.7317588542386	17.4325235461663	17.5190079857657	17.7182095672614	17.3085551509384	17.1915335020252
2AAA_MOUSE	19.0002642202035	18.9109682624501	18.9483275671885	18.7708411317089	19.0160229211483	19.2696602300106	19.1543479874031	18.855153007297	19.2655852202424	19.0589354224409	19.1097110430844	19.0138334776264
2ABA_MOUSE	16.5959806173464	17.5946114589318	18.480970842742	17.9063533260066	16.6015412271613	17.6644929571323	16.5559352044642	17.5381398809085	18.1889695053512	17.8961191373937	17.5467574222967	17.5467574222967
3BHS7_MOUSE	17.1296351284909	17.618014642477	16.8865153493819	17.8722261022494	16.8907785777759	16.9095029177267	15.5205479874226	16.9785951440066	19.8344840870932	16.8412667016999	16.8733762922122	16.9395578389431
3HAO_MOUSE	17.4554034015156	16.8215140913879	19.4104236877049	19.2417404443667	18.7971006445496	20.7063312854435	19.9461239209331	18.563910608302	18.8163944888661	18.1295101808334	20.211412654067	17.9846825816211
3HIDH_MOUSE	19.2925192267243	20.6343663125258	20.0721278245522	20.3831971080698	20.6448331052098	20.1263346479782	19.6772853390972	20.8450061264414	20.9143398143637	21.0229139807633	20.6162918055271	20.272877574165
4F2_MOUSE	16.5264948447528	17.453449085288	16.26801789256	16.4573342647801	17.1751655162901	17.13645563976	16.226675098257	16.7230837001258	16.6828044805511	16.4670792166494	19.3035210133346	16.5436461632065
68MP_MOUSE	18.5147674536969	19.3230115318993	16.4777687813571	19.4105859973528	19.5861445814487	19.8964040913558	16.436425987054	19.2518948691997	16.484924748152	20.3989895185418	20.084769511221	18.6988257860316
6PGD_MOUSE	19.8128548358849	19.805681748093	19.5644323130401	19.7786113487798	19.7847369825288	20.4330798892161	19.6956462744321	19.424541318957	19.6318818140892	19.6237746859873	19.3905162175118	19.0814966957516
6PGL_MOUSE	18.4669676700548	19.1570566607888	19.5843387365979	19.9344940850438	15.8162195054443	19.2457044739798	19.2537711097122	15.7222112497676	17.3876490158137	18.9414217196048	19.1166309399948	18.3912388930808
7-Sep_MOUSE	17.9903466081601	17.8073444279152	18.0623473385998	17.5560414114581	17.3644873673583	17.609060849588	18.0608935684312	17.6039000002156	17.4511821210901	17.258033989266	18.1516169170433	17.8597864491035
9-Sep_MOUSE	18.0474728516081	17.9737075838025	18.670113081734	20.4532976016052	18.1673525066607	18.1677685353662	18.9368928260654	18.0054649367211	18.4701103460386	17.9854264509109	18.4739732741998	17.8889093956986
A16L1_MOUSE	18.4869414826428	15.9997468177133	16.0252112883317	16.0416434775456	18.3889929160881	16.0481988566766	18.6226882648607	16.1172910829565	16.9909663673288	16.5712156224405	16.5712156224405	16.9909663673288
AAAD_MOUSE	19.9982866507912	16.595170165737	16.6206346363554	16.6370668255693	21.8176640129649	21.3603682810454	16.5792918420524	16.7127144309801	16.6277906031503	16.5753859886734	19.9864374491234	20.5169338267374
AACS_MOUSE	16.2809128401911	16.2567457509936	19.3122214850165	18.292416435121	17.8900421150909	16.3051977899568	18.7539351359203	18.6079834962792	17.3803188400841	16.23696157393	18.0727006854656	18.3011159142617
AADAT_MOUSE	17.121984836774	17.4553204016294	17.1232822181948	17.5343408430908	18.7623866010013	19.9292910290995	17.0819394238918	17.2153620128196	18.4737843747478	17.0780335705128	17.1101431610251	17.1763247077561
AASS_MOUSE	15.8291325117776	17.5484678009968	16.7559928237723	17.8830187001077	19.1494453690921	18.0165328383071	17.2175580136105	16.4883730205653	17.5752380460942	17.8443663753072	17.6049109051898	16.3802456658437
AATC_MOUSE	20.056140509348	20.4125525300363	20.3106276185447	19.773566965762	20.9390476524862	21.0159641728166	19.9439200696777	20.5034196467626	20.5096256046403	18.973956115621	19.8721895321267	20.3997309414685
AATM_MOUSE	22.4034762985123	21.7304341554669	21.3908263233067	22.1118163382022	21.8538821908519	21.9514711008156	22.4702422306968	22.1542814179794	22.3462823110592	22.0173057230093	21.7482693615292	22.4350363561353
ABCE1_MOUSE	17.1675783181181	18.1781163213208	17.7832292795675	16.4331727424131	17.4364334831196	18.6394950892274	18.0856821111981	16.9323068514951	17.175829949652	16.7825757319656	16.9564002652343	17.1194191089334
ABHEB_MOUSE	16.506828068487	19.086771308796	17.3929701075209	17.3885750170383	21.5586555573296	15.9014851215835	19.6646791315347	22.4459815870868	19.103818608824	21.5297503964928	20.951617417338	18.9238460721917
ACACA_MOUSE	16.7914928249304	17.1634074701192	17.0508884094259	16.3424041164309	18.834766616546	18.3220178049903	18.8847571232743	18.0652187573874	16.3331278940119	18.1867572162026	16.3128328700473	17.4972177560683
ACAD9_MOUSE	19.0069955149264	16.2542462791305	19.4658187706745	19.4385269856752	19.7741610385595	19.2447848376245	19.9731254559428	16.3717905443737	19.5117045960605	16.2344621020669	16.2665716925792	19.5269238934269
ACADL_MOUSE	20.9074900465031	20.6244003251393	21.1928180843758	19.8782548229585	19.2286109211614	21.0746170498042	20.6014183319912	20.7736794376872	19.8401076586149	21.0251676733416	20.9045710124981	20.6264836942955
ACADM_MOUSE	17.8669299278732	20.2754019795836	18.0535751352726	17.7551918632943	21.9872147132396	19.7286025597216	20.5017497015773	17.5699302230091	20.5780648758462	22.3947752618049	16.1848663781902	21.5343631306839
ACADS_MOUSE	21.7179163044024	18.3246941849945	20.8192227738709	21.0851721092991	19.9721457630626	20.3120527734286	20.221637279292	21.527167178548	21.4771241352167	21.6045556241209	20.5486141791879	19.7509002046943
ACADV_MOUSE	18.8829739797387	19.6457698932759	19.1240436404488	18.873463949807	20.1234994658085	19.8800585651611	19.6083545036603	20.821295369088	17.7635172626751	18.5077859563825	22.7601020549231	19.1371244305053
ACBP_MOUSE	20.7077845555633	21.7856551374298	21.7496071504078	22.6876346949231	20.5897986725741	21.8324097858632	22.2359636875644	21.7126317483949	22.3721501398613	20.5498498141062	21.7284325830271	22.4412981852467
ACD11_MOUSE	17.2210339384927	16.7543978101082	16.7798622807267	16.8297812300141	17.8515777385536	17.5353942956906	17.5497289896828	23.7486807826853	16.7870182475216	17.1497628259268	16.7667232235569	16.8329047702879
ACLY_MOUSE	18.3184787063741	18.5748430876428	18.4364022343305	18.7853709856396	18.448764257093	19.4996412602307	19.1074640186934	18.8187552706764	18.4534438890614	19.030895361535	18.2730913457075	19.1061656556413
