"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1433E_MOUSE","B6_T1_fed-B6_T0_fed",0.0989303254358888,0.020596686704243,4.80321552958849,245,2.72122051381274e-06,1.07093194414566e-05
"2AAA_MOUSE","B6_T1_fed-B6_T0_fed",0.136445161815597,0.0865378767617874,1.5767103021396,138,0.117151854543137,0.160590182632165
"AAKG1_MOUSE","B6_T1_fed-B6_T0_fed",-0.00405777296343734,0.558879998316397,-0.00726054425934229,17,0.994291497664635,0.994291497664635
"AAPK1_MOUSE","B6_T1_fed-B6_T0_fed",0.0519114032910854,0.0682041322819001,0.761118154491375,245,0.447318442506833,0.514838207413525
"ACACA_MOUSE","B6_T1_fed-B6_T0_fed",0.509387536573696,0.202038339566189,2.52124194678811,125,0.0129519425807019,0.0246896405444629
"ACADM_MOUSE","B6_T1_fed-B6_T0_fed",0.410717975296477,0.0713696935310092,5.75479527760653,221,2.87464223536205e-08,1.67003025101986e-07
"AKT1_MOUSE","B6_T1_fed-B6_T0_fed",0.702252743140836,0.399333501928675,1.75856205339432,44,0.0856057461245223,0.125830132857732
"AKT2_MOUSE","B6_T1_fed-B6_T0_fed",-0.0291341154822044,0.0422039792299107,-0.690316790355081,69,0.492310538816484,0.555933539303119
"ALDOA_MOUSE","B6_T1_fed-B6_T0_fed",0.0281214550175257,0.035814767307055,0.785191615973063,168,0.433447127860564,0.503624281895132
"ALDOB_MOUSE","B6_T1_fed-B6_T0_fed",0.807790301155444,0.266588068388587,3.03010673372667,291,0.00266428794363494,0.00590987507497204
"ALDOC_MOUSE","B6_T1_fed-B6_T0_fed",0.615524362171277,0.128217997099951,4.80060815246905,138,4.06066600300292e-06,1.54812891364486e-05
"ARHG6_MOUSE","B6_T1_fed-B6_T0_fed",0.14357209249901,0.0337511615988217,4.25384151827304,48,9.66986005159765e-05,0.00028773729909632
"CAB39_MOUSE","B6_T1_fed-B6_T0_fed",0.140949924683753,0.0492094728663881,2.86428438415619,167,0.0047163266657051,0.00975240429179697
"CAP1_MOUSE","B6_T1_fed-B6_T0_fed",0.115122304945026,0.200223322919046,0.574969505383603,50,0.567890292963531,0.61312049328806
"CATA_MOUSE","B6_T1_fed-B6_T0_fed",0.219486327705057,0.0966447061831292,2.27106415212395,184,0.0243013638952032,0.0435995058119822
"CBL_MOUSE","B6_T1_fed-B6_T0_fed",0.141673694915835,0.176855554319296,0.801070090566997,44,0.42739581501301,0.501368167611416
"CBP_MOUSE","B6_T1_fed-B6_T0_fed",-2.40230728776111,0.292579514945015,-8.21078429982557,16,3.95091126481617e-07,1.8538891319522e-06
"CISY_MOUSE","B6_T1_fed-B6_T0_fed",0.253394008423846,0.127785830145941,1.98295858104495,260,0.0484243090632968,0.0767242299444442
"CP2E1_MOUSE","B6_T1_fed-B6_T0_fed",0.286812586769411,0.0591580773063195,4.84824050795803,299,2.00558907303972e-06,8.43730575554639e-06
"CPT1A_MOUSE","B6_T1_fed-B6_T0_fed",0.571057699444912,0.0432964023394584,13.1894953988931,72,0,0
"CRK_MOUSE","B6_T1_fed-B6_T0_fed",0.210189711479121,0.101419919217172,2.07246971898133,267,0.0391813232085187,0.0673256539639336
"CRTC2_MOUSE","B6_T1_fed-B6_T0_fed",0.100072891871389,0.0782710572089662,1.27854273903848,91,0.204309343524451,0.256966390824567
"CTNB1_MOUSE","B6_T1_fed-B6_T0_fed",0.0648401550755651,0.0444755931689828,1.4578817381751,44,0.151974313514473,0.195167013144902
"DHB4_MOUSE","B6_T1_fed-B6_T0_fed",0.728071377648676,0.0339974612740077,21.415463107103,248,0,0
"DLDH_MOUSE","B6_T1_fed-B6_T0_fed",0.156767343936703,0.143014680871112,1.09616259660772,209,0.274269092048979,0.334608292299754
"ECHB_MOUSE","B6_T1_fed-B6_T0_fed",0.247497734203915,0.145182278305958,1.70473791355125,342,0.0891514644462061,0.129481888838537
"EIF3E_MOUSE","B6_T1_fed-B6_T0_fed",0.155935850218464,0.044751162578593,3.48450947938181,160,0.000636228851984555,0.0015918877760874
"ENOA_MOUSE","B6_T1_fed-B6_T0_fed",0.30460799665553,0.0435118692180294,7.00057253640837,110,2.11871187261181e-10,1.61551780286651e-09
