B6_T0_FASTED	B6_T0_FED	B6_T1_FASTED	B6_T1_FED	B6_T2_FASTED	B6_T2_FED	S9_T0_FASTED	S9_T0_FED	S9_T1_FASTED	S9_T1_FED	S9_T2_FASTED	S9_T2_FED
1433B_MOUSE	13.8804076206944	13.8975219967362	13.4961852407804	13.5910205625458	13.7034711899226	13.608903729422	13.913199355563	13.90768813894	13.8058203615078	13.5506107868024	13.4998753665278	13.6123047360869
1433E_MOUSE	14.3454611803795	14.4517210556441	14.4727490914636	14.3547283934964	14.7207193796892	14.6429882220148	14.4889774827213	14.5999448814636	15.083581657752	14.7727025167238	14.5700848237363	14.6643238692923
1433F_MOUSE	12.5584839052478	12.8745210785555	12.1089822477379	12.371980021477	12.1176795839862	12.2097390947736	12.8382795190095	12.7922527490956	12.3387673181282	12.5024146139083	11.9655460787023	12.2228869801821
1433G_MOUSE	14.3618378835206	14.134262183888	13.6450837003362	13.8049173812854	14.1973970471103	14.075100983772	14.2653945704585	14.4344381965358	13.5839369554537	13.7160596012508	13.8739870921522	13.9642205650218
1433T_MOUSE	13.233764876834	13.1216231239612	13.0999541693405	13.1359227099698	13.2730721214673	13.2395762746959	13.2578082977786	13.3537684391596	13.2993188160214	13.1933053118172	13.1666794470642	13.1283805035552
1433Z_MOUSE	15.1639342179876	15.1537793524423	14.8318746328159	15.0545235286817	15.1687582485453	15.1523843179115	15.1254284419964	15.1639356976176	15.1736288361477	15.0886091941971	14.9638874478957	15.1398073212535
2AAA_MOUSE	13.4125777562776	13.5408684936172	13.3709790199869	13.5360508857985	13.3173867099408	13.1931036631781	13.502040705384	13.4599598997347	13.4657311061342	13.6211678434838	13.2576918979663	13.1699389598497
2AAB_MOUSE	0	12.809414497463	12.5928503553825	13.1956929665652	10.9185107213864	11.6552653760187	0	13.0270379420317	12.7424901789045	11.7862615101321	12.1645889265845	0
3BHS3_MOUSE	12.3659561286146	12.4624483964445	12.1796522804929	12.2766925707217	12.2692501054721	12.604902912095	11.050397217947	11.7427811078591	11.7316186964568	11.5721454392203	11.9864246547326	11.9849717832808
3BHS5_MOUSE	12.9237621766308	13.2896243316957	12.5434461392478	12.9615793908947	12.4799444361845	12.0938326009281	12.2917778972449	12.6534997487092	12.5681279366332	12.6986510713204	12.5276730884768	12.9890223786683
3BHS7_MOUSE	11.5573768157432	11.5098401347927	11.90371164881	12.052438400206	11.7667433605361	12.0552705113478	11.6341619378488	11.3424322210067	11.7561846126645	11.6143796671702	12.0945509909658	12.0643987255372
3HAO_MOUSE	16.0038188245732	16.2163683370333	16.3128837996115	16.3849309234701	16.1859239085206	16.0757001535736	15.6573331434794	15.8590419385985	16.1299024835002	15.7351666796027	15.8316486088267	15.6194156534936
3HIDH_MOUSE	14.5490417236314	14.7279507002509	14.6844095141022	14.5358072985539	14.5568555124446	14.5413959911795	14.5549566688472	14.4432936099658	14.7537023027415	14.5285992804225	14.7405163891912	14.6861611326587
41_MOUSE	10.1325660633894	10.2395029411579	9.40690638528647	10.0890947102414	0	10.0116926940119	10.2680671975027	10.258253224107	10.8489973436872	0	10.0336717406442	10.6590260036501
4F2_MOUSE	12.4334882744707	12.7394622778838	12.8153592252779	12.3446978177266	12.2506608457306	12.2147990001692	12.722512290338	12.9383908972577	12.1535206418721	12.833526852229	11.7943216451455	11.9867512240485
5NT3A_MOUSE	10.8695337636817	9.99591158603583	0	0	0	8.16475966800985	0	11.1968590390012	8.73025738866305	0	0	0
6PGD_MOUSE	13.1346011978237	13.0245187511488	13.0843738990421	13.1419573971355	13.6620743070432	13.5425063198908	12.9154034854488	13.1230504198945	13.2691363204653	13.030404411069	13.1564356811746	13.1984886238455
6PGL_MOUSE	14.4142525741599	14.4813789825	14.2427746466109	14.5921129344922	14.43975011186	14.3531336698956	13.9805897435576	14.374361162016	14.2660722166182	14.2049654067933	14.0934092689149	14.3157631779148
A16A1_MOUSE	12.1261491690644	12.4495505917156	12.3789807627462	12.4104637976567	12.5858420676399	12.5060304722161	11.6880486965951	12.1847953569177	12.0258164703911	11.9585360907236	12.4276564972013	12.3036258170627
A1AT1_MOUSE	11.6626413414755	0	0	0	11.2052339079752	10.4491984217171	0	0	0	0	0	0
A1AT2_MOUSE	13.7486288444932	12.4332466080834	12.6442620027619	12.8864642668718	13.29017538964	12.7757817591281	12.9975691689888	12.5825056889338	11.7857003779811	13.2326679196595	12.4044501029445	13.2127271533159
A1AT4_MOUSE	12.6630956446167	11.9139196772463	0	11.9912545210099	12.4842942850611	11.7679573376997	11.4592487078919	11.0095200194307	0	0	0	0
A1AT5_MOUSE	12.8213161246903	12.2472175950718	0	0	9.00633642777638	0	8.60493801862011	0	0	0	0	0
A1CF_MOUSE	11.7289588929254	12.4969198023809	12.801295716339	12.6759797943125	12.6584997754012	12.6787486715641	12.4624073852654	12.5795611809157	12.7994819265908	12.5298822174806	12.905857701365	12.9244996619694
A2M_MOUSE	14.4676636568211	13.9662998714561	13.3740756327234	13.9181474907303	14.1000563013076	14.1436008457947	14.1153333458273	13.9911177328287	14.2662475057062	13.4499877948519	14.4444988474767	14.1745229693232
A7L3B_MOUSE	10.9620988204745	0	10.7753721314204	10.4545946858007	0	0	0	9.88221234825296	0	0	0	0
AAAD_MOUSE	14.2792908460104	14.410338523735	14.3317042885304	14.3818617296009	14.4203412210182	14.3736866584546	13.6316302451488	13.8810218595253	14.0472552240486	13.918290596001	14.1038859590269	13.8022887905891
AACS_MOUSE	12.1284975468881	12.3671442882375	12.4109268998722	12.5128557310015	12.6094163810489	12.5289131589848	12.2082606000565	12.3515853715485	12.3566162030034	12.3204050135707	12.627258060632	12.3976732348874
AADAT_MOUSE	12.7291918803535	12.4898949541929	12.8489328162077	12.8802822769331	12.7250527881066	12.3982006654978	12.4373769540372	12.6968275603637	13.1700898554373	14.0032447087068	13.4528009024202	13.9699194932303
AAKB1_MOUSE	0	9.90145787410467	0	9.55250294659311	9.79336404832348	10.0838396512248	0	0	9.58955822129971	9.23890620078519	9.00101882576419	9.17970137702798
AAKG1_MOUSE	0	10.2442874686071	0	0	11.4002258667671	10.7708498763405	0	12.1638094406355	0	0	0	0
AAPK2_MOUSE	8.53010668917629	8.16984171529434	8.3401629125066	7.76010103573918	8.46621075242187	8.30093531564515	8.22523950411807	8.06762350355067	6.94940149100636	7.52332008607541	8.338140088926	7.8429134452788
AASD1_MOUSE	8.10945703124801	9.16791008532003	9.39179933445678	9.49726100570549	0	9.03883682978614	0	9.22921454304086	0	9.54373332110383	0	0
