"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"1","1433B_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.216058567518863,0.0477212415918436,-4.5275135413868,297,8.64882679429968e-06,3.75032252180466e-05
"7","1433E_MOUSE","B6_T2_fasted-B6_T0_fasted",0.366324959000652,0.159230809641122,2.30059094610072,258,0.022212852452637,0.0443522335079666
"13","1433F_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.440804321261569,0.125758996093767,-3.50515140032528,257,0.000538261448976618,0.00161656962536759
"19","1433G_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.164440836410314,0.0791255329602758,-2.07822722019288,208,0.0389155032590347,0.0721350833184359
"25","1433T_MOUSE","B6_T2_fasted-B6_T0_fasted",0.039307244633303,0.0896339300450466,0.438530862292312,283,0.661336080903422,0.745753202064817
"31","1433Z_MOUSE","B6_T2_fasted-B6_T0_fasted",0.00482403055769583,0.0775521647657002,0.0622036866703869,209,0.950460072938893,0.970160327209079
"37","2AAA_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0951910463368766,0.109639358634498,-0.86821965690453,251,0.386103451321646,0.497321017314012
"43","2AAB_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"49","3BHS3_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.096706023142509,0.0712049478010372,-1.3581362830674,95,0.177637200562239,0.265868570428276
"55","3BHS5_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.54521705397954,0.0854351155434739,-6.38165057203095,181,1.42593070684427e-09,1.07040680497417e-08
"61","3BHS7_MOUSE","B6_T2_fasted-B6_T0_fasted",0.347986434888141,0.101157234093647,3.4400548611876,261,0.000676956847168508,0.00200321707552642
"67","3HAO_MOUSE","B6_T2_fasted-B6_T0_fasted",0.182105083947412,0.0502912607105056,3.62100852861243,279,0.00034846236022279,0.00109180853696103
"73","3HIDH_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0662715296862465,0.0708981148031072,0.934743185630403,246,0.350837297962765,0.462506559336422
"79","41_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"85","4F2_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.182827428740068,0.230070742235819,-0.794657447371873,226,0.427646484638744,0.534484322761053
"91","5NT3A_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"97","6PGD_MOUSE","B6_T2_fasted-B6_T0_fasted",0.67508705633835,0.121440184571384,5.55900881344201,197,8.74388068616838e-08,5.15803515395796e-07
"103","6PGL_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0254975377000964,0.11086853006044,0.22997993827641,240,0.81830325265443,0.865623358970312
"109","A16A1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.45969289857549,0.116788319673497,3.93612049441797,218,0.000111386499289212,0.000397871696672117
"115","A1AT1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.457407433500317,0.0633608420638932,-7.21908703547636,35,1.99683878321366e-08,1.28693061793592e-07
"121","A1AT2_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.619660130655349,0.128508394387891,-4.82194282799114,220,2.65232139540217e-06,1.27748777847695e-05
"127","A1AT4_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.178801359555637,0.105131354129778,-1.70074247626372,80,0.0928757298294993,0.152907224292021
"133","A1AT5_MOUSE","B6_T2_fasted-B6_T0_fasted",-3.81497969691391,0.244543313357669,-15.6004253174329,30,6.66133814775094e-16,1.18271405740951e-14
"139","A1CF_MOUSE","B6_T2_fasted-B6_T0_fasted",0.743219286902055,0.164352499781831,4.52210515744292,120,1.44770912524628e-05,6.05496818896307e-05
"145","A2M_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.45544701659525,0.158911668942739,-2.86603884803048,149,0.00475829649078108,0.011489699926406
"151","A7L3B_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"157","AAAD_MOUSE","B6_T2_fasted-B6_T0_fasted",0.227873610839341,0.089318982461765,2.55123384255846,248,0.0113355795580881,0.024526564611347
"163","AACS_MOUSE","B6_T2_fasted-B6_T0_fasted",0.44360920024335,0.147703854804591,3.0033691458509,231,0.0029640019432986,0.00753905550465416
"169","AADAT_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.122664068391406,0.164769521219556,-0.744458486518001,245,0.457312602067875,0.564933917015636
"175","AAKB1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"181","AAKG1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"187","AAPK2_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0638959367544163,0.173388590483729,-0.36851292565535,88,0.713375857778392,0.782036124961664
"193","AASD1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"199","AASS_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.303429518871852,0.106232860469863,-2.8562679902414,274,0.00461475054306715,0.0112178701120733
"205","AATC_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.31080404272293,0.0757977682388079,-4.10043791452689,216,5.83923368613348e-05,0.000218038189805933
"211","AATM_MOUSE","B6_T2_fasted-B6_T0_fasted",0.232265463252941,0.0328358369965601,7.07353563965107,216,2.07234229776532e-11,2.00695823596417e-10
"217","ABCA6_MOUSE","B6_T2_fasted-B6_T0_fasted",1.20955875348499,0.243830621222777,4.96065156795821,92,3.20308013490589e-06,1.52251394338965e-05
"223","ABCBA_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"229","ABCBB_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.210568882290794,0.198936374014478,-1.05847351111099,162,0.29141533214659,0.397404492859544
"235","ABCD3_MOUSE","B6_T2_fasted-B6_T0_fasted",0.726955478548638,0.0637493513496009,11.4033392208498,189,0,0
"241","ABCE1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0557938451346233,0.104521716041696,-0.533801464878033,195,0.594086863651533,0.689232101263886
"247","ABCF1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"253","ABCG2_MOUSE","B6_T2_fasted-B6_T0_fasted",0.397655130101279,0.17183019128052,2.31423318066433,180,0.0217841663354517,0.0436406252582997
"259","ABD12_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"265","ABHDB_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.308134244187099,0.201951280285288,-1.52578504950209,77,0.131160623795983,0.205477413230558
