"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue"
"271","ABHEB_MOUSE","B6_T2_fasted-B6_T0_fasted",0.395515324165182,0.0908858059849717,4.35178320617614,239,2.00211445893217e-05,8.09336894001375e-05
"277","ABHGA_MOUSE","B6_T2_fasted-B6_T0_fasted",-1.45212944963171,0.136465002893518,-10.6410392323429,60,1.77635683940025e-15,2.92452930559441e-14
"283","ABI1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"289","ABRAL_MOUSE","B6_T2_fasted-B6_T0_fasted",0.635717230102306,0.131390909989538,4.83836537971254,105,4.51147047186851e-06,2.08958389374779e-05
"295","ACACA_MOUSE","B6_T2_fasted-B6_T0_fasted",-1.41107918461639,0.560873313460434,-2.51586080270145,37,0.0163433523220124,0.0338260697773309
"301","ACAD8_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.596918289313595,0.119137814806483,-5.01031759129691,275,9.73685348348852e-07,5.06708093637865e-06
"307","ACAD9_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0751421562032749,0.21616108403348,0.347621111076759,173,0.728547317166283,0.791846886754798
"313","ACADL_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0200146637490746,0.0727525511272738,-0.275106005754503,232,0.78347964368661,0.837592464413489
"319","ACADM_MOUSE","B6_T2_fasted-B6_T0_fasted",0.264653593418733,0.0465983884265861,5.67945807472899,216,4.33198790172895e-08,2.64149161280509e-07
"325","ACADS_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0400324530515852,0.0587248081025314,0.681695766152016,215,0.496165008342389,0.599836335185626
"331","ACADV_MOUSE","B6_T2_fasted-B6_T0_fasted",0.063457283050521,0.0978624258755021,0.648433578902383,244,0.517314324058808,0.619613915919644
"337","ACBD5_MOUSE","B6_T2_fasted-B6_T0_fasted",-1.06231547356631,0.333903209764969,-3.18150722274896,71,0.0021736387307083,0.00578041078019492
"343","ACBP_MOUSE","B6_T2_fasted-B6_T0_fasted",0.335418965139469,0.0327783301480114,10.2329485249821,216,0,0
"349","ACD10_MOUSE","B6_T2_fasted-B6_T0_fasted",0.253073233591501,0.228573548876488,1.10718512634308,161,0.269865349178387,0.375365704579154
"355","ACD11_MOUSE","B6_T2_fasted-B6_T0_fasted",0.624311174476502,0.0978180833120619,6.38236973510111,234,9.26250187660571e-10,7.26164108161599e-09
"361","ACDSB_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.14697654851333,0.105082702384046,-1.39867499768111,261,0.16309759505749,0.248001464860718
"367","ACL6A_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"373","ACLY_MOUSE","B6_T2_fasted-B6_T0_fasted",0.48809038181519,0.103041783352638,4.73682001547671,139,5.29708263807827e-06,2.40667742496017e-05
"379","ACO12_MOUSE","B6_T2_fasted-B6_T0_fasted",0.00415340449072214,0.131889330403154,0.031491588273488,201,0.974908748366211,0.981411752802228
"385","ACOC_MOUSE","B6_T2_fasted-B6_T0_fasted",0.388000551986191,0.0879590845607007,4.41114813693214,208,1.64915283145106e-05,6.85003618751806e-05
"391","ACOD1_MOUSE","B6_T2_fasted-B6_T0_fasted",1.00242899766618,0.110609487881155,9.06277586913015,40,3.04734015799113e-11,2.90459632953786e-10
"397","ACON_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.348504356062783,0.10918401275575,-3.19189913675734,246,0.00159744164718445,0.00440329805639428
"403","ACOT2_MOUSE","B6_T2_fasted-B6_T0_fasted",1.26503755858635,0.0833034260277295,15.1859007355262,130,0,0
"409","ACOT4_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"415","ACOX1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.628347518181926,0.0676327934875522,9.29057467214589,296,0,0
"421","ACOX2_MOUSE","B6_T2_fasted-B6_T0_fasted",0.68280040018882,0.114662804314843,5.95485523198942,276,7.89570853143573e-09,5.47859316108433e-08
"427","ACSA_MOUSE","B6_T2_fasted-B6_T0_fasted",0.652594550395842,0.238887268283466,2.73180967359661,182,0.00691913934700361,0.0158815733300679
"433","ACSF2_MOUSE","B6_T2_fasted-B6_T0_fasted",0.284357822849994,0.247954227637078,1.14681578757431,208,0.252775255751837,0.356245905187997
"439","ACSF3_MOUSE","B6_T2_fasted-B6_T0_fasted",1.39185402531913,0.206765926997182,6.73154443545286,118,6.41523278943623e-10,5.14070202728717e-09
"445","ACSL1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0913117010496624,0.051865463352945,1.76054921997487,210,0.0797703788280741,0.135237992465759
"451","ACSL3_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.936340618561901,0.175169490574983,-5.34534076389914,177,2.75502178181952e-07,1.53047375671017e-06
"457","ACSL4_MOUSE","B6_T2_fasted-B6_T0_fasted",0.629021470748408,0.097842104610443,6.42894460675032,100,4.42740222261762e-09,3.16918000994486e-08
"463","ACSL5_MOUSE","B6_T2_fasted-B6_T0_fasted",0.773068480795913,0.118286576018557,6.53555548581129,202,5.06134911759659e-10,4.0920103803426e-09
"469","ACSM1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.343317405230342,0.0781970789591705,-4.39041214582453,212,1.78494211049429e-05,7.34665945932992e-05
"475","ACSM3_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.04834450142242,0.297432474316175,-0.162539418513625,64,0.871393202150873,0.909563740112525
"481","ACSM5_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0511935428406971,0.109729903223465,0.466541401539754,160,0.641462622985935,0.72970402652483
"487","ACSS3_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"493","ACTBL_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"499","ACTN1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.385006087261618,0.170072499343098,2.26377626452659,137,0.0251593030280355,0.0493111447876323
"505","ACTN4_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.514750035482445,0.232586840006804,-2.2131520229923,140,0.0285061293058331,0.0546769978255744
"511","ACTZ_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"517","ACY1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.309184516727366,0.148807987155208,2.07774140782433,175,0.0391930704568484,0.0724561476638412
"523","ACY2_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"529","ACY3_MOUSE","B6_T2_fasted-B6_T0_fasted",0.157299195185346,0.0865341540397108,1.81777006929727,212,0.0705108528220983,0.122079497572486
"535","ACYP1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"541","ADAS_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"547","ADCK3_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.220375909956972,0.144517943113296,-1.52490344942293,147,0.129431753814804,0.203649788148228
"553","ADFP_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0771281470822397,0.283519508653027,0.27203823627047,108,0.786111999293483,0.839910814584364
"559","ADH1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.187937581463048,0.0308507910555593,6.09182374366318,216,5.05528907623898e-09,3.57622207698e-08
"565","ADH4_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"571","ADHX_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0864242620720423,0.0723823591484494,1.19399620416895,214,0.23380128315005,0.334714722359479
"577","ADK_MOUSE","B6_T2_fasted-B6_T0_fasted",0.304560295621433,0.0426787531895622,7.1361104263917,209,1.5526024910173e-11,1.52813212566974e-10
"583","ADPRM_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"589","ADRM1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0895841165054687,0.0526921768325582,-1.70014073987004,165,0.0909886155893658,0.150347064628049
"595","ADRO_MOUSE","B6_T2_fasted-B6_T0_fasted",0.694385368627974,0.133372789565011,5.20634959269188,183,5.14428410758327e-07,2.78875194366853e-06
"601","ADT2_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0662168950605198,0.0370293788692645,1.78822591905482,214,0.0751542734728647,0.1285216140315
"607","ADX_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.386338778184645,0.0633721259775385,-6.09635186172511,216,4.93469043405526e-09,3.51839542365121e-08
"613","AFG31_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"619","AFG32_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"625","AGFG1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.130903233990199,0.145893135155143,-0.897254239214183,65,0.372894630731303,0.484442020268573
"631","AGM1_MOUSE","B6_T2_fasted-B6_T0_fasted",2.29717892509363,0.147526994078988,15.5712447029436,56,0,0
"637","AGT2_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0961773078707377,0.109194835025809,-0.880786237261183,254,0.379266172126307,0.490607884086244
"643","AHSA1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0658679175232053,0.0949893500828173,-0.693424236146239,151,0.489108611623449,0.593074096781879
"649","AHSA2_MOUSE","B6_T2_fasted-B6_T0_fasted",2.49402582183087,0.144333935523649,17.2795525375404,135,0,0
"655","AIBP_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.253660631915828,0.0962727120090919,-2.63481340269996,286,0.00887720090565658,0.0199957846270449
"661","AIFM1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.337788461628237,0.0899877878344531,-3.75371447345336,241,0.00021841883663809,0.000708882640056597
"667","AK1A1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.174179687817212,0.045991306838309,3.78723067012583,216,0.000197465460789914,0.000647844111395895
"673","AK1CD_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.149581678316422,0.133941194237839,-1.11677127539128,243,0.26519514440127,0.370577474159491
"679","AK1D1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.30994262564681,0.087718726318782,-3.53336896981878,276,0.000480838790839933,0.00146352781548087
"685","AK1E1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0593895331162539,0.109485010806076,-0.542444419368482,227,0.588044522344682,0.684854424415575
"691","AKAP1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.201104648054591,0.28172943224003,0.713821933532498,63,0.477973569501268,0.583172960404501
"697","AKC1H_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"703","AKTS1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.731562894348891,0.131423251156857,5.56646474584434,80,3.35953970198588e-07,1.8605891132405e-06
"709","AL1A1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.291861002921961,0.0302356072936998,9.65289038473444,216,0,0
"715","AL1A7_MOUSE","B6_T2_fasted-B6_T0_fasted",1.1592184560905,0.205443696483454,5.64251167562039,173,6.72868933904169e-08,4.02166877656914e-07
"721","AL1B1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.3261859915044,0.0975014829942176,-3.34544646386296,242,0.000952125772039292,0.00274570027573751
"727","AL3A2_MOUSE","B6_T2_fasted-B6_T0_fasted",1.27781156817059,0.0789076467814751,16.1937609381424,269,0,0
"733","AL4A1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.101302898462398,0.0666982470159851,-1.5188240020479,178,0.130580972085385,0.204923865205054
"739","AL7A1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.123887408550867,0.0444678089909352,-2.78600208470179,289,0.0056892194918996,0.0134506220624415
"745","AL8A1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0902535824258646,0.0678655184201229,1.32988864635422,261,0.184715979212768,0.274873162164604
"751","AL9A1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0436740109059599,0.0600880628005658,-0.726833398688778,301,0.467892899528922,0.573753507532601
"757","ALAT1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.244087815999766,0.0949114885801718,2.57174152098125,274,0.0106464165227518,0.0232881492338707
"763","ALAT2_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.136666235647758,0.155542651336983,-0.878641546052029,166,0.380865694538076,0.4919741603484
"769","ALBU_MOUSE","B6_T2_fasted-B6_T0_fasted",-1.40183108298988,0.059347333042441,-23.620793237455,213,0,0
"775","ALD2_MOUSE","B6_T2_fasted-B6_T0_fasted",0.395160641717114,0.101775524001883,3.88266870244562,136,0.000160518410166066,0.000538331186686566
"781","ALDH2_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.109699365889133,0.0239104439784232,-4.58792676489511,216,7.58591644789419e-06,3.32641517848339e-05
"787","ALDOA_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.199986812908209,0.0459739885210188,-4.34999919175553,286,1.89601964490915e-05,7.76853297948071e-05
"793","ALDOB_MOUSE","B6_T2_fasted-B6_T0_fasted",0.135452874304955,0.0210340448147621,6.43969695309822,216,7.64658558694009e-10,6.07366951664408e-09
"799","ALDOC_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.795086686290225,0.139700927353451,-5.69134866426913,115,9.77957883563363e-08,5.71316686172016e-07
"805","ALDR_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0786404487302701,0.120915950959274,-0.650372825970309,165,0.516355977977497,0.619613915919644
"811","ALG2_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"817","ALG5_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0216618503982003,0.0557471758041508,-0.388573054791188,120,0.698280559468557,0.771559544354825
"823","ALR_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0434842251327922,0.130013773903214,-0.334458602556704,189,0.738404380566811,0.798358407884474
"829","AMACR_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0459429177031358,0.128480423382453,0.357586910858594,214,0.721004892778412,0.787539119916589
"835","AMBP_MOUSE","B6_T2_fasted-B6_T0_fasted",0.118099493146223,0.13566698660257,0.870510181612492,30,0.390934277381889,0.50186996767689
"841","AMPB_MOUSE","B6_T2_fasted-B6_T0_fasted",0.494103485269735,0.225201537990499,2.1940502257608,86,0.0309285362610723,0.0586508682395831
"847","AMPE_MOUSE","B6_T2_fasted-B6_T0_fasted",0.369737604808636,0.430023752793161,0.859807399956526,80,0.392464495249776,0.503366289587354
"853","AMPL_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0552294099363476,0.0670007914710519,0.824309813716302,289,0.410443336051157,0.520531266337655
"859","AMPN_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0821271893522584,0.15022529525559,-0.5466934793673,255,0.585067386464404,0.683585185088411
"865","AN32A_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0621514106864855,0.0445080322179679,-1.39640886350835,120,0.165169036736598,0.250730197426638
"871","AN32B_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0200812298064285,0.0943626751128073,-0.21280903474199,219,0.83167387313192,0.875110849277499
"877","ANM1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.114922796548926,0.212983805626584,-0.53958467035008,129,0.590413656714694,0.686730335459416
"883","ANO6_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.39240136990484,0.122290877498422,-3.20875422543193,80,0.00191875274556175,0.00521750934266115
"889","ANT3_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.802569208266942,0.101090675140123,-7.93910226788469,152,4.17443857259059e-13,4.87736016449133e-12
"895","ANX11_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"901","ANXA1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.252926193144361,0.117010643000531,2.16156570597782,198,0.0318516222809175,0.0600867582820226
"907","ANXA2_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.129438757669671,0.0535172373791102,-2.41863676095127,203,0.0164610007491806,0.0340306762063539
"913","ANXA3_MOUSE","B6_T2_fasted-B6_T0_fasted",0.136662848754412,0.154589280919803,0.884038323622904,175,0.377888444235723,0.489419685098076
"919","ANXA4_MOUSE","B6_T2_fasted-B6_T0_fasted",0.362967594456271,0.147022944471608,2.46878196978543,278,0.0141589307734251,0.029955401437702
"925","ANXA5_MOUSE","B6_T2_fasted-B6_T0_fasted",0.158778133620443,0.0933196684551112,1.70144339611342,225,0.0902411501337328,0.149521246927896
"931","ANXA6_MOUSE","B6_T2_fasted-B6_T0_fasted",0.137203100283918,0.112610017123404,1.21839161194305,199,0.224517675727312,0.323727317469874
"937","ANXA7_MOUSE","B6_T2_fasted-B6_T0_fasted",0.479533057743346,0.123262087021258,3.89035322483744,89,0.000192777820505086,0.00063708144696115
"943","AOFA_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"949","AOFB_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0866741453407873,0.231515318036777,0.374377583633663,176,0.708574089420515,0.778657570352277
"955","AOXA_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.586471674325804,0.300618349739302,-1.95088448471091,84,0.0544046613456735,0.0967847167947098
"961","AP1B1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.239046527752273,0.328130342210571,-0.728510890342685,183,0.467232123730083,0.573666017678088
"967","AP1G1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.928751273631791,0.0844236913152426,11.0010739777272,65,2.22044604925031e-16,4.18877895332533e-15
"973","AP1M1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.910752491774626,0.0919612883300086,9.90365085476332,80,1.33226762955019e-15,2.23401544177351e-14
"979","AP1S1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"985","AP2A1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.127805869923915,0.104147271102345,1.22716484619477,134,0.221912261577907,0.320992895940567
"991","AP2A2_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.305452831267337,0.153661518821206,-1.98782905187049,129,0.0489480390713546,0.0883797594797838
"997","AP2B1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.411154123563618,0.133297639616806,-3.08448165132987,200,0.0023274097245134,0.00611747316559327
"1003","AP2M1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.279334497261369,0.151981908737352,1.83794571065759,160,0.0679249337550329,0.118394663166857
"1009","AP3B1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"1015","AP4A_MOUSE","B6_T2_fasted-B6_T0_fasted",0.141080831222787,0.345319362215838,0.408551754287689,103,0.683716793962676,0.759172969875172
"1021","APEH_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0155957618047732,0.27244142141009,-0.0572444590989628,83,0.954488050431754,0.971657031664928
"1027","APEX1_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.709928752755228,0.45923675398827,-1.54588836061097,91,0.12560226889114,0.198486657034776
"1033","API5_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.069554731736327,0.115428547395003,-0.602578246941868,50,0.549512607992448,0.64789539913693
"1039","APOA1_MOUSE","B6_T2_fasted-B6_T0_fasted",-1.6366429150085,0.0887659545278773,-18.4377323909079,201,0,0
"1045","APOA2_MOUSE","B6_T2_fasted-B6_T0_fasted",-1.05875004503491,0.0919378824146227,-11.5159281161181,156,0,0
"1051","APOA4_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.873695705638183,0.227126804698236,-3.84673093428576,110,0.000201088332025812,0.000656163908646387
"1057","APOC1_MOUSE","B6_T2_fasted-B6_T0_fasted",0.177432989701626,0.149849646940631,1.18407345845749,60,0.241053643518821,0.343209073935838
"1063","APOC2_MOUSE","B6_T2_fasted-B6_T0_fasted",0.726037624208255,0.153680926529373,4.72431836926418,75,1.05392176310559e-05,4.51218040894616e-05
"1069","APOC3_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"1075","APOE_MOUSE","B6_T2_fasted-B6_T0_fasted",0.506997262463868,0.105015841109227,4.82781699511925,170,3.05921513366059e-06,1.45795752817351e-05
"1081","APOH_MOUSE","B6_T2_fasted-B6_T0_fasted",-1.48042190646031,0.156820817503489,-9.44021291323372,80,1.19904086659517e-14,1.70981339323138e-13
"1087","APOOL_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.312740745495225,0.132417500715716,-2.36177804145874,236,0.0190006965371432,0.0387336889776526
"1093","APT_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.426394191756195,0.120668062820683,-3.53361263775183,225,0.000497395514424293,0.00150130546103732
"1099","AR6P1_MOUSE","B6_T2_fasted-B6_T0_fasted",NA,NA,NA,NA,NA,NA
"1105","ARC1A_MOUSE","B6_T2_fasted-B6_T0_fasted",-0.0829709652929936,0.0956570445752863,-0.86737956061032,177,0.386908470625583,0.498003724451265
"1111","ARC1B_MOUSE","B6_T2_fasted-B6_T0_fasted",0.0656123438425447,0.0625872467447943,1.04833408170335,120,0.296591556776999,0.40355169746292
