B6_T0_FASTED	B6_T0_FED	B6_T1_FASTED	B6_T1_FED	B6_T2_FASTED	B6_T2_FED	S9_T0_FASTED	S9_T0_FED	S9_T1_FASTED	S9_T1_FED	S9_T2_FASTED	S9_T2_FED
1433E_MOUSE	15.1742519231278	15.173181354346	15.1802420618919	15.2721116797819	15.2922166966354	15.178678800185	15.1461200033646	15.2470863357259	15.1937181763573	15.1527349714904	15.1574896788616	15.1722953186432
2AAA_MOUSE	12.8366637602017	12.9938242536138	12.9202522390943	13.1302694154294	13.1827750147934	13.1002790237065	12.7633273722811	12.8692014419044	12.9347840058326	13.083227713686	12.864967006397	12.9464435151121
AAKG1_MOUSE	12.0452458863066	12.0465907369002	11.2472268297696	12.0425329639368	12.0170218723326	12.310733965703	12.0510421118701	11.8184540880145	11.5876236732831	11.866225010325	11.933768949331	11.2968580344065
AAPK1_MOUSE	13.5408310448769	13.5269568407824	13.5882308677738	13.5788682440735	13.6958304960814	13.5063690259806	13.4742853048067	13.5492436419221	13.5497509641359	13.6088216606772	13.579418628102	13.5473683760263
ACACA_MOUSE	12.2865241658937	12.7594951960431	13.1446457998522	13.2688827326168	13.3317692226004	13.9161679617915	11.1257372232264	12.6911971108006	12.3589085643064	12.3842505398832	12.7081032414577	12.9329658893588
ACADM_MOUSE	16.8426569799763	16.6693314462507	17.1812573189368	17.0800494215472	17.2997010132966	17.408202786965	17.0839410581661	16.9749867494605	17.6308490412866	17.3868465779607	17.6910473958507	17.4460794404261
AKT1_MOUSE	10.8553070810565	10.0828572642556	10.3102437804403	10.7851100073965	9.68244294361752	10.7776599662162	11.0783846684	9.77611508381223	10.775702210432	10.4998711166213	10.7201389804465	10.6412713325294
AKT2_MOUSE	13.0953088619587	13.1871878384752	13.276716631479	13.158053722993	13.023193452032	13.2718163629779	13.257672550738	13.349984928245	13.3269634278668	13.356599482861	13.4899211824209	13.3348520584594
ALDOA_MOUSE	15.6154394776283	15.6130174682255	15.5544083461887	15.641138923243	15.6602658330329	15.589129031354	15.6232246448807	15.6273593405096	15.6118440632866	15.6660068327399	15.6106561507001	15.657475966022
ALDOB_MOUSE	17.3286328647917	17.1651711633854	17.6876508708727	17.9729614645408	17.26264740646	18.1114890848472	16.9063744139319	17.1039375580407	17.0697917067668	17.298220270019	16.814785662196	17.1653478245791
ALDOC_MOUSE	11.9686206091045	12.2592160587931	12.5173970459283	12.8747404209643	12.30370864196	11.9252294655967	12.1524988059899	12.3479777260062	12.2865230809048	12.4682357425043	12.1391669301969	12.2653210487651
ARHG6_MOUSE	15.2804395980687	15.3042529350373	15.3164355189766	15.4478250275364	15.3117444952133	15.372694817504	15.3764538743926	15.4423370733628	15.4339431154174	15.478055239069	15.343915106702	15.3793094897943
CAB39_MOUSE	12.9795961244509	12.9193173960667	13.0026185456225	13.0602673207505	13.0531720322249	13.0286283315988	12.9474651162569	13.0015147769197	13.0706419329444	13.0180673855188	13.0633227371108	12.9708253465586
CAP1_MOUSE	11.8803969883273	12.1654329320844	12.0203320636376	12.2805552370294	12.3275098960027	12.1128099765145	12.829186131793	9.33855881040148	12.1132822327653	12.076888548266	12.4692256802038	12.1635275620068
CATA_MOUSE	17.0672313413643	17.3086242608849	17.0348696307869	17.5281105885899	17.309823429195	17.5504681143832	17.2475490519446	17.3383845799818	17.1217136968133	17.4859006935368	17.1955367037741	17.0203218070238
CBL_MOUSE	11.8015325149076	11.5269085903828	11.4954263515261	11.6685822852986	11.6400722435677	11.5634758105971	11.5122884276686	11.586005736729	11.5270089330128	11.6703753707447	11.892552839522	11.655410146683
CBP_MOUSE	10.627654696078	13.3243736551405	13.1178047608952	10.9220663673794	10.9804716251604	10.7977165750675	13.2654916371979	10.4475586229088	10.7619343108357	10.9331970599661	13.5591591626182	13.2033644496513
CISY_MOUSE	15.9099805173838	15.8113489527368	16.0554252817087	16.0647429611607	16.0208015430746	16.1646153003853	15.7676785182638	15.8132322445983	15.8023864034174	15.8071863733301	15.7106813807221	15.7500430640473
CP2E1_MOUSE	17.0575081994396	16.6020922047869	17.1906911992367	16.8889047915563	16.6152205419842	17.1335766595077	17.1793730901174	16.7536320134261	17.7245301160954	17.2405510931966	17.3767849520748	17.1866498365415
CPT1A_MOUSE	14.7640720712119	14.5783134186478	15.2695082891684	15.1493711180927	15.3694336870054	15.5431280047505	14.9653456247827	14.7378014525659	15.2592926993642	15.119951831692	15.2856248898441	15.2837248720356
CRK_MOUSE	12.1206644791404	12.0597239949248	12.2125585714375	12.2699137064039	12.2285966436718	12.1683351068991	12.3891958758638	12.4165294170089	12.1900858138347	12.146370790925	12.6020021281346	12.1424568810993
CRTC2_MOUSE	14.005729159826	14.04274119751	14.1002174938264	14.1428140893814	14.2300691893512	14.1226849729845	13.9201794131902	13.8758009378705	13.9439170976499	13.8850249330074	13.8013634716668	13.9259373115318
CTNB1_MOUSE	15.0195045865418	14.8508715455282	14.8990335961346	14.9157117006038	14.9298439795864	14.824066427974	15.0508567898536	14.959489231063	14.9992001755963	14.9385585527055	15.001853284264	14.8914442562537
DHB4_MOUSE	16.8651434897324	17.0214288733104	17.3178490402743	17.7495002509591	17.9127753042658	18.0471345194345	16.9491755114931	17.2749872029183	17.3142512518993	17.4884389722126	17.6654712563274	17.5632890932799
DLDH_MOUSE	16.200953977617	16.1333315871584	16.3251855808255	16.2900989310951	16.2580569087386	15.9695559201023	16.2081723858997	16.0464139166132	15.7656672091304	15.9895779175546	16.0455294445863	16.1227353239783
ECHB_MOUSE	17.1701299920575	17.475689204016	17.9375540163057	17.7231869382199	17.7479147828064	17.168224153202	16.5890968682487	16.6151060579109	17.8804640435756	17.5763152961535	16.8067473951373	17.5984816770234
EIF3E_MOUSE	14.0857383184867	14.0589937360539	14.0364827527821	14.2149295862724	14.2153224835461	14.084421281658	14.023010677469	14.2060645885835	14.1767212387286	14.2695202712457	14.1571486651877	14.1989223614353
ENOA_MOUSE	16.4242622571476	16.5330336500386	16.7160267768737	16.8376416466941	16.823108689007	16.6243583577363	16.3590907321894	16.3455734142966	16.2098043683654	16.1243416098076	16.2511130425378	16.2337850344453
EXOC7_MOUSE	12.5709281773596	12.5587460757035	12.5778471170553	12.8522625696559	12.7424514865901	12.5740938188278	12.6756130505079	12.6316814761112	12.522260882093	12.6234177848028	12.7603075922673	12.6252364008556
F16P1_MOUSE	19.1615379488434	19.2202303878193	19.2013946613376	19.4503158578102	19.6949966129083	19.3096364887291	18.9183317269397	18.7006863601887	18.8554146891614	19.0532292301005	18.7502012897796	19.0656981376828
FAS_MOUSE	14.3559885973224	14.7054323215834	15.3395854810956	15.405892895573	15.5881562876382	15.9519366504815	13.7937124626523	14.3981905436785	13.6852231197281	13.7791702375586	14.0062063572385	13.8242196979936
FOXA3_MOUSE	7.51276526655578	7.86079430638133	7.95957380393689	7.14314048424454	7.31631898059341	7.32973819711658	7.28277206776788	7.41946401315696	7.26073919595684	7.43771947259006	7.15913621621928	7.6410719776945
FOXO1_MOUSE	15.6116962827371	16.3518352309878	16.4412142371514	16.5376882512524	16.1205893124915	16.4007536122358	16.1988570921949	16.1251093939852	16.2979873429811	16.4667518415312	15.6724705596973	16.2072604969606
FUMH_MOUSE	13.9639926976592	13.6557172959576	13.7201238440365	14.0880527722289	14.1008798739774	13.7874300793381	13.9004141690067	13.8900498722504	14.0146708766515	14.0338418117608	13.9050240523546	13.7695900232418
FXR1_MOUSE	11.1896656570338	11.1653175149037	11.343270192275	11.4705042499062	11.3893565063647	11.1618761707216	11.2665912302	11.1761992894786	11.218948536356	11.2725976740071	11.1190816212074	11.2793580606908
G3P_MOUSE	20.6267884619731	20.7410303961165	20.8317636640351	20.928954091255	20.9505729512184	20.9954090366191	20.387740351535	20.5850649089013	20.476259218696	20.5155924838425	20.5074088161543	20.523033155951
GLGB_MOUSE	14.0267967476596	14.3962179414575	14.8891782078424	15.1056331488108	14.9584271153042	15.3315613653557	13.4757235175336	13.421750900806	13.9558586390856	13.7576008237427	14.1630062702672	13.7822453782671
GRB2_MOUSE	13.3118731735421	13.3443983558144	13.3815498967193	13.5247376825906	13.4726017193717	13.4917879562251	13.1293149173487	13.1932891563968	13.2747168525439	13.3641905412545	13.5446241475066	13.2723193440912
GSK3B_MOUSE	13.1815996275594	12.5964613500685	12.8421240762043	12.3176202840884	12.6886349117494	12.5123669568051	12.7227889664985	12.615332402398	12.9757697918729	13.7809388239692	13.0189083638533	12.8110855133386
HCDH_MOUSE	16.8295686358181	16.5815844804163	17.2273721420356	17.0181368926563	17.1739505648696	17.3639181735513	16.6555049728001	16.5543620825511	17.124596520492	16.8602927437013	17.0562747785758	16.8532540172496
HMCS2_MOUSE	18.701200759556	18.4184241905855	19.4387500516798	19.2206847090941	19.1216020240124	19.074357306961	18.7503925322464	18.4425974416248	19.468775986146	18.9524871025646	19.1830274818891	18.9536775380823
HMGCL_MOUSE	15.5768864504989	15.365121758979	15.9635286166569	16.0296141091965	16.014877038982	16.1445431065587	15.7573618680519	15.6749718396532	16.1834917894422	15.9848144734266	16.1705697089304	16.0207122136255
