p1	p2	cor	a_pvalue	e_pvalue	meas	adj_a_pvalue	adj_e_pvalue
AAKB1_MOUSE	DCMC_MOUSE	0.8959328378481016	0.1040671621518984	0.046	4	0.6251735737936913	0.31625000000000003
APT_MOUSE	HPRT_MOUSE	0.701833031200596	0.12010126221459105	0.076	6	0.6342724362050546	0.3342307692307692
KAPCB_MOUSE	GBB2_MOUSE	0.3254084347722284	0.5931100423403851	0.297	5	0.8769100088365909	0.43911290322580643
RS5_MOUSE	PP2AA_MOUSE	-0.799175723767317	0.056445924203198584	0.031	6	0.6162645085972297	0.29333333333333333
ARPC5_MOUSE	ARC1B_MOUSE	-0.08895425041065258	0.88688947698441	0.465	5	0.9928112492104537	0.4997081712062257
THRB_MOUSE	RAC1_MOUSE	-0.05436548445377796	0.9308138284380705	0.466	5	0.9928112492104537	0.4997081712062257
ODP2_MOUSE	DCMC_MOUSE	-0.0745689971587268	0.8883538260337934	0.443	6	0.9928112492104537	0.4972448979591837
KFA_MOUSE	AADAT_MOUSE	0.7168914906489952	0.1088800079934827	0.063	6	0.6251735737936913	0.31767241379310346
AATC_MOUSE	PYC_MOUSE	0.3858823274119391	0.4499064457811993	0.247	6	0.808964363636501	0.4108433734939759
PAPS1_MOUSE	FAD1_MOUSE	0.4709874819047027	0.5290125180952973	0.269	4	0.8524019067072158	0.4194915254237288
HS90B_MOUSE	G3P_MOUSE	0.6221583319688397	0.18717533359626248	0.074	6	0.698915138166724	0.3342307692307692
GSTM4_MOUSE	CP254_MOUSE	-0.4203989471742579	0.40655124096274387	0.193	6	0.8072188752997722	0.3986577181208053
ADH1_MOUSE	AL3A2_MOUSE	-0.34096196600939827	0.5083763282801113	0.244	6	0.8421897004640397	0.4108433734939759
SYEP_MOUSE	RS30_MOUSE	-0.27056756414687133	0.6040523474728369	0.301	6	0.8789121457938103	0.44232804232804235
HS90B_MOUSE	HDAC6_MOUSE	-0.4265154272382293	0.5734845727617706	0.286	4	0.8617937568824422	0.4351648351648351
ICAM1_MOUSE	ITB1_MOUSE	-0.7839260657045023	0.06498789363388968	0.032	6	0.6162645085972297	0.29333333333333333
ELOV2_MOUSE	FADS2_MOUSE	0.9985221189255639	0.03461532116678371	0.013	3	0.6162645085972297	0.29333333333333333
RBM8A_MOUSE	RL31_MOUSE	0.018414378777901343	0.9765554098589939	0.454	5	0.9928112492104537	0.49741035856573707
MAOX_MOUSE	KFA_MOUSE	-0.5622850408622642	0.2454597138796459	0.123	6	0.7584429361449734	0.37472527472527467
EF2_MOUSE	RS15_MOUSE	0.07745922028543996	0.8840435445528877	0.433	6	0.9928112492104537	0.4972448979591837
HS90B_MOUSE	FKB1A_MOUSE	0.3983169763067761	0.4341223070110732	0.228	6	0.808964363636501	0.4062903225806452
ALBU_MOUSE	TTHY_MOUSE	-0.30599243101477897	0.5553365984098763	0.28	6	0.8524019067072158	0.4301675977653632
FUMH_MOUSE	KFA_MOUSE	-0.03799181611614809	0.9430396941033014	0.481	6	0.9928112492104537	0.49972014925373137
SODC_MOUSE	TOM40_MOUSE	0.5038461550484987	0.3867666819232672	0.193	5	0.8072188752997722	0.3986577181208053
GNMT_MOUSE	METK1_MOUSE	0.15137314450918893	0.7746745524012659	0.362	6	0.9589994877423276	0.47161214953271025
S61A1_MOUSE	STT3B_MOUSE	-0.15835328586846317	0.799224168779535	0.392	5	0.9614771452231134	0.4845814977973569
HS90B_MOUSE	CSK21_MOUSE	-0.3857476782822228	0.4500783550413988	0.25	6	0.808964363636501	0.4116766467065868
EIF3E_MOUSE	RS15_MOUSE	0.3443399601773152	0.5039042556806139	0.246	6	0.8398404261343566	0.4108433734939759
