p1	p2	cor	a_pvalue	e_pvalue	meas	adj_a_pvalue	adj_e_pvalue
NDUA5_MOUSE	NDUB5_MOUSE	-0.4187992752308964	0.4085282828103658	0.211	6	0.8072188752997722	0.3986577181208053
ACSL3_MOUSE	MGLL_MOUSE	-0.05491059284361199	0.9177168932087274	0.48	6	0.9928112492104537	0.49972014925373137
PP2AA_MOUSE	RS15_MOUSE	0.3655060103275125	0.4761558070977685	0.245	6	0.8183927934492896	0.4108433734939759
SYEP_MOUSE	RBM47_MOUSE	0.4214943514180506	0.40519928677092926	0.214	6	0.8072188752997722	0.3986577181208053
RS5_MOUSE	RBM8A_MOUSE	0.6991173279586337	0.18892348168726994	0.106	5	0.698915138166724	0.3644578313253012
RS5_MOUSE	IF4A2_MOUSE	0.16008493436711124	0.7970474917998451	0.4	5	0.9614771452231134	0.4845814977973569
VATE1_MOUSE	TFR1_MOUSE	0.3931973333537559	0.7427378478605423	0.359	3	0.9544528418768651	0.47161214953271025
CP4AA_MOUSE	UD11_MOUSE	-0.6970912620291457	0.12373405603705373	0.056	6	0.6342724362050546	0.31767241379310346
GNA1_MOUSE	GFPT1_MOUSE	-0.22133484972734124	0.6734192246902789	0.309	6	0.9213447103971477	0.44723684210526315
RL31_MOUSE	SPCS1_MOUSE	0.4390009875944326	0.3838010636042732	0.169	6	0.8072188752997722	0.3986577181208053
IF4A2_MOUSE	EIF3I_MOUSE	0.5745394710715531	0.31099365085746616	0.15	5	0.8072188752997722	0.3986577181208053
SPYA_MOUSE	SRR_MOUSE	0.5776912907255886	0.4223087092744115	0.21	4	0.8072188752997722	0.3986577181208053
HMCS2_MOUSE	SCOT1_MOUSE	0.5416435252190469	0.26698778027383346	0.141	6	0.7949896111460768	0.3986577181208053
VATE1_MOUSE	TRFE_MOUSE	-0.04812779155168	0.9693490558060702	0.515	3	0.9928112492104537	0.5168795620437956
RS15_MOUSE	EIF3I_MOUSE	-0.4595568519170442	0.3591922023817448	0.178	6	0.8072188752997722	0.3986577181208053
PP2AA_MOUSE	RL18_MOUSE	-0.6960371454791405	0.12454804201844707	0.054	6	0.6342724362050546	0.31767241379310346
ACTN1_MOUSE	ALBU_MOUSE	0.03755071676901462	0.9437003991594152	0.475	6	0.9928112492104537	0.49972014925373137
ITM2B_MOUSE	APOA1_MOUSE	-0.35373181080044325	0.5591918521917334	0.258	5	0.8524019067072158	0.4194915254237288
SYEP_MOUSE	GLNA_MOUSE	0.2569573546936755	0.6230470401407706	0.314	6	0.8885132524713484	0.4497395833333333
ODP2_MOUSE	PDK2_MOUSE	0.7260054209261225	0.1649068695462067	0.083	5	0.6890114004930981	0.3406716417910448
RS5_MOUSE	S61A1_MOUSE	-0.04339451153923285	0.9447657373516183	0.441	5	0.9928112492104537	0.4972448979591837
SMD1_MOUSE	LSM6_MOUSE	-0.1644944902378823	0.7915075051459455	0.395	5	0.9614771452231134	0.4845814977973569
HS90B_MOUSE	HS74L_MOUSE	0.6025157657177063	0.39748423428229385	0.219	4	0.8072188752997722	0.39884105960264904
ADH1_MOUSE	UD11_MOUSE	-0.7215535401459979	0.10550433103919961	0.053	6	0.6251735737936913	0.31767241379310346
ITB1_MOUSE	FLNA_MOUSE	-0.9125800955896795	0.011129317599200434	0.007	6	0.4655363880628367	0.240625
EF2_MOUSE	RL18_MOUSE	0.5561737994471407	0.2517597255227614	0.124	6	0.7608123573490041	0.37472527472527467
SYEP_MOUSE	RM39_MOUSE	0.6447878628834287	0.35521213711657135	0.157	4	0.8072188752997722	0.3986577181208053
PP2AA_MOUSE	RS30_MOUSE	-0.30751381513333353	0.5532692602863357	0.292	6	0.8524019067072158	0.4364130434782609
PPP6_MOUSE	2AAB_MOUSE	0.48809793825070596	0.5119020617492939	0.256	4	0.8429524968925497	0.419047619047619
GNA1_MOUSE	AGM1_MOUSE	-0.05297803453215377	0.9325778381454828	0.48	5	0.9928112492104537	0.49972014925373137
GSTM4_MOUSE	GSTM1_MOUSE	0.6292730854768636	0.18068160237376696	0.093	6	0.698915138166724	0.35034246575342465
RBM8A_MOUSE	RL18_MOUSE	0.1336609949679873	0.8303256279833253	0.421	5	0.9884828904563397	0.4952330508474576
MPP6_MOUSE	E41L2_MOUSE	0.3025967502965846	0.5599584790006971	0.267	6	0.8524019067072158	0.4194915254237288
RAB8A_MOUSE	DCTN1_MOUSE	0.8799586736991346	0.31514023711684025	0.159	3	0.8072188752997722	0.3986577181208053
CP254_MOUSE	UD11_MOUSE	0.8908724157086032	0.017213453574013993	0.015	6	0.5259666369837609	0.29333333333333333
RS5_MOUSE	EIF3E_MOUSE	0.3862153200213154	0.44948139754987193	0.246	6	0.808964363636501	0.4108433734939759
TRFE_MOUSE	VATH_MOUSE	0.5937783664637336	0.2140074856305421	0.118	6	0.7128297047790384	0.37298850574712644
SDSL_MOUSE	ALD2_MOUSE	-0.06509474257491003	0.9349052574250897	0.485	4	0.9928112492104537	0.49972014925373137
ITA1_MOUSE	FLNA_MOUSE	-0.24067982407367164	0.6459511672244287	0.325	6	0.9017084821660807	0.4569444444444445
DHSD_MOUSE	NDUA5_MOUSE	0.9521581645046594	0.0033785106526985154	0.002	6	0.4645452147460459	0.22916666666666666
U2AF2_MOUSE	RBM8A_MOUSE	0.2673187749847736	0.6637374238908884	0.343	5	0.917225083266303	0.46927860696517415
SYEP_MOUSE	G3P_MOUSE	-0.01850981999818794	0.9722384408592358	0.492	6	0.9928112492104537	0.5011111111111111
RBM8A_MOUSE	RS15_MOUSE	-0.6507292107664412	0.23436953569687727	0.093	5	0.749437468798154	0.35034246575342465
NUDC_MOUSE	RCC2_MOUSE	-0.44779816025533825	0.4495192505075921	0.211	5	0.808964363636501	0.3986577181208053
HS90B_MOUSE	SYEP_MOUSE	0.036276548085605084	0.9456090476215042	0.485	6	0.9928112492104537	0.49972014925373137
DHSD_MOUSE	FUMH_MOUSE	-0.18347718878843813	0.7278724937408357	0.376	6	0.9441742253713672	0.4764976958525346
ADH1_MOUSE	ALDH2_MOUSE	0.41871484895087946	0.4086327150611253	0.215	6	0.8072188752997722	0.3986577181208053
VATE1_MOUSE	VATH_MOUSE	0.9969738970232633	0.049538921942328396	0.027	3	0.6162645085972297	0.29333333333333333
ALD2_MOUSE	GLPK_MOUSE	0.7858079030908662	0.06390400181358485	0.032	6	0.6162645085972297	0.29333333333333333
RS15_MOUSE	RS30_MOUSE	-0.159566428032407	0.7626817538633976	0.388	6	0.9544700038260858	0.48280542986425345
CADH2_MOUSE	PVRL2_MOUSE	-0.39284478464463923	0.44104610644866105	0.225	6	0.808964363636501	0.40441176470588236
ARF1_MOUSE	AP1G1_MOUSE	0.5628199421517873	0.2449112785146548	0.115	6	0.7584429361449734	0.3720588235294118
RS15_MOUSE	RL18_MOUSE	0.06921878240703604	0.8963376482833458	0.458	6	0.9928112492104537	0.4997081712062257
TTHY_MOUSE	B2MG_MOUSE	-0.1493358542617309	0.7776614027874147	0.349	6	0.9589994877423276	0.4704656862745098
ICAM1_MOUSE	B2MG_MOUSE	-0.3621207607380864	0.48056156826764707	0.219	6	0.8204861191708493	0.39884105960264904
QCR10_MOUSE	NDUB5_MOUSE	-0.5695376105075393	0.2380649214725664	0.143	6	0.7525040621259282	0.3986577181208053
RU1C_MOUSE	LUC7L_MOUSE	-0.7255712053109888	0.16528719227709168	0.081	5	0.6890114004930981	0.3375
ODP2_MOUSE	HMCS2_MOUSE	0.03324569959866173	0.9501498234479481	0.487	6	0.9928112492104537	0.49972014925373137
CADH2_MOUSE	RAC1_MOUSE	-0.4138807244971086	0.4146272290720952	0.189	6	0.8072188752997722	0.3986577181208053
MT2_MOUSE	ICAM1_MOUSE	0.07448729475386985	0.888475698923796	0.449	6	0.9928112492104537	0.49741035856573707
RBM8A_MOUSE	HNRH1_MOUSE	0.8513299280472347	0.0672572502573172	0.027	5	0.6165247940254077	0.29333333333333333
PURA1_MOUSE	ALDH2_MOUSE	0.5377796271690632	0.4622203728309368	0.214	4	0.8183927934492896	0.3986577181208053
SODC_MOUSE	DECR_MOUSE	0.6492528872920869	0.1629602303976824	0.078	6	0.6890114004930981	0.3342307692307692
ITA1_MOUSE	ITB1_MOUSE	0.41844985726898326	0.4089605583212125	0.198	6	0.8072188752997722	0.3986577181208053
DHB4_MOUSE	NLTP_MOUSE	0.6113740944206696	0.19719803811109185	0.091	6	0.698915138166724	0.35034246575342465
U2AF2_MOUSE	HNRH1_MOUSE	0.7236118399544319	0.10402891939472987	0.044	6	0.6251735737936913	0.31025641025641026
NDUS4_MOUSE	NDUA5_MOUSE	-0.2745759067984006	0.7254240932015992	0.355	4	0.9441742253713672	0.47161214953271025
PP2AA_MOUSE	2AAB_MOUSE	0.6982865997580924	0.3017134002419077	0.144	4	0.8072188752997722	0.3986577181208053
MAOX_MOUSE	PYC_MOUSE	0.7483872088217907	0.0869988183454956	0.04	6	0.6251735737936913	0.31025641025641026
EIF3E_MOUSE	IF1A_MOUSE	0.590339429897668	0.21735769045731876	0.112	6	0.7128297047790384	0.36666666666666664
CD166_MOUSE	ITB1_MOUSE	0.5698218719947021	0.6140243857691721	0.329	3	0.8840665240132058	0.4569444444444445
PP2AA_MOUSE	RBM8A_MOUSE	-0.3670010205350489	0.543432275456698	0.263	5	0.8524019067072158	0.4194915254237288
TFR1_MOUSE	VATH_MOUSE	0.2622149418974773	0.6700039061230709	0.329	5	0.9212553709192225	0.4569444444444445
NDUA5_MOUSE	PDCD5_MOUSE	-0.028165177663083896	0.9641437238673909	0.486	5	0.9928112492104537	0.49972014925373137
PYC_MOUSE	LDHA_MOUSE	0.31477697456366055	0.5434293046028945	0.245	6	0.8524019067072158	0.4108433734939759
RT33_MOUSE	TIM8B_MOUSE	-0.5371734956294827	0.27174190344629534	0.13	6	0.7949896111460768	0.38858695652173914
IF4A2_MOUSE	RS30_MOUSE	0.6681062044782585	0.21773707345977902	0.096	5	0.7128297047790384	0.35200000000000004
ITM2B_MOUSE	B2MG_MOUSE	-0.4735098638463403	0.42046370066716676	0.205	5	0.8072188752997722	0.3986577181208053
DECR_MOUSE	ICAM1_MOUSE	-0.5382571575097277	0.27058640215817753	0.124	6	0.7949896111460768	0.37472527472527467
DHSD_MOUSE	QCR10_MOUSE	0.09406062396125835	0.8593251600864177	0.431	6	0.9928112492104537	0.4972448979591837
RHOB_MOUSE	RAC1_MOUSE	-0.7777563842107916	0.12149045813904383	0.056	5	0.6342724362050546	0.31767241379310346
RL18_MOUSE	RS30_MOUSE	0.6175902113541134	0.19139459242431794	0.095	6	0.698915138166724	0.35200000000000004
TFR1_MOUSE	FRIH_MOUSE	0.8524186846160827	0.1475813153839173	0.086	4	0.6764143621762877	0.34779411764705875
RS5_MOUSE	RL18_MOUSE	0.3674335337872354	0.4736528226756173	0.211	6	0.8183927934492896	0.3986577181208053
ALDH2_MOUSE	ALD2_MOUSE	0.7117743639156477	0.11263899520570009	0.066	6	0.6251735737936913	0.31767241379310346
DHSD_MOUSE	MPPB_MOUSE	-0.5268271096231993	0.3616920179167243	0.195	5	0.8072188752997722	0.3986577181208053
FAS_MOUSE	DCMC_MOUSE	0.30311097113389307	0.5592578946200731	0.267	6	0.8524019067072158	0.4194915254237288
RAC1_MOUSE	ARF1_MOUSE	-0.8584905240484645	0.02862053887475223	0.015	6	0.6162645085972297	0.29333333333333333
BDH_MOUSE	SCOT1_MOUSE	0.8214917957115285	0.044953670556283847	0.029	6	0.6162645085972297	0.29333333333333333
DHB4_MOUSE	ACOX1_MOUSE	-0.1848523871159679	0.72587965979461	0.373	6	0.9441742253713672	0.4764976958525346
ACOX1_MOUSE	FABPL_MOUSE	-0.004167381119236275	0.9937489645087272	0.52	6	0.9962667189068208	0.52
TOM22_MOUSE	TOM40_MOUSE	0.5518672489356863	0.4481327510643137	0.205	4	0.808964363636501	0.3986577181208053
EIF3E_MOUSE	IF4A2_MOUSE	-0.05707142568477927	0.9273738703345908	0.46	5	0.9928112492104537	0.4997081712062257
QCR10_MOUSE	TIM8B_MOUSE	-0.41096836356838684	0.4182527046779394	0.21	6	0.8072188752997722	0.3986577181208053
FUMH_MOUSE	MAOX_MOUSE	-0.193768312455136	0.7129851592430434	0.381	6	0.9441742253713672	0.47842465753424657
RS5_MOUSE	RS30_MOUSE	0.4478042650084184	0.3731923970357867	0.195	6	0.8072188752997722	0.3986577181208053
RS15_MOUSE	SPCS1_MOUSE	0.022335910563286612	0.9665017057686746	0.467	6	0.9928112492104537	0.4997081712062257
UAP1_MOUSE	AGM1_MOUSE	-0.09421832700404374	0.8802152236873669	0.437	5	0.9928112492104537	0.4972448979591837
AATC_MOUSE	AL3A2_MOUSE	-0.49675096713885697	0.31616306198094146	0.165	6	0.8072188752997722	0.3986577181208053
CP254_MOUSE	CP4AA_MOUSE	-0.4074159085881326	0.422689156520608	0.199	6	0.8072188752997722	0.3986577181208053
SSRP1_MOUSE	CSK21_MOUSE	-0.8214894035820358	0.17851059641796424	0.102	4	0.698915138166724	0.3596153846153846
PSD13_MOUSE	PSDE_MOUSE	-0.4247527810798716	0.4011866989586769	0.208	6	0.8072188752997722	0.3986577181208053
RAB8A_MOUSE	EHD1_MOUSE	-0.07927495902457488	0.8991698095329754	0.433	5	0.9928112492104537	0.4972448979591837
VATE1_MOUSE	LHPP_MOUSE	0.36289605763447197	0.7635760030608687	0.367	3	0.9544700038260858	0.47161214953271025
QCR10_MOUSE	NDUA5_MOUSE	0.19235478339295864	0.715026423286309	0.36	6	0.9441742253713672	0.47161214953271025
SMD1_MOUSE	SRSF5_MOUSE	-0.5125796141825517	0.3771900278836252	0.184	5	0.8072188752997722	0.3986577181208053
IF4A2_MOUSE	RS15_MOUSE	-0.11208661255203754	0.8575862853319948	0.421	5	0.9928112492104537	0.4952330508474576
ALDH2_MOUSE	CP4AA_MOUSE	0.8037936728676727	0.053968714295231424	0.026	6	0.6162645085972297	0.29333333333333333
PRS8_MOUSE	S61A1_MOUSE	-0.16370997183919772	0.7924928434908809	0.406	5	0.9614771452231134	0.48755458515283845
AATC_MOUSE	IDHG1_MOUSE	0.15326691927736122	0.7718997984144469	0.397	6	0.9589994877423276	0.4845814977973569
HS90B_MOUSE	RS30_MOUSE	0.6535566710799553	0.15924388983421345	0.1	6	0.6890114004930981	0.35714285714285715
RL18_MOUSE	SPCS1_MOUSE	-0.4630756683461087	0.35503725637908157	0.173	6	0.8072188752997722	0.3986577181208053
GPAT1_MOUSE	GLPK_MOUSE	0.2121605808529735	0.6865340266414086	0.337	6	0.9346379075563732	0.46337500000000004
BLVRB_MOUSE	FAD1_MOUSE	0.21674575649536335	0.7262070003872012	0.381	5	0.9441742253713672	0.47842465753424657
APOA1_MOUSE	TTHY_MOUSE	-0.47900909067745007	0.3364406122043897	0.185	6	0.8072188752997722	0.3986577181208053
ACSL1_MOUSE	MGLL_MOUSE	0.8769698587415397	0.021773505808835077	0.01	6	0.5987714097429646	0.29333333333333333
EIF3E_MOUSE	EIF3I_MOUSE	-0.8114565278341835	0.049971729251826996	0.023	6	0.6162645085972297	0.29333333333333333
PURA1_MOUSE	HPRT_MOUSE	0.199351759068753	0.8006482409312472	0.399	4	0.9614771452231134	0.4845814977973569
U2AF2_MOUSE	SRSF5_MOUSE	0.5253841986311032	0.3632543834612548	0.18	5	0.8072188752997722	0.3986577181208053
EGFR_MOUSE	HS90B_MOUSE	-0.09876337105929489	0.8523366224190597	0.423	6	0.9928112492104537	0.4952330508474576
PRS8_MOUSE	PSDE_MOUSE	0.060139516947689625	0.9098994797231884	0.437	6	0.9928112492104537	0.4972448979591837
ODP2_MOUSE	PYC_MOUSE	-0.05340693396246444	0.9199657653710676	0.425	6	0.9928112492104537	0.4952330508474576
AATC_MOUSE	HPPD_MOUSE	0.753638914652246	0.08356438326449847	0.039	6	0.6251735737936913	0.31025641025641026
SSRG_MOUSE	RL18_MOUSE	0.12133460346637523	0.8188912440338402	0.422	6	0.9791090961274177	0.4952330508474576
SPCS1_MOUSE	RS30_MOUSE	0.301806618983554	0.5610354367782039	0.27	6	0.8524019067072158	0.4194915254237288
SSRG_MOUSE	RL31_MOUSE	-0.0457574818096828	0.9314116795838486	0.452	6	0.9928112492104537	0.49741035856573707
SODC_MOUSE	FLNA_MOUSE	0.009955766877633145	0.9850668430778924	0.496	6	0.9959315509059573	0.5014705882352941
RS15_MOUSE	RL31_MOUSE	0.6048967411531838	0.20332076746668334	0.108	6	0.698915138166724	0.3644578313253012
ALD2_MOUSE	AL3A2_MOUSE	0.4201798427688192	0.40682184262266463	0.21	6	0.8072188752997722	0.3986577181208053
ACSL1_MOUSE	ACOX1_MOUSE	0.4004208589062463	0.4314698240887326	0.209	6	0.808964363636501	0.3986577181208053
ALDOC_MOUSE	F16P1_MOUSE	0.4378710114433211	0.38517021124414136	0.188	6	0.8072188752997722	0.3986577181208053
IF1A_MOUSE	EIF3I_MOUSE	-0.7914936385738828	0.06067995723932173	0.032	6	0.6162645085972297	0.29333333333333333
ALBU_MOUSE	APOA1_MOUSE	0.9651903697397246	0.001796475943498441	0.001	6	0.4645452147460459	0.22916666666666666
DJB11_MOUSE	HS90B_MOUSE	0.8430704564392094	0.15692954356079064	0.089	4	0.6890114004930981	0.35034246575342465
GLNA_MOUSE	GFPT1_MOUSE	0.7194656536127698	0.10701032012199661	0.056	6	0.6251735737936913	0.31767241379310346
CP4AA_MOUSE	AL3A2_MOUSE	-0.3924292192014113	0.44157335687319316	0.237	6	0.808964363636501	0.4108433734939759
SSRG_MOUSE	RS30_MOUSE	0.5303769187393865	0.2790320495723848	0.14	6	0.8072188752997722	0.3986577181208053
BLVRB_MOUSE	UD11_MOUSE	-0.6699261951241204	0.14544251627484034	0.065	6	0.6764143621762877	0.31767241379310346
MT2_MOUSE	B2MG_MOUSE	0.0727688667378494	0.8910393666730935	0.473	6	0.9928112492104537	0.49972014925373137
SMD1_MOUSE	RBM8A_MOUSE	-0.006217849374730953	0.9920832393060135	0.486	5	0.9962667189068208	0.49972014925373137
HS90B_MOUSE	EF2_MOUSE	0.9173254749046871	0.009970072272998048	0.006	6	0.4655363880628367	0.2357142857142857
DNJB4_MOUSE	HS74L_MOUSE	-0.9623291307250509	0.03767086927494912	0.022	4	0.6162645085972297	0.29333333333333333
HS90B_MOUSE	DNJB4_MOUSE	-0.7201487867838702	0.10651654033748666	0.055	6	0.6251735737936913	0.31767241379310346
FADS1_MOUSE	ELOV2_MOUSE	-0.9604445085699377	0.17965552185272904	0.075	3	0.698915138166724	0.3342307692307692
RS5_MOUSE	IF1A_MOUSE	-0.372251728249798	0.4674141197353067	0.215	6	0.8183927934492896	0.3986577181208053
FADS2_MOUSE	ACSL1_MOUSE	0.014420760763925263	0.9783703583128471	0.507	6	0.9928112492104537	0.5107142857142858
SMD1_MOUSE	STRAP_MOUSE	0.3050380592784114	0.5566345349416641	0.267	6	0.8524019067072158	0.4194915254237288
EF2_MOUSE	RS30_MOUSE	0.8114990630560537	0.04994994034278041	0.018	6	0.6162645085972297	0.29333333333333333
SMD1_MOUSE	HNRH1_MOUSE	-0.2813769319014522	0.5890733269401373	0.304	6	0.8756495400461499	0.44232804232804235
PURA1_MOUSE	AATC_MOUSE	0.7681808385395184	0.2318191614604817	0.117	4	0.749437468798154	0.37298850574712644
GSTM1_MOUSE	CP254_MOUSE	-0.8003216049744504	0.05582645744614007	0.026	6	0.6162645085972297	0.29333333333333333
AATC_MOUSE	LDHA_MOUSE	0.17730721529867352	0.7368262557468447	0.375	6	0.9513015038985084	0.4764976958525346
KAPCB_MOUSE	ITB1_MOUSE	0.5721703235138395	0.31346508324986255	0.155	5	0.8072188752997722	0.3986577181208053
APOA1_MOUSE	B2MG_MOUSE	-0.2932187279394414	0.5727769739848996	0.287	6	0.8617937568824422	0.4351648351648351
EGFR_MOUSE	RHOB_MOUSE	-0.4269648084837556	0.47337265039834703	0.224	5	0.8183927934492896	0.40441176470588236
QCR10_MOUSE	NDUS4_MOUSE	0.9413863256177527	0.0586136743822473	0.041	4	0.6162645085972297	0.31025641025641026
GPDA_MOUSE	DHAK_MOUSE	0.19479195422623471	0.7115076524056145	0.329	6	0.9441742253713672	0.4569444444444445
LIN7C_MOUSE	MPP6_MOUSE	-0.8847412680792438	0.04615195078065758	0.023	5	0.6162645085972297	0.29333333333333333
GNMT_MOUSE	SPYA_MOUSE	0.4165864806922745	0.4112683826972661	0.229	6	0.8072188752997722	0.4062903225806452
SC22B_MOUSE	ARF1_MOUSE	0.6675992427766259	0.14737187149357955	0.066	6	0.6764143621762877	0.31767241379310346
PSDE_MOUSE	S61A1_MOUSE	-0.8102198049885091	0.09637040490600172	0.044	5	0.6251735737936913	0.31025641025641026
RBM8A_MOUSE	RS30_MOUSE	0.6873026809791537	0.19976518494381384	0.108	5	0.698915138166724	0.3644578313253012
PLAK_MOUSE	RAC1_MOUSE	-0.9034135936279932	0.013542876743646159	0.004	6	0.4655363880628367	0.22916666666666666
CASP3_MOUSE	G3P_MOUSE	-0.40956091015845225	0.4200085367883788	0.216	6	0.8072188752997722	0.3986577181208053
ODP2_MOUSE	FAS_MOUSE	0.30571944444085974	0.5557077723057079	0.294	6	0.8524019067072158	0.437027027027027
RS5_MOUSE	SPCS1_MOUSE	-0.06023292962525536	0.909759868271472	0.453	6	0.9928112492104537	0.49741035856573707
PLAK_MOUSE	CADH2_MOUSE	0.4926050463218606	0.3208601346950555	0.152	6	0.8072188752997722	0.3986577181208053
SMD1_MOUSE	U2AF2_MOUSE	-0.8227980901023324	0.04431865952638032	0.016	6	0.6162645085972297	0.29333333333333333
RS5_MOUSE	RL31_MOUSE	-0.2458425865186899	0.6386653083121144	0.337	6	0.9017084821660807	0.46337500000000004
ALDOC_MOUSE	LDHA_MOUSE	0.6068419135363946	0.2014740537488952	0.079	6	0.698915138166724	0.3342307692307692
METK1_MOUSE	SAHH_MOUSE	0.4339707314412623	0.3899088860327977	0.21	6	0.8072188752997722	0.3986577181208053
ALDOB_MOUSE	LDHA_MOUSE	0.6278934216240359	0.1819334050541326	0.093	6	0.698915138166724	0.35034246575342465
S61A1_MOUSE	RS15_MOUSE	0.7677810145620358	0.12955144352145173	0.059	5	0.6477572176072586	0.31767241379310346
ARPC5_MOUSE	RAC1_MOUSE	0.4776114124660647	0.4158697783692967	0.2	5	0.8072188752997722	0.3986577181208053
U2AF2_MOUSE	SF01_MOUSE	0.5285774307713169	0.4714225692286831	0.244	4	0.8183927934492896	0.4108433734939759
HS90B_MOUSE	UN45A_MOUSE	0.07641951435012381	0.923580485649876	0.464	4	0.9928112492104537	0.4997081712062257
PH4H_MOUSE	PHS_MOUSE	0.2565807123814526	0.6235747553708009	0.324	6	0.8885132524713484	0.4569444444444445
GSTM4_MOUSE	ADH1_MOUSE	0.7554099543346271	0.08242022269274728	0.03	6	0.6251735737936913	0.29333333333333333
MAOX_MOUSE	LDHA_MOUSE	0.2422368046235416	0.6437518597660297	0.313	6	0.9017084821660807	0.4497395833333333
PH4H_MOUSE	HPPD_MOUSE	0.27310936923215356	0.6005213863199651	0.303	6	0.8784222406276085	0.44232804232804235
RL31_MOUSE	RS30_MOUSE	0.5131727916767295	0.2978118940815786	0.146	6	0.8072188752997722	0.3986577181208053
S61A1_MOUSE	EF2_MOUSE	0.5491697084994168	0.33771332020603395	0.171	5	0.8072188752997722	0.3986577181208053
HS90B_MOUSE	NUDC_MOUSE	0.2017316689398607	0.7015072989261538	0.351	6	0.9441742253713672	0.47085365853658534
DJB11_MOUSE	HS74L_MOUSE	0.9433808244305584	0.21525220855622007	0.11	3	0.7128297047790384	0.3644578313253012
RL18_MOUSE	RL31_MOUSE	0.3752834509458842	0.4635018467202044	0.21	6	0.8183927934492896	0.3986577181208053
RS5_MOUSE	EIF3I_MOUSE	-0.1626899751714172	0.7581180786536831	0.388	6	0.9544700038260858	0.48280542986425345
RBM8A_MOUSE	SRSF5_MOUSE	0.5166590861611724	0.4833409138388276	0.242	4	0.8204861191708493	0.4108433734939759
DHB7_MOUSE	UD11_MOUSE	0.9556678210604574	0.011130206891402936	0.005	5	0.4655363880628367	0.22916666666666666
