ENSMUSG00000000001	GNAI3_MOUSE
ENSMUSG00000000003	PBAS_MOUSE
ENSMUSG00000000028	CDC45_MOUSE
ENSMUSG00000000049	APOH_MOUSE
ENSMUSG00000000056	NARF_MOUSE
ENSMUSG00000000058	CAV2_MOUSE
ENSMUSG00000000078	KLF6_MOUSE
ENSMUSG00000000085	SCMH1_MOUSE
ENSMUSG00000000088	COX5A_MOUSE
ENSMUSG00000000093	TBX2_MOUSE
ENSMUSG00000000094	TBX4_MOUSE
ENSMUSG00000000103	ZFY2_MOUSE
ENSMUSG00000000125	WNT3_MOUSE
ENSMUSG00000000126	WNT9A_MOUSE
ENSMUSG00000000127	FER_MOUSE
ENSMUSG00000000131	XPO6_MOUSE
ENSMUSG00000000134	TFE3_MOUSE
ENSMUSG00000000142	AXIN2_MOUSE
ENSMUSG00000000148	BRAT1_MOUSE
ENSMUSG00000000149	GNA12_MOUSE
ENSMUSG00000000154	S22AI_MOUSE
ENSMUSG00000000157	ITB2L_MOUSE
ENSMUSG00000000159	IGSF5_MOUSE
ENSMUSG00000000167	PIHD2_MOUSE
ENSMUSG00000000168	ODP2_MOUSE
ENSMUSG00000000171	DHSD_MOUSE
ENSMUSG00000000182	FGF23_MOUSE
ENSMUSG00000000183	FGF6_MOUSE
ENSMUSG00000000184	CCND2_MOUSE
ENSMUSG00000000194	GP107_MOUSE
ENSMUSG00000000197	NALCN_MOUSE
ENSMUSG00000000202	BTBDH_MOUSE
ENSMUSG00000000214	TY3H_MOUSE
ENSMUSG00000000215	INS2_MOUSE
ENSMUSG00000000216	SCNNG_MOUSE
ENSMUSG00000000223	DRP2_MOUSE
ENSMUSG00000000244	TSN32_MOUSE
ENSMUSG00000000247	LHX2_MOUSE
ENSMUSG00000000248	CLC2G_MOUSE
ENSMUSG00000000253	GMPR1_MOUSE
ENSMUSG00000000263	GLRA1_MOUSE
ENSMUSG00000000266	TRIM1_MOUSE
ENSMUSG00000000275	TRI25_MOUSE
ENSMUSG00000000276	DGKE_MOUSE
ENSMUSG00000000278	RISC_MOUSE
ENSMUSG00000000282	MNT_MOUSE
ENSMUSG00000000295	HDDC2_MOUSE
ENSMUSG00000000296	TPD53_MOUSE
ENSMUSG00000000303	CADH1_MOUSE
