p1	p2	cor	pvalue	meas	adj.pvalue	strain
ATPD_MOUSE	ATP5J_MOUSE	0.9962998399594918	2.051144670148665e-05	6	0.18562478007897795	B6
GPX1_MOUSE	GSTK1_MOUSE	-0.9949428924350847	3.8296839298324315e-05	6	0.18562478007897795	B6
GSTK1_MOUSE	GPX1_MOUSE	-0.9949428924350847	3.8296839298324315e-05	6	0.18562478007897795	B6
ATP5J_MOUSE	ATPD_MOUSE	0.9962998399594918	2.051144670148665e-05	6	0.18562478007897795	B6
DHB4_MOUSE	ACOX2_MOUSE	0.9949904135585923	3.758107428966155e-05	6	0.18562478007897795	B6
ACOX2_MOUSE	DHB4_MOUSE	0.9949904135585923	3.758107428966155e-05	6	0.18562478007897795	B6
ECHD2_MOUSE	HCDH_MOUSE	0.9935871943583059	6.155425394328922e-05	6	0.22376510164734215	B6
HCDH_MOUSE	ECHD2_MOUSE	0.9935871943583059	6.155425394328922e-05	6	0.22376510164734215	B6
CALR_MOUSE	HS90B_MOUSE	0.9917116470475459	0.00010276050035624163	6	0.2988480871360219	B6
HS90B_MOUSE	CALR_MOUSE	0.9917116470475459	0.00010276050035624163	6	0.2988480871360219	B6
MT2_MOUSE	MT1_MOUSE	0.9890173105242223	0.0001802668391004836	6	0.374465729622876	B6
RS10_MOUSE	EIF3K_MOUSE	-0.9974139271297874	0.00015780706971192603	5	0.374465729622876	B6
MT1_MOUSE	MT2_MOUSE	0.9890173105242223	0.0001802668391004836	6	0.374465729622876	B6
EIF3K_MOUSE	RS10_MOUSE	-0.9974139271297874	0.00015780706971192603	5	0.374465729622876	B6
RL21_MOUSE	2AAA_MOUSE	-0.9606620480952598	0.0022907744521476607	6	0.42745143700862737	B6
HPPD_MOUSE	PH4H_MOUSE	0.9734991505293463	0.0010441368266595336	6	0.42745143700862737	B6
NDUC2_MOUSE	COX5A_MOUSE	0.9602277218992956	0.0023412945850066753	6	0.42745143700862737	B6
PCCB_MOUSE	ACSS3_MOUSE	0.9999925280327429	0.0024610071262491377	3	0.42745143700862737	B6
TRXR1_MOUSE	PRDX2_MOUSE	-0.9620188751804107	0.002136453627178432	6	0.42745143700862737	B6
TYPH_MOUSE	UMPS_MOUSE	0.9666340612168471	0.0016513558922136718	6	0.42745143700862737	B6
GSTM6_MOUSE	CP1A2_MOUSE	0.9955322782234836	0.00035823810382075953	5	0.42745143700862737	B6
PYGL_MOUSE	KPYR_MOUSE	0.9587219624573823	0.002520648238394278	6	0.42745143700862737	B6
UMPS_MOUSE	TYPH_MOUSE	0.9666340612168471	0.0016513558922136718	6	0.42745143700862737	B6
RS6_MOUSE	IF4A1_MOUSE	0.9629917016180934	0.0020290776791369067	6	0.42745143700862737	B6
PH4H_MOUSE	AATC_MOUSE	0.9739618368098224	0.001008152159174114	6	0.42745143700862737	B6
HNRPL_MOUSE	SF3B1_MOUSE	-0.9632460331620484	0.002001456494489033	6	0.42745143700862737	B6
EIF3I_MOUSE	RS6_MOUSE	0.9647187384945749	0.001845192637808237	6	0.42745143700862737	B6
RS6_MOUSE	EIF3I_MOUSE	0.9647187384945749	0.001845192637808237	6	0.42745143700862737	B6
ETFA_MOUSE	ECHA_MOUSE	0.9655289943608879	0.0017618952544719783	6	0.42745143700862737	B6
SRR_MOUSE	GLYC_MOUSE	0.9697621725828699	0.0013576656913384937	6	0.42745143700862737	B6
THIC_MOUSE	HMGCL_MOUSE	0.9598806900927033	0.002382051342438646	6	0.42745143700862737	B6
IF4A1_MOUSE	PABP1_MOUSE	0.9740307174434661	0.0010028485654549153	6	0.42745143700862737	B6
HSP7C_MOUSE	PSMD2_MOUSE	0.9699700876433287	0.001339153032265442	6	0.42745143700862737	B6
RT09_MOUSE	RL26_MOUSE	0.9783760226180073	0.0006963389497602524	6	0.42745143700862737	B6
RS8_MOUSE	RL12_MOUSE	0.9802542188684631	0.0005809944094606551	6	0.42745143700862737	B6
IF4A1_MOUSE	RS6_MOUSE	0.9629917016180934	0.0020290776791369067	6	0.42745143700862737	B6
AATC_MOUSE	PH4H_MOUSE	0.9739618368098224	0.001008152159174114	6	0.42745143700862737	B6
PROF1_MOUSE	COF1_MOUSE	0.9694660067726749	0.0013842533149243498	6	0.42745143700862737	B6
TEBP_MOUSE	PGES2_MOUSE	0.964561330766261	0.0018615952160522522	6	0.42745143700862737	B6
PSB2_MOUSE	PSB3_MOUSE	-0.9606885787886986	0.0022877060603681467	6	0.42745143700862737	B6
COX5B_MOUSE	COX5A_MOUSE	0.9760061508745448	0.0008566505067763878	6	0.42745143700862737	B6
RL26_MOUSE	RT09_MOUSE	0.9783760226180073	0.0006963389497602524	6	0.42745143700862737	B6
ATPK_MOUSE	COX5A_MOUSE	0.9738948554742277	0.0010133228077773685	6	0.42745143700862737	B6
RS4X_MOUSE	RL4_MOUSE	0.974034158441257	0.001002583982954818	6	0.42745143700862737	B6
ODP2_MOUSE	MPC2_MOUSE	0.9692408212833836	0.0014046395670819088	6	0.42745143700862737	B6
RS25_MOUSE	RS9_MOUSE	0.9840696907085146	0.00037864077602181004	6	0.42745143700862737	B6
S27A5_MOUSE	ALBU_MOUSE	-0.9624396743174517	0.0020896724562679296	6	0.42745143700862737	B6
RHOA_MOUSE	RAC1_MOUSE	-0.9762265784298482	0.000841045281147391	6	0.42745143700862737	B6
ETFA_MOUSE	HCDH_MOUSE	0.980021825110479	0.0005947042886558548	6	0.42745143700862737	B6
PSD12_MOUSE	ECM29_MOUSE	0.9830075537621318	0.00043066161682134963	6	0.42745143700862737	B6
QCR1_MOUSE	COX5B_MOUSE	0.9705816093615324	0.0012854326105194032	6	0.42745143700862737	B6
ASSY_MOUSE	ARLY_MOUSE	0.9719299612420605	0.0011708320420292528	6	0.42745143700862737	B6
ACLY_MOUSE	THIKB_MOUSE	0.9714703931699791	0.001209297026605735	6	0.42745143700862737	B6
COX5A_MOUSE	COX5B_MOUSE	0.9760061508745448	0.0008566505067763878	6	0.42745143700862737	B6
EF1D_MOUSE	SYVC_MOUSE	-0.9795887769910631	0.0006206751953747783	6	0.42745143700862737	B6
ARLY_MOUSE	ASSY_MOUSE	0.9719299612420605	0.0011708320420292528	6	0.42745143700862737	B6
