Gene_A	Gene_B
APOH_MOUSE	TBX2_MOUSE
APOH_MOUSE	TBX4_MOUSE
TBX2_MOUSE	TBX4_MOUSE
TFE3_MOUSE	AXIN2_MOUSE
CDC45_MOUSE	GNA12_MOUSE
COX5A_MOUSE	DHSD_MOUSE
TFE3_MOUSE	FGF6_MOUSE
CCND2_MOUSE	LHX2_MOUSE
DHSD_MOUSE	MNT_MOUSE
KLF6_MOUSE	CADH1_MOUSE
GNA12_MOUSE	CADH1_MOUSE
GNA12_MOUSE	CADH4_MOUSE
BCL6B_MOUSE	CLC10_MOUSE
GNA12_MOUSE	ARVC_MOUSE
CADH1_MOUSE	ARVC_MOUSE
CADH4_MOUSE	ARVC_MOUSE
ODP2_MOUSE	ODB2_MOUSE
GNA12_MOUSE	ACVL1_MOUSE
LHX2_MOUSE	ACVL1_MOUSE
GNA12_MOUSE	ACV1B_MOUSE
DHSD_MOUSE	ACV1B_MOUSE
DGKE_MOUSE	SAP3_MOUSE
CCM2_MOUSE	KRIT1_MOUSE
ACVL1_MOUSE	KRIT1_MOUSE
RNF17_MOUSE	BT1A1_MOUSE
CCND2_MOUSE	DNM3L_MOUSE
CCND2_MOUSE	AIRE_MOUSE
CLC10_MOUSE	ICOSL_MOUSE
DGKE_MOUSE	SPG7_MOUSE
SAP3_MOUSE	SPG7_MOUSE
ACV1B_MOUSE	RFA1_MOUSE
AIRE_MOUSE	PEDF_MOUSE
BCL6B_MOUSE	TCF7_MOUSE
DAZP2_MOUSE	TCF7_MOUSE
LCK_MOUSE	TCF7_MOUSE
ICOSL_MOUSE	TCF7_MOUSE
TPD53_MOUSE	TPD54_MOUSE
RFA1_MOUSE	BC11A_MOUSE
CCND2_MOUSE	DOPO_MOUSE
TY3H_MOUSE	DOPO_MOUSE
MNT_MOUSE	SNF5_MOUSE
TFE3_MOUSE	HIP1R_MOUSE
FGF6_MOUSE	HIP1R_MOUSE
MYF5_MOUSE	HIP1R_MOUSE
HXB6_MOUSE	HXA4_MOUSE
DHSD_MOUSE	S10A4_MOUSE
MNT_MOUSE	S10A4_MOUSE
RFA1_MOUSE	S10A4_MOUSE
DLG3_MOUSE	S10A3_MOUSE
S10A4_MOUSE	S10A6_MOUSE
CAV2_MOUSE	ICAM2_MOUSE
ICAM4_MOUSE	ICAM2_MOUSE
GNA12_MOUSE	MK07_MOUSE
RAF1_MOUSE	MK07_MOUSE
ACVL1_MOUSE	MK07_MOUSE
ACV1B_MOUSE	MK07_MOUSE
HIP1R_MOUSE	EPN2_MOUSE
DLG3_MOUSE	N4BP3_MOUSE
GLUC_MOUSE	PDIP2_MOUSE
MY18A_MOUSE	ARAF_MOUSE
ABH15_MOUSE	LMA2L_MOUSE
CLC10_MOUSE	MCM3A_MOUSE
TCF7_MOUSE	MCM3A_MOUSE
TRI25_MOUSE	GMCL1_MOUSE
CDC45_MOUSE	OCRL_MOUSE
GNA12_MOUSE	OCRL_MOUSE
S10A4_MOUSE	OCRL_MOUSE
SEPR_MOUSE	DPP9_MOUSE
DGKE_MOUSE	KCRB_MOUSE
KCRU_MOUSE	KCRB_MOUSE
SAP3_MOUSE	KCRB_MOUSE
SPG7_MOUSE	KCRB_MOUSE
DDX3X_MOUSE	SP1_MOUSE
LCK_MOUSE	ITB7_MOUSE
I12R1_MOUSE	ITB7_MOUSE
MYF5_MOUSE	EFNB2_MOUSE
ARAF_MOUSE	EFNB2_MOUSE
PPA5_MOUSE	CNN1_MOUSE
MK07_MOUSE	MEF2D_MOUSE
RNF17_MOUSE	SND1_MOUSE
MMP11_MOUSE	COIA1_MOUSE
SNF5_MOUSE	COIA1_MOUSE
PEDF_MOUSE	S19A1_MOUSE
SOX9_MOUSE	IMB1_MOUSE
SP1_MOUSE	IMB1_MOUSE
OPRM_MOUSE	PSA_MOUSE
ITB7_MOUSE	TBX21_MOUSE
CCND2_MOUSE	DEFI8_MOUSE
SOX9_MOUSE	PAX9_MOUSE
TBX21_MOUSE	PAX9_MOUSE
MEOX1_MOUSE	PAX9_MOUSE
AXIN2_MOUSE	CO1A1_MOUSE
MNT_MOUSE	CO1A1_MOUSE
SOX9_MOUSE	CO1A1_MOUSE
SP1_MOUSE	CO1A1_MOUSE
ITA5_MOUSE	ITA3_MOUSE
NKX21_MOUSE	ITA3_MOUSE
FGF6_MOUSE	SGCA_MOUSE
TBX4_MOUSE	DLX3_MOUSE
DHSD_MOUSE	DLX3_MOUSE
KRIT1_MOUSE	DLX3_MOUSE
MNT_MOUSE	TULP3_MOUSE
CO1A1_MOUSE	TULP3_MOUSE
CADH1_MOUSE	PLAK_MOUSE
RAF1_MOUSE	PLAK_MOUSE
ACVL1_MOUSE	PLAK_MOUSE
RAF1_MOUSE	FKB10_MOUSE
RNF17_MOUSE	KLH10_MOUSE
BT1A1_MOUSE	KLH10_MOUSE
MEOX1_MOUSE	IFRD1_MOUSE
SGCA_MOUSE	IFRD1_MOUSE
PLAK_MOUSE	IFRD1_MOUSE
TFE3_MOUSE	ALDR_MOUSE
WNT3_MOUSE	HXC13_MOUSE
PPA5_MOUSE	HXC8_MOUSE
CNN1_MOUSE	HXC8_MOUSE
MEOX1_MOUSE	HXC8_MOUSE
PAX9_MOUSE	HXC8_MOUSE
IFRD1_MOUSE	HXC8_MOUSE
HXA10_MOUSE	HXC6_MOUSE
HXC8_MOUSE	HXC6_MOUSE
DHSD_MOUSE	MCA3_MOUSE
MNT_MOUSE	MCA3_MOUSE
RFA1_MOUSE	MCA3_MOUSE
MMP11_MOUSE	MCA3_MOUSE
S10A4_MOUSE	MCA3_MOUSE
COMT_MOUSE	AKT1_MOUSE
LCK_MOUSE	IL16_MOUSE
I12R1_MOUSE	IL16_MOUSE
TBX21_MOUSE	IL16_MOUSE
SOX9_MOUSE	SMO_MOUSE
HXA4_MOUSE	SMO_MOUSE
RAB5B_MOUSE	RIN2_MOUSE
VP9D1_MOUSE	RIN2_MOUSE
WNT3_MOUSE	CPNS1_MOUSE
DLX3_MOUSE	CPNS1_MOUSE
HXC13_MOUSE	CPNS1_MOUSE
OPRM_MOUSE	DSG4_MOUSE
HXC13_MOUSE	DSG4_MOUSE
MEOX1_MOUSE	EVX2_MOUSE
HXA10_MOUSE	HXD13_MOUSE
MEOX1_MOUSE	HXD13_MOUSE
HXC6_MOUSE	HXD13_MOUSE
HXA10_MOUSE	HXD12_MOUSE
PPA5_MOUSE	HXD12_MOUSE
CNN1_MOUSE	HXD12_MOUSE
MEOX1_MOUSE	HXD12_MOUSE
PAX9_MOUSE	HXD12_MOUSE
EVX2_MOUSE	HXD12_MOUSE
HXD13_MOUSE	HXD12_MOUSE
TIMP1_MOUSE	FOLR1_MOUSE
RIN2_MOUSE	RAC1_MOUSE
DHSD_MOUSE	NU214_MOUSE
ACV1B_MOUSE	NU214_MOUSE
PCBP3_MOUSE	AIF1L_MOUSE
CLC10_MOUSE	CBPA3_MOUSE
TCF7_MOUSE	CBPA3_MOUSE
RAC1_MOUSE	LTBP1_MOUSE
UBE2C_MOUSE	UBA1_MOUSE
TY3H_MOUSE	ESAM_MOUSE
GMCL1_MOUSE	EMD_MOUSE
OPRM_MOUSE	GRIA3_MOUSE
PSA_MOUSE	GRIA3_MOUSE
HXC13_MOUSE	GRIA3_MOUSE
FOLR1_MOUSE	GRIA3_MOUSE
ITB7_MOUSE	CD3G_MOUSE
IL16_MOUSE	CD3G_MOUSE
SNAPN_MOUSE	SPAG5_MOUSE
CADH1_MOUSE	PRS6A_MOUSE
HXB6_MOUSE	PPAL_MOUSE
NPAS1_MOUSE	PPAL_MOUSE
CAV2_MOUSE	RAPSN_MOUSE
MYF5_MOUSE	RAPSN_MOUSE
ICAM2_MOUSE	RAPSN_MOUSE
CCND2_MOUSE	NR1H3_MOUSE
MMP11_MOUSE	DDB2_MOUSE
COIA1_MOUSE	DDB2_MOUSE
RFA1_MOUSE	SPI1_MOUSE
HXA10_MOUSE	SPI1_MOUSE
S10A4_MOUSE	SPI1_MOUSE
SND1_MOUSE	STAT6_MOUSE
TRI25_MOUSE	CLGN_MOUSE
GMCL1_MOUSE	CLGN_MOUSE
CADH1_MOUSE	PAXI1_MOUSE
PRS6A_MOUSE	PAXI1_MOUSE
DSG4_MOUSE	PPARD_MOUSE
WNT3_MOUSE	PEG3_MOUSE
HXC13_MOUSE	PEG3_MOUSE
NPAS1_MOUSE	PEG3_MOUSE
NARF_MOUSE	NARFL_MOUSE
APOH_MOUSE	ANGL4_MOUSE
DNM3L_MOUSE	REC8_MOUSE
HXD13_MOUSE	REC8_MOUSE
ITB7_MOUSE	IRF9_MOUSE
IL16_MOUSE	IRF9_MOUSE
GMPR1_MOUSE	GMPR2_MOUSE
MNX1_MOUSE	NCAN_MOUSE
NR1H3_MOUSE	T161A_MOUSE
MEF2D_MOUSE	MF2NB_MOUSE
RAC1_MOUSE	BMP8B_MOUSE
NU214_MOUSE	BMP8B_MOUSE
REC8_MOUSE	BMP8B_MOUSE
OPRM_MOUSE	NR2F6_MOUSE
BC11A_MOUSE	NR2F6_MOUSE
RARG_MOUSE	NR2F6_MOUSE
GRIA3_MOUSE	NR2F6_MOUSE
RAF1_MOUSE	BRAF_MOUSE
SP1_MOUSE	BRAF_MOUSE
DLX3_MOUSE	BRAF_MOUSE
PLAK_MOUSE	BRAF_MOUSE
ESAM_MOUSE	BRAF_MOUSE
NDUA9_MOUSE	NDUB2_MOUSE
ARAF_MOUSE	PRP6_MOUSE
RGS19_MOUSE	RGS20_MOUSE
ABH15_MOUSE	ABHD3_MOUSE
MEP50_MOUSE	SMD1_MOUSE
S26A3_MOUSE	NHRF2_MOUSE
COASY_MOUSE	UCK1_MOUSE
DHSD_MOUSE	PON1_MOUSE
CCM2_MOUSE	PON1_MOUSE
CCND2_MOUSE	UFO_MOUSE
LCK_MOUSE	UFO_MOUSE
AIRE_MOUSE	UFO_MOUSE
IL4_MOUSE	UFO_MOUSE
ACVL1_MOUSE	TGFB1_MOUSE
CO1A1_MOUSE	TGFB1_MOUSE
PLAK_MOUSE	TGFB1_MOUSE
LTBP1_MOUSE	TGFB1_MOUSE
SMO_MOUSE	SHH_MOUSE
PDIP2_MOUSE	CLPP_MOUSE
SP1_MOUSE	XPO2_MOUSE
BRAF_MOUSE	XPO2_MOUSE
IL16_MOUSE	NMDE4_MOUSE
TBX2_MOUSE	JAG2_MOUSE
SOX9_MOUSE	JAG2_MOUSE
BC11A_MOUSE	JAG2_MOUSE
PAX9_MOUSE	JAG2_MOUSE
RAF1_MOUSE	NUD14_MOUSE
ARAF_MOUSE	NUD14_MOUSE
CADH1_MOUSE	FLII_MOUSE
CPNS1_MOUSE	FLII_MOUSE
PRS6A_MOUSE	FLII_MOUSE
PAXI1_MOUSE	FLII_MOUSE
RFA1_MOUSE	TOP3A_MOUSE
APOH_MOUSE	PLA1A_MOUSE
S10A6_MOUSE	PLA1A_MOUSE
CDC45_MOUSE	MCM2_MOUSE
RFA1_MOUSE	MCM2_MOUSE
DBF4A_MOUSE	MCM2_MOUSE
MYF5_MOUSE	NAB1_MOUSE
HIP1R_MOUSE	NAB1_MOUSE
HXA4_MOUSE	NAB1_MOUSE
PPAL_MOUSE	NAB1_MOUSE
FER_MOUSE	CD97_MOUSE
KCRU_MOUSE	CD97_MOUSE
DAZP2_MOUSE	CD97_MOUSE
SEPR_MOUSE	CD97_MOUSE
RHBG_MOUSE	CD97_MOUSE
IRX2_MOUSE	CD97_MOUSE
SPAG5_MOUSE	CD97_MOUSE
CAV2_MOUSE	I17RA_MOUSE
ICAM2_MOUSE	I17RA_MOUSE
JAG2_MOUSE	I17RA_MOUSE
CADH1_MOUSE	LAMB1_MOUSE
CO6A1_MOUSE	LAMB1_MOUSE
PRS6A_MOUSE	LAMB1_MOUSE
PAXI1_MOUSE	LAMB1_MOUSE
TGFB1_MOUSE	LAMB1_MOUSE
FLII_MOUSE	LAMB1_MOUSE
MNX1_MOUSE	KCNN1_MOUSE
NCAN_MOUSE	KCNN1_MOUSE
COIA1_MOUSE	PPR17_MOUSE
ARAF_MOUSE	TIM44_MOUSE
MED6_MOUSE	MED25_MOUSE
FER_MOUSE	BCAM_MOUSE
KCRU_MOUSE	BCAM_MOUSE
DAZP2_MOUSE	BCAM_MOUSE
SEPR_MOUSE	BCAM_MOUSE
RHBG_MOUSE	BCAM_MOUSE
IRX2_MOUSE	BCAM_MOUSE
SPAG5_MOUSE	BCAM_MOUSE
TBRG4_MOUSE	TOM40_MOUSE
CCL3_MOUSE	APOE_MOUSE
LEG9_MOUSE	APOE_MOUSE
CD36_MOUSE	APOE_MOUSE
CCND2_MOUSE	CDN1B_MOUSE
CCNE1_MOUSE	CDN1B_MOUSE
KLF6_MOUSE	KLF4_MOUSE
ACVL1_MOUSE	KLF4_MOUSE
OCRL_MOUSE	KLF4_MOUSE
NKX21_MOUSE	KLF4_MOUSE
HXD12_MOUSE	KLF4_MOUSE
DHSD_MOUSE	AP1M1_MOUSE
KRIT1_MOUSE	AP1M1_MOUSE
DLX3_MOUSE	AP1M1_MOUSE
CPNS1_MOUSE	AP1M1_MOUSE
MNT_MOUSE	STK11_MOUSE
SNF5_MOUSE	STK11_MOUSE
TIMP1_MOUSE	STK11_MOUSE
EFNB2_MOUSE	EFNA2_MOUSE
MNX1_MOUSE	EFNA2_MOUSE
NCAN_MOUSE	EFNA2_MOUSE
KCNN1_MOUSE	EFNA2_MOUSE
AT5F1_MOUSE	ATPD_MOUSE
BT1A1_MOUSE	PA1B2_MOUSE
DNM3L_MOUSE	PA1B2_MOUSE
HXD13_MOUSE	PA1B2_MOUSE
REC8_MOUSE	PA1B2_MOUSE
BMP8B_MOUSE	PA1B2_MOUSE
N4BP3_MOUSE	IDD_MOUSE
LCK_MOUSE	IRF3_MOUSE
I12R1_MOUSE	IRF3_MOUSE
TBX21_MOUSE	IRF3_MOUSE
CD3G_MOUSE	IRF3_MOUSE
IRF9_MOUSE	IRF3_MOUSE
IMB1_MOUSE	RBP2_MOUSE
RANB3_MOUSE	RBP2_MOUSE
GRASP_MOUSE	CYH2_MOUSE
AIRE_MOUSE	PLAG1_MOUSE
REC8_MOUSE	PLAG1_MOUSE
PA1B2_MOUSE	PLAG1_MOUSE
LCP2_MOUSE	HCK_MOUSE
TBX4_MOUSE	KEAP1_MOUSE
SCNNG_MOUSE	AP1M2_MOUSE
AP4E1_MOUSE	AP1M2_MOUSE
AP1M1_MOUSE	AP1M2_MOUSE
WNT9A_MOUSE	GSLG1_MOUSE
GRIK3_MOUSE	GRIK5_MOUSE
CLC10_MOUSE	CD79A_MOUSE
TCF7_MOUSE	CD79A_MOUSE
