Gene_A	Gene_B
ITB7_MOUSE	FCGRN_MOUSE
IL16_MOUSE	FCGRN_MOUSE
PON1_MOUSE	FCGRN_MOUSE
IRF3_MOUSE	FCGRN_MOUSE
PIHD2_MOUSE	PIHD1_MOUSE
MGDP1_MOUSE	TIM50_MOUSE
BRAF_MOUSE	TIM50_MOUSE
TOM40_MOUSE	TIM50_MOUSE
PA1B2_MOUSE	TIM50_MOUSE
ITA5_MOUSE	NICA_MOUSE
DNM3L_MOUSE	NICA_MOUSE
DLX3_MOUSE	NICA_MOUSE
PXMP4_MOUSE	PEX19_MOUSE
SPT5H_MOUSE	PHYIP_MOUSE
GMPR1_MOUSE	IMDH1_MOUSE
LOX12_MOUSE	IMDH1_MOUSE
GMPR2_MOUSE	IMDH1_MOUSE
JAG2_MOUSE	IMDH1_MOUSE
VRK3_MOUSE	DUS3_MOUSE
DOPO_MOUSE	PROD_MOUSE
NPAS1_MOUSE	PROD_MOUSE
HXA10_MOUSE	DDR1_MOUSE
PAX9_MOUSE	DDR1_MOUSE
HXC6_MOUSE	DDR1_MOUSE
REC8_MOUSE	DDR1_MOUSE
PA1B2_MOUSE	DDR1_MOUSE
PLAG1_MOUSE	DDR1_MOUSE
DLL3_MOUSE	DDR1_MOUSE
AXIN2_MOUSE	KLC4_MOUSE
TOP3A_MOUSE	CP17A_MOUSE
SEPT1_MOUSE	HOME3_MOUSE
AXIN2_MOUSE	AVEN_MOUSE
LOX12_MOUSE	CERU_MOUSE
IMDH1_MOUSE	CERU_MOUSE
NARFL_MOUSE	CIAO1_MOUSE
PCBP3_MOUSE	TAF6L_MOUSE
KCRB_MOUSE	TAF6L_MOUSE
IL4_MOUSE	INSI2_MOUSE
IMB1_MOUSE	INSI2_MOUSE
IMB1_MOUSE	IMA7_MOUSE
IRF9_MOUSE	IMA7_MOUSE
XPO2_MOUSE	IMA7_MOUSE
RELB_MOUSE	IMA7_MOUSE
IL4_MOUSE	IP3KC_MOUSE
IL16_MOUSE	IP3KC_MOUSE
BICD1_MOUSE	KI20A_MOUSE
CAV2_MOUSE	DNS2A_MOUSE
RAF1_MOUSE	DNS2A_MOUSE
ICAM2_MOUSE	DNS2A_MOUSE
RAPSN_MOUSE	DNS2A_MOUSE
CDC45_MOUSE	RD23A_MOUSE
GNA12_MOUSE	RD23A_MOUSE
S10A4_MOUSE	RD23A_MOUSE
OCRL_MOUSE	RD23A_MOUSE
ARMC6_MOUSE	RD23A_MOUSE
KLF4_MOUSE	RD23A_MOUSE
MK07_MOUSE	CALR_MOUSE
DLX3_MOUSE	CALR_MOUSE
NU214_MOUSE	CALR_MOUSE
CLGN_MOUSE	CALR_MOUSE
NICA_MOUSE	CALR_MOUSE
RELB_MOUSE	NFAT5_MOUSE
SMG5_MOUSE	NOB1_MOUSE
LOX12_MOUSE	NQO1_MOUSE
DDB2_MOUSE	NQO1_MOUSE
BBC3_MOUSE	BAX_MOUSE
DLL3_MOUSE	BAX_MOUSE
DDR1_MOUSE	BAX_MOUSE
BCL6B_MOUSE	IL7RA_MOUSE
ICOSL_MOUSE	IL7RA_MOUSE
MCM3A_MOUSE	IL7RA_MOUSE
CBPA3_MOUSE	IL7RA_MOUSE
CD79A_MOUSE	IL7RA_MOUSE
EFNB2_MOUSE	EFNB3_MOUSE
EFNA2_MOUSE	EFNB3_MOUSE
LIN7B_MOUSE	EFNB3_MOUSE
RL13_MOUSE	RL8_MOUSE
RM02_MOUSE	RL8_MOUSE
RS11_MOUSE	RL8_MOUSE
SPT5H_MOUSE	RL8_MOUSE
FER_MOUSE	GRM3_MOUSE
KCRU_MOUSE	GRM3_MOUSE
DAZP2_MOUSE	GRM3_MOUSE
SEPR_MOUSE	GRM3_MOUSE
GRASP_MOUSE	GRM3_MOUSE
RHBG_MOUSE	GRM3_MOUSE
IRX2_MOUSE	GRM3_MOUSE
SPAG5_MOUSE	GRM3_MOUSE
DNM3L_MOUSE	FANCL_MOUSE
HXD13_MOUSE	FANCL_MOUSE
REC8_MOUSE	FANCL_MOUSE
STK11_MOUSE	FANCL_MOUSE
PA1B2_MOUSE	FANCL_MOUSE
PLAG1_MOUSE	FANCL_MOUSE
DDR1_MOUSE	FANCL_MOUSE
GSTM5_MOUSE	GSTM7_MOUSE
FER_MOUSE	STAT3_MOUSE
STAT6_MOUSE	STAT3_MOUSE
NFAT5_MOUSE	STAT3_MOUSE
CCND2_MOUSE	STA5A_MOUSE
IL4_MOUSE	STA5A_MOUSE
STAT6_MOUSE	STA5A_MOUSE
UFO_MOUSE	STA5A_MOUSE
IP3KC_MOUSE	STA5A_MOUSE
STAT3_MOUSE	STA5A_MOUSE
CCM2_MOUSE	M3K11_MOUSE
RAC1_MOUSE	M3K11_MOUSE
MP2K7_MOUSE	M3K11_MOUSE
NKX21_MOUSE	AKT2_MOUSE
AKT1_MOUSE	AKT2_MOUSE
HXD13_MOUSE	AKT2_MOUSE
ANGL4_MOUSE	AKT2_MOUSE
TOP3A_MOUSE	DNJA3_MOUSE
CP17A_MOUSE	DNJA3_MOUSE
NR2F6_MOUSE	HMOX2_MOUSE
HLF_MOUSE	HMOX2_MOUSE
MP2K7_MOUSE	MLTK_MOUSE
UHRF1_MOUSE	DNMT1_MOUSE
DDX18_MOUSE	SSF1_MOUSE
CACB3_MOUSE	CAC1B_MOUSE
SPI1_MOUSE	ETV1_MOUSE
KS6A1_MOUSE	ETV1_MOUSE
ARAF_MOUSE	SAP_MOUSE
PEG3_MOUSE	SAP_MOUSE
KLF4_MOUSE	SAP_MOUSE
LCK_MOUSE	NEMO_MOUSE
I12R1_MOUSE	NEMO_MOUSE
TBX21_MOUSE	NEMO_MOUSE
CD3G_MOUSE	NEMO_MOUSE
IRF9_MOUSE	NEMO_MOUSE
FCGRN_MOUSE	NEMO_MOUSE
CADH4_MOUSE	PAX2_MOUSE
S19A1_MOUSE	PAX2_MOUSE
PAX9_MOUSE	PAX2_MOUSE
PAXI1_MOUSE	PAX2_MOUSE
REC8_MOUSE	PHB2_MOUSE
STK11_MOUSE	PHB2_MOUSE
FANCL_MOUSE	PHB2_MOUSE
LOX12_MOUSE	PTN6_MOUSE
HXA10_MOUSE	PTN6_MOUSE
LCP2_MOUSE	PTN6_MOUSE
I17RA_MOUSE	PTN6_MOUSE
RELB_MOUSE	PTN6_MOUSE
DNMT1_MOUSE	PTN6_MOUSE
I12R1_MOUSE	IL12B_MOUSE
SP1_MOUSE	IL12B_MOUSE
ITB7_MOUSE	IL12B_MOUSE
IL16_MOUSE	IL12B_MOUSE
RELB_MOUSE	IL12B_MOUSE
IRF3_MOUSE	IL12B_MOUSE
NEMO_MOUSE	IL12B_MOUSE
CLCN4_MOUSE	CLCN5_MOUSE
RSMN_MOUSE	CLCN5_MOUSE
OCRL_MOUSE	CLCN5_MOUSE
TULP3_MOUSE	CLCN5_MOUSE
INS2_MOUSE	CLCN3_MOUSE
CLCN4_MOUSE	CLCN3_MOUSE
GRM6_MOUSE	CLCN3_MOUSE
CLCN5_MOUSE	CLCN3_MOUSE
GPX6_MOUSE	GPX5_MOUSE
SPI1_MOUSE	SPIC_MOUSE
SP1_MOUSE	CUL3_MOUSE
KLH10_MOUSE	CUL3_MOUSE
DDX18_MOUSE	CUL3_MOUSE
BRAF_MOUSE	CUL3_MOUSE
XPO2_MOUSE	CUL3_MOUSE
KEAP1_MOUSE	CUL3_MOUSE
RAPSN_MOUSE	LARGE_MOUSE
CLCN3_MOUSE	LARGE_MOUSE
DDX18_MOUSE	DDX56_MOUSE
TPD53_MOUSE	TMED4_MOUSE
LIN7B_MOUSE	BID_MOUSE
BAX_MOUSE	BID_MOUSE
EFNB3_MOUSE	BID_MOUSE
RNF17_MOUSE	PP1G_MOUSE
RAF1_MOUSE	PP1G_MOUSE
BT1A1_MOUSE	PP1G_MOUSE
DLG3_MOUSE	PP1G_MOUSE
KLH10_MOUSE	PP1G_MOUSE
NAPSA_MOUSE	CATE_MOUSE
NEP1_MOUSE	CATE_MOUSE
DNMT1_MOUSE	MCLN1_MOUSE
AKT1_MOUSE	PKN2_MOUSE
LOX12_MOUSE	CD33_MOUSE
JAG2_MOUSE	CD33_MOUSE
IMDH1_MOUSE	CD33_MOUSE
CERU_MOUSE	CD33_MOUSE
PTN6_MOUSE	CD33_MOUSE
COIA1_MOUSE	LMIP_MOUSE
SMD1_MOUSE	LMIP_MOUSE
PPR17_MOUSE	LMIP_MOUSE
SGCA_MOUSE	SGCE_MOUSE
UGPA_MOUSE	SGCE_MOUSE
EFNA2_MOUSE	CHIO_MOUSE
TFE3_MOUSE	TYRO_MOUSE
RAB8A_MOUSE	TYRO_MOUSE
STA5A_MOUSE	GHRHR_MOUSE
CERU_MOUSE	AQP1_MOUSE
NFAT5_MOUSE	AQP1_MOUSE
NACC1_MOUSE	ARI3B_MOUSE
CNN1_MOUSE	CNN2_MOUSE
MEF2D_MOUSE	HDAC9_MOUSE
LCK_MOUSE	CD244_MOUSE
I12R1_MOUSE	CD244_MOUSE
TBX21_MOUSE	CD244_MOUSE
CD3G_MOUSE	CD244_MOUSE
IRF9_MOUSE	CD244_MOUSE
FCGRN_MOUSE	CD244_MOUSE
IL12B_MOUSE	CD244_MOUSE
LY9_MOUSE	CD244_MOUSE
ITB7_MOUSE	EMR1_MOUSE
IL16_MOUSE	EMR1_MOUSE
IRF3_MOUSE	EMR1_MOUSE
NEMO_MOUSE	EMR1_MOUSE
CD244_MOUSE	EMR1_MOUSE
KAT2B_MOUSE	RB11A_MOUSE
TCPG_MOUSE	EI2BB_MOUSE
EI2BE_MOUSE	EI2BB_MOUSE
ODP2_MOUSE	ODO2_MOUSE
ODB2_MOUSE	ODO2_MOUSE
DHSD_MOUSE	PLGF_MOUSE
PDGFB_MOUSE	PLGF_MOUSE
TIMP1_MOUSE	PLGF_MOUSE
OPRM_MOUSE	ULK2_MOUSE
CCL3_MOUSE	CCL24_MOUSE
ITB7_MOUSE	CCL24_MOUSE
IL16_MOUSE	CCL24_MOUSE
IRF3_MOUSE	CCL24_MOUSE
NEMO_MOUSE	CCL24_MOUSE
CD244_MOUSE	CCL24_MOUSE
TMED4_MOUSE	TMD11_MOUSE
TNFL6_MOUSE	GRAP_MOUSE
CHM1A_MOUSE	CHM2B_MOUSE
RB11A_MOUSE	CHM2B_MOUSE
SP1_MOUSE	PLOD3_MOUSE
RAC1_MOUSE	PLOD3_MOUSE
NU214_MOUSE	PLOD3_MOUSE
XPO2_MOUSE	PLOD3_MOUSE
CUL3_MOUSE	PLOD3_MOUSE
ARMC6_MOUSE	AP1S1_MOUSE
AP2A2_MOUSE	AP1S1_MOUSE
AP1M1_MOUSE	AP1S1_MOUSE
AP1M2_MOUSE	AP1S1_MOUSE
KCRB_MOUSE	MK13_MOUSE
KPCD1_MOUSE	MK13_MOUSE
RND2_MOUSE	PAX3_MOUSE
MEOX1_MOUSE	PAX3_MOUSE
PAX9_MOUSE	PAX3_MOUSE
PSA_MOUSE	LBR_MOUSE
DSG4_MOUSE	LBR_MOUSE
GRIA3_MOUSE	LBR_MOUSE
M3K11_MOUSE	LBR_MOUSE
PPA5_MOUSE	RABP2_MOUSE
CNN1_MOUSE	RABP2_MOUSE
HXC8_MOUSE	RABP2_MOUSE
HXD12_MOUSE	RABP2_MOUSE
DGKE_MOUSE	PGCB_MOUSE
SAP3_MOUSE	PGCB_MOUSE
SPG7_MOUSE	PGCB_MOUSE
TIMP1_MOUSE	PGCB_MOUSE
KCRB_MOUSE	PGCB_MOUSE
HDGR2_MOUSE	HDGF_MOUSE
SNX9_MOUSE	THOP1_MOUSE
APBB3_MOUSE	APBA3_MOUSE
CD97_MOUSE	MATK_MOUSE
CD36_MOUSE	MATK_MOUSE
BCAM_MOUSE	MATK_MOUSE
GRM3_MOUSE	MATK_MOUSE
BC11A_MOUSE	PIAS4_MOUSE
IL4_MOUSE	PIAS4_MOUSE
IRF3_MOUSE	PIAS4_MOUSE
IP3KC_MOUSE	PIAS4_MOUSE
STAT3_MOUSE	PIAS4_MOUSE
DHSD_MOUSE	MP2K1_MOUSE
RAF1_MOUSE	MP2K1_MOUSE
MK07_MOUSE	MP2K1_MOUSE
DLX3_MOUSE	MP2K1_MOUSE
NU214_MOUSE	MP2K1_MOUSE
ESAM_MOUSE	MP2K1_MOUSE
BRAF_MOUSE	MP2K1_MOUSE
PON1_MOUSE	MP2K1_MOUSE
CALR_MOUSE	MP2K1_MOUSE
M3K11_MOUSE	MP2K1_MOUSE
PLOD3_MOUSE	MP2K1_MOUSE
DNJC5_MOUSE	SGTA_MOUSE
SSRD_MOUSE	SGTA_MOUSE
S10A3_MOUSE	DTX2_MOUSE
RNF17_MOUSE	ZP3_MOUSE
BT1A1_MOUSE	ZP3_MOUSE
HXA10_MOUSE	ZP3_MOUSE
KLH10_MOUSE	ZP3_MOUSE
HXC6_MOUSE	ZP3_MOUSE
PA1B2_MOUSE	ZP3_MOUSE
PP1G_MOUSE	ZP3_MOUSE
KPCD1_MOUSE	HSPB1_MOUSE
LOXL3_MOUSE	RASL2_MOUSE
ITB7_MOUSE	RASL2_MOUSE
IL16_MOUSE	RASL2_MOUSE
