#node	score1
SDF2L_MOUSE	-0.3499
ALBU_MOUSE	0.0619
PRDX1_MOUSE	1.6872
BODG_MOUSE	-2.9967
HNRPM_MOUSE	-2.6979
SYYC_MOUSE	-2.9109
KINH_MOUSE	-3.2721
SC24A_MOUSE	-3.3824
FTCD_MOUSE	-2.6551
SQRD_MOUSE	-3.2143
UBA1_MOUSE	-1.7331
LMAN1_MOUSE	-2.6435
DHC24_MOUSE	-1.5674
RL28_MOUSE	-1.8671
DHB8_MOUSE	-2.5978
THIC_MOUSE	-3.0838
MT2_MOUSE	2.1061
41_MOUSE	4.5206
FKBP4_MOUSE	-2.6551
GLRX1_MOUSE	-3.1261
RAP1B_MOUSE	-2.7499
ODPB_MOUSE	-3.2861
RANG_MOUSE	-2.8453
K1C18_MOUSE	-0.8112
CSAD_MOUSE	-2.9516
UD16_MOUSE	-1.9409
ETFB_MOUSE	-2.8007
IF1A_MOUSE	-2.9076
NB5R3_MOUSE	-1.4471
AHSA1_MOUSE	-3.4071
AGM1_MOUSE	4.043
DCTN4_MOUSE	0.2137
RL31_MOUSE	9.3302
RHOB_MOUSE	47.7861
TRFE_MOUSE	-3.4504
UGDH_MOUSE	-3.2054
OXSM_MOUSE	31.0652
DDX3X_MOUSE	3.4122
FBX6_MOUSE	2.5076
VPS25_MOUSE	5.7471
CCS_MOUSE	1.6157
IF4B_MOUSE	-2.5586
ALD2_MOUSE	3.0132
SC31A_MOUSE	-3.3317
ARF6_MOUSE	-2.1969
KLC4_MOUSE	-0.6534
AKAP1_MOUSE	-3.0532
MOT1_MOUSE	-2.4123
ODB2_MOUSE	-2.7237
IF2H_MOUSE	-3.2819
CREL2_MOUSE	-3.4396
GSTT2_MOUSE	-2.9582
SDSL_MOUSE	-0.7393
RM22_MOUSE	-1.8472
UFD1_MOUSE	-2.039
GSHR_MOUSE	-3.2974
M2GD_MOUSE	-2.6593
IST1_MOUSE	2.435
NDKA_MOUSE	-3.3702
ARGI1_MOUSE	5.939
EPS15_MOUSE	7.9478
LTOR1_MOUSE	-3.3974
IF2G_MOUSE	-2.938
PDCD6_MOUSE	1.6701
APOC2_MOUSE	5.2373
GPDM_MOUSE	-2.8735
PGES2_MOUSE	-3.3016
AN32A_MOUSE	13.7746
SYIM_MOUSE	-1.8647
SO1B2_MOUSE	-2.588
NDUS7_MOUSE	-3.4414
IF2P_MOUSE	-1.4885
BHMT1_MOUSE	0.0681
NADC_MOUSE	-2.2713
EIF3H_MOUSE	-0.2111
LDHA_MOUSE	-3.0916
ECHP_MOUSE	-3.0757
ALDOB_MOUSE	47.5241
RL13_MOUSE	-2.1139
RL14_MOUSE	-0.3793
ARP2_MOUSE	-3.2891
GANAB_MOUSE	-1.6513
NUDC2_MOUSE	1.4663
TIF1B_MOUSE	-1.8533
THIKA_MOUSE	-1.8356
GPAT1_MOUSE	-2.8794
NDUB5_MOUSE	-3.2132
ATP5L_MOUSE	-1.719
CAND1_MOUSE	-3.3142
CLPB_MOUSE	1.3907
2AAA_MOUSE	-3.3707
PPCS_MOUSE	2.621
BIEA_MOUSE	-2.1287
PRS8_MOUSE	-3.0855
ABCD3_MOUSE	-3.2336
MCEE_MOUSE	1.0205
BGAL_MOUSE	-1.8492
PROD_MOUSE	-3.4504
CAZA2_MOUSE	-1.8393
CAZA1_MOUSE	2.6318
HMCS2_MOUSE	36.8795
RS27L_MOUSE	-1.8169
1433F_MOUSE	-0.3448
SYHC_MOUSE	-2.9992
HNRPC_MOUSE	-3.0402
LRP1_MOUSE	-2.6502
AP1G1_MOUSE	47.7861
MOES_MOUSE	-2.7935
E41L2_MOUSE	-3.2649
TOM40_MOUSE	-3.1932
AOFA_MOUSE	-2.4725
CHMP5_MOUSE	7.898
RL5_MOUSE	4.6575
CPNS1_MOUSE	-2.7948
K2C1_MOUSE	-3.3007
MDHM_MOUSE	-2.6765
RBM47_MOUSE	-0.953
ANXA2_MOUSE	-3.1877
EIF1_MOUSE	1.4088
HGS_MOUSE	0.1178
SOX_MOUSE	-2.9061
PSA5_MOUSE	-3.4348
ALDH2_MOUSE	19.1109
PCCB_MOUSE	0.6966
RINI_MOUSE	-1.8403
FPPS_MOUSE	-2.811
PSB1_MOUSE	-3.4071
NDUAC_MOUSE	-2.3818
COPB_MOUSE	-2.991
NAMPT_MOUSE	-1.8061
SGTA_MOUSE	1.7468
RAB6A_MOUSE	-0.6896
FAHD1_MOUSE	-1.6778
ATP8_MOUSE	-1.8771
DDX5_MOUSE	-2.4181
PSD12_MOUSE	0.2394
AL3A2_MOUSE	-2.8686
ROA0_MOUSE	10.3491
ATP5J_MOUSE	-0.8044
LAMP2_MOUSE	-1.5916
GSTP1_MOUSE	2.801
C1TC_MOUSE	-2.7691
CP3AB_MOUSE	-0.4351
ACLY_MOUSE	-3.127
PHB2_MOUSE	-1.4471
PTN6_MOUSE	-2.9684
TCPB_MOUSE	0.7758
CP7B1_MOUSE	-2.4575
ARC1A_MOUSE	-3.344
PPA6_MOUSE	-2.7575
ACSM5_MOUSE	-3.3007
CY1_MOUSE	-2.4759
IMB1_MOUSE	0.1472
RL12_MOUSE	-3.2173
GLO2_MOUSE	-3.4402
GPX1_MOUSE	8.2917
DYHC1_MOUSE	-3.0137
S27A5_MOUSE	-2.6096
METK1_MOUSE	47.7861
NDKB_MOUSE	-3.1487
A1AT2_MOUSE	-1.8658
CP4FE_MOUSE	15.746
IF4G3_MOUSE	5.273
AP2A2_MOUSE	12.015
GLNA_MOUSE	-1.833
BID_MOUSE	-1.13
OSBL1_MOUSE	-2.4144
AN32B_MOUSE	-2.4612
HYEP_MOUSE	-3.0334
ACL6A_MOUSE	-0.6454
SRPRB_MOUSE	1.6575
GAS2_MOUSE	1.7483
NDUB7_MOUSE	9.8051
NDUB4_MOUSE	3.2995
UMPS_MOUSE	0.9698
PSMD8_MOUSE	3.1452
M2OM_MOUSE	-3.4192
RL27A_MOUSE	-2.4414
CP2A5_MOUSE	-0.3061
DHTK1_MOUSE	-3.3699
NUDT5_MOUSE	-3.2561
GSLG1_MOUSE	-3.3207
PUR6_MOUSE	-2.8725
UCHL5_MOUSE	-2.8787
PLAK_MOUSE	-2.5022
XPO1_MOUSE	-2.8181
FXR1_MOUSE	-3.1298
CADH2_MOUSE	-2.3622
FABPL_MOUSE	-0.477
SYAC_MOUSE	-3.374
VIGLN_MOUSE	-3.3181
RAB10_MOUSE	4.8403
EMD_MOUSE	-2.7941
RCC2_MOUSE	-2.9405
AT2L1_MOUSE	2.8828
TCPH_MOUSE	-3.402
PAPS1_MOUSE	-2.5348
DNJB4_MOUSE	-3.2143
GCSH_MOUSE	-2.3848
COF1_MOUSE	-1.9646
EPN4_MOUSE	-2.4231
ACADL_MOUSE	-2.2934
RPE_MOUSE	1.7829
ACSL4_MOUSE	1.7563
NDUBA_MOUSE	-2.3121
PNCB_MOUSE	-1.9067
TCPG_MOUSE	-3.0406
RAB1B_MOUSE	1.4469
CERU_MOUSE	-0.0652
DPYD_MOUSE	-2.6253
THIOM_MOUSE	0.1666
IPO7_MOUSE	3.9514
MCM7_MOUSE	3.3591
KPRA_MOUSE	-2.1464
AP2B1_MOUSE	-3.0855
HEBP1_MOUSE	-2.7149
ENOA_MOUSE	-3.0564
SYK_MOUSE	-3.3493
PSD13_MOUSE	2.6678
CP237_MOUSE	-3.2276
