#nodeA	nodeB	score1
GNAI3_MOUSE	MK14_MOUSE	0
GNAI3_MOUSE	KAPCB_MOUSE	0
GNAI3_MOUSE	MK01_MOUSE	0
GNAI3_MOUSE	KNG1_MOUSE	0
GNAI3_MOUSE	CO3_MOUSE	0
GNAI3_MOUSE	ANXA1_MOUSE	0
GNAI3_MOUSE	GBB1_MOUSE	0
GNAI3_MOUSE	GBB2_MOUSE	0
GNAI3_MOUSE	HEBP1_MOUSE	0
GNAI3_MOUSE	GBG12_MOUSE	0
GNAI3_MOUSE	MK03_MOUSE	0
GNAI3_MOUSE	GNAI2_MOUSE	0
APOH_MOUSE	FETUA_MOUSE	0
APOH_MOUSE	THRB_MOUSE	0
APOH_MOUSE	APOC3_MOUSE	0
APOH_MOUSE	APOA1_MOUSE	0
APOH_MOUSE	ANT3_MOUSE	0
COX5A_MOUSE	ATPD_MOUSE	0
COX5A_MOUSE	NDUS3_MOUSE	0
COX5A_MOUSE	COX6C_MOUSE	0
COX5A_MOUSE	QCR10_MOUSE	0
COX5A_MOUSE	QCR7_MOUSE	0
COX5A_MOUSE	NDUB9_MOUSE	0
COX5A_MOUSE	NDUA6_MOUSE	0
COX5A_MOUSE	CY1_MOUSE	0
COX5A_MOUSE	ATP5J_MOUSE	0
COX5A_MOUSE	ATPO_MOUSE	0
COX5A_MOUSE	NDUA5_MOUSE	0
COX5A_MOUSE	NDUB8_MOUSE	0
COX5A_MOUSE	ATPB_MOUSE	0
COX5A_MOUSE	QCR1_MOUSE	0
COX5A_MOUSE	MPPB_MOUSE	0
COX5A_MOUSE	NDUC2_MOUSE	0
COX5A_MOUSE	QCR2_MOUSE	0
COX5A_MOUSE	COX41_MOUSE	0
COX5A_MOUSE	NDUBA_MOUSE	0
COX5A_MOUSE	UCRI_MOUSE	0
COX5A_MOUSE	ATP5H_MOUSE	0
COX5A_MOUSE	CX6A1_MOUSE	0
COX5A_MOUSE	ATP5I_MOUSE	0
COX5A_MOUSE	QCR8_MOUSE	0
COX5A_MOUSE	QCR9_MOUSE	0
COX5A_MOUSE	NDUA8_MOUSE	0
COX5A_MOUSE	NDUS8_MOUSE	0
COX5A_MOUSE	CX6B1_MOUSE	0
COX5A_MOUSE	QCR6_MOUSE	0
COX5A_MOUSE	COX5B_MOUSE	0
COX5A_MOUSE	COX1_MOUSE	0
COX5A_MOUSE	COX2_MOUSE	0
COX5A_MOUSE	NDUB6_MOUSE	0
COX5A_MOUSE	C560_MOUSE	0
COX5A_MOUSE	ATPG_MOUSE	0
COX5A_MOUSE	NDUBB_MOUSE	0
COX5A_MOUSE	AT5F1_MOUSE	0
COX5A_MOUSE	NDUB5_MOUSE	0
COX5A_MOUSE	COX7C_MOUSE	0
COX5A_MOUSE	NDUV2_MOUSE	0
COX5A_MOUSE	CYC_MOUSE	0
COX5A_MOUSE	ATPK_MOUSE	0
COX5A_MOUSE	NDUAC_MOUSE	0
COX5A_MOUSE	ATP5L_MOUSE	0
ARP2_MOUSE	ARPC2_MOUSE	0
ARP2_MOUSE	COR1B_MOUSE	0
ARP2_MOUSE	ARP3_MOUSE	0
ARP2_MOUSE	CDC42_MOUSE	0
ARP2_MOUSE	ARC1A_MOUSE	0
ARP2_MOUSE	ARPC5_MOUSE	0
ARP2_MOUSE	RAC1_MOUSE	0
ARP2_MOUSE	ARC1B_MOUSE	0
ARP2_MOUSE	ARPC3_MOUSE	0
ARP2_MOUSE	MYO1C_MOUSE	0
ARP2_MOUSE	ARPC4_MOUSE	0
ARP2_MOUSE	ABI1_MOUSE	0
DHSD_MOUSE	NDUS3_MOUSE	0
DHSD_MOUSE	QCR10_MOUSE	0
DHSD_MOUSE	QCR7_MOUSE	0
DHSD_MOUSE	SUCB1_MOUSE	0
DHSD_MOUSE	NDUB9_MOUSE	0
DHSD_MOUSE	CY1_MOUSE	0
DHSD_MOUSE	NDUA5_MOUSE	0
DHSD_MOUSE	ATPA_MOUSE	0
DHSD_MOUSE	QCR1_MOUSE	0
DHSD_MOUSE	FUMH_MOUSE	0
DHSD_MOUSE	MPPB_MOUSE	0
DHSD_MOUSE	FAAA_MOUSE	0
DHSD_MOUSE	QCR2_MOUSE	0
DHSD_MOUSE	NDUBA_MOUSE	0
DHSD_MOUSE	UCRI_MOUSE	0
DHSD_MOUSE	CX6A1_MOUSE	0
DHSD_MOUSE	QCR8_MOUSE	0
DHSD_MOUSE	QCR9_MOUSE	0
DHSD_MOUSE	FAHD1_MOUSE	0
DHSD_MOUSE	SUCA_MOUSE	0
DHSD_MOUSE	QCR6_MOUSE	0
DHSD_MOUSE	SUCB2_MOUSE	0
DHSD_MOUSE	C560_MOUSE	0
DHSD_MOUSE	NDUB5_MOUSE	0
DHSD_MOUSE	ARLY_MOUSE	0
COMT_MOUSE	ADH1_MOUSE	0
COMT_MOUSE	ADHX_MOUSE	0
COMT_MOUSE	ADH4_MOUSE	0
COMT_MOUSE	UD16_MOUSE	0
COMT_MOUSE	AOFA_MOUSE	0
COMT_MOUSE	UD2A3_MOUSE	0
COMT_MOUSE	AOFB_MOUSE	0
COMT_MOUSE	DDC_MOUSE	0
COMT_MOUSE	UD11_MOUSE	0
