#node	score1
GNAI3_MOUSE	-9.693
APOH_MOUSE	-8.719
COX5A_MOUSE	-9.0126
ARP2_MOUSE	-9.5517
DHSD_MOUSE	-9.1061
COMT_MOUSE	-6.8311
ODB2_MOUSE	-8.9863
MCM7_MOUSE	-2.9035
RADI_MOUSE	-8.0447
SAP3_MOUSE	19.2657
3HAO_MOUSE	-7.1262
RAB5B_MOUSE	4.4233
RL13_MOUSE	-8.3765
PEDF_MOUSE	3.9778
DDX3X_MOUSE	-2.8505
AOXA_MOUSE	-9.6261
PDIP2_MOUSE	-9.3389
FTCD_MOUSE	-8.9177
SYYC_MOUSE	-9.1735
SYHC_MOUSE	-9.2618
TCPG_MOUSE	-9.3032
SND1_MOUSE	-8.5339
IMB1_MOUSE	-6.1154
PSA_MOUSE	-9.008
RM10_MOUSE	-9.0815
CP51A_MOUSE	-0.5513
TBB6_MOUSE	-8.6839
AFG31_MOUSE	-7.8759
ITA3_MOUSE	-7.8664
PLAK_MOUSE	-8.7648
FXR1_MOUSE	-9.3924
GSTT1_MOUSE	-8.7307
MCA3_MOUSE	-4.6998
COASY_MOUSE	-9.1546
PABP1_MOUSE	-9.7049
CPNS1_MOUSE	-9.0575
CLPB_MOUSE	-4.8719
UBA1_MOUSE	-7.9958
EMD_MOUSE	-9.0567
BIEA_MOUSE	-8.3913
SF3A1_MOUSE	-8.5968
RHOC_MOUSE	3.7373
NDUAB_MOUSE	-9.6275
SMD1_MOUSE	-6.5769
PON1_MOUSE	-3.2272
CLPP_MOUSE	-7.6301
XPO2_MOUSE	-9.006
YKT6_MOUSE	-9.5183
PEX6_MOUSE	-3.2542
GNMT_MOUSE	-7.0152
TIM44_MOUSE	-8.8086
AP2A2_MOUSE	5.7524
APOE_MOUSE	-9.3363
APOC2_MOUSE	-1.0253
CP2F2_MOUSE	0.9075
AP1M1_MOUSE	-4.9732
RAB8A_MOUSE	-9.4339
CP2CT_MOUSE	-8.5757
ATPD_MOUSE	-8.5661
PPP5_MOUSE	-9.1619
LIPS_MOUSE	-7.46
GLU2B_MOUSE	-6.8311
RS11_MOUSE	-7.9308
