#nodeA	nodeB	score1
SDF2L_MOUSE	CREL2_MOUSE	0
SDF2L_MOUSE	DJB11_MOUSE	0
SDF2L_MOUSE	PDIA4_MOUSE	0
SDF2L_MOUSE	MANF_MOUSE	0
SDF2L_MOUSE	HYOU1_MOUSE	0
ALBU_MOUSE	TRFE_MOUSE	0
ALBU_MOUSE	SO1B2_MOUSE	0
ALBU_MOUSE	LRP1_MOUSE	0
ALBU_MOUSE	S27A5_MOUSE	0
ALBU_MOUSE	A1AT2_MOUSE	0
ALBU_MOUSE	HEMO_MOUSE	0
ALBU_MOUSE	FINC_MOUSE	0
ALBU_MOUSE	HRG_MOUSE	0
ALBU_MOUSE	NTCP_MOUSE	0
ALBU_MOUSE	CLUS_MOUSE	0
ALBU_MOUSE	APOA1_MOUSE	0
ALBU_MOUSE	ALDOA_MOUSE	0
ALBU_MOUSE	ANT3_MOUSE	0
ALBU_MOUSE	ABCBB_MOUSE	0
ALBU_MOUSE	TTHY_MOUSE	0
ALBU_MOUSE	ACTN4_MOUSE	0
ALBU_MOUSE	FETUA_MOUSE	0
ALBU_MOUSE	KNG1_MOUSE	0
ALBU_MOUSE	A1AT4_MOUSE	0
ALBU_MOUSE	ACTN1_MOUSE	0
ALBU_MOUSE	SO1A1_MOUSE	0
ALBU_MOUSE	MUG1_MOUSE	0
ALBU_MOUSE	ICAM1_MOUSE	0
ALBU_MOUSE	PLMN_MOUSE	0
PRDX1_MOUSE	DCUP_MOUSE	0
PRDX1_MOUSE	PRDX5_MOUSE	0
PRDX1_MOUSE	THIO_MOUSE	0
PRDX1_MOUSE	PRDX2_MOUSE	0
BODG_MOUSE	ALDH2_MOUSE	0
BODG_MOUSE	AL3A2_MOUSE	0
BODG_MOUSE	AL9A1_MOUSE	0
BODG_MOUSE	AL7A1_MOUSE	0
BODG_MOUSE	AL1B1_MOUSE	0
HNRPM_MOUSE	HNRPC_MOUSE	0
HNRPM_MOUSE	ROA0_MOUSE	0
HNRPM_MOUSE	SF3A1_MOUSE	0
HNRPM_MOUSE	RUXE_MOUSE	0
HNRPM_MOUSE	LSM2_MOUSE	0
HNRPM_MOUSE	SMD3_MOUSE	0
HNRPM_MOUSE	PCBP1_MOUSE	0
HNRPM_MOUSE	CPSF5_MOUSE	0
HNRPM_MOUSE	U2AF2_MOUSE	0
HNRPM_MOUSE	ROA2_MOUSE	0
HNRPM_MOUSE	HNRL1_MOUSE	0
HNRPM_MOUSE	U2AF1_MOUSE	0
HNRPM_MOUSE	SRSF5_MOUSE	0
HNRPM_MOUSE	HNRH2_MOUSE	0
HNRPM_MOUSE	SF3B3_MOUSE	0
HNRPM_MOUSE	ROA3_MOUSE	0
HNRPM_MOUSE	RU17_MOUSE	0
HNRPM_MOUSE	HNRPD_MOUSE	0
HNRPM_MOUSE	PCBP2_MOUSE	0
HNRPM_MOUSE	YBOX1_MOUSE	0
HNRPM_MOUSE	CCAR1_MOUSE	0
HNRPM_MOUSE	SMD2_MOUSE	0
HNRPM_MOUSE	DHX9_MOUSE	0
HNRPM_MOUSE	SF3B1_MOUSE	0
HNRPM_MOUSE	FUS_MOUSE	0
HNRPM_MOUSE	HNRPK_MOUSE	0
HNRPM_MOUSE	U5S1_MOUSE	0
HNRPM_MOUSE	HNRPL_MOUSE	0
HNRPM_MOUSE	RNPS1_MOUSE	0
HNRPM_MOUSE	HNRPF_MOUSE	0
HNRPM_MOUSE	HNRPU_MOUSE	0
HNRPM_MOUSE	HNRH1_MOUSE	0
HNRPM_MOUSE	SMD1_MOUSE	0
HNRPM_MOUSE	RBM8A_MOUSE	0
HNRPM_MOUSE	SF3B4_MOUSE	0
SYYC_MOUSE	SYIM_MOUSE	0
SYYC_MOUSE	SYHC_MOUSE	0
SYYC_MOUSE	SYAC_MOUSE	0
SYYC_MOUSE	SYK_MOUSE	0
SYYC_MOUSE	SYEP_MOUSE	0
SYYC_MOUSE	SYRC_MOUSE	0
SYYC_MOUSE	SYVC_MOUSE	0
SYYC_MOUSE	SYG_MOUSE	0
SYYC_MOUSE	SYDC_MOUSE	0
SYYC_MOUSE	SYFA_MOUSE	0
SYYC_MOUSE	SYSC_MOUSE	0
SYYC_MOUSE	SYMC_MOUSE	0
SYYC_MOUSE	SYCC_MOUSE	0
SYYC_MOUSE	SYNC_MOUSE	0
SYYC_MOUSE	SYLC_MOUSE	0
SYYC_MOUSE	SYTC_MOUSE	0
SYYC_MOUSE	LRC47_MOUSE	0
SYYC_MOUSE	SYWC_MOUSE	0
SYYC_MOUSE	SYFB_MOUSE	0
SYYC_MOUSE	SYIC_MOUSE	0
SYYC_MOUSE	RM39_MOUSE	0
KINH_MOUSE	KLC4_MOUSE	0
KINH_MOUSE	CTND1_MOUSE	0
KINH_MOUSE	MK14_MOUSE	0
KINH_MOUSE	LIS1_MOUSE	0
SC24A_MOUSE	SC31A_MOUSE	0
SC24A_MOUSE	PREB_MOUSE	0
SC24A_MOUSE	SC23A_MOUSE	0
SC24A_MOUSE	B2MG_MOUSE	0
SC24A_MOUSE	SEC13_MOUSE	0
SC24A_MOUSE	SC23B_MOUSE	0
SC24A_MOUSE	SAR1B_MOUSE	0
SC24A_MOUSE	CALX_MOUSE	0
FTCD_MOUSE	C1TC_MOUSE	0
FTCD_MOUSE	GLNA_MOUSE	0
FTCD_MOUSE	PUR9_MOUSE	0
FTCD_MOUSE	GLSK_MOUSE	0
FTCD_MOUSE	GCST_MOUSE	0
FTCD_MOUSE	DHE3_MOUSE	0
FTCD_MOUSE	ACY3_MOUSE	0
FTCD_MOUSE	AATM_MOUSE	0
FTCD_MOUSE	HUTU_MOUSE	0
FTCD_MOUSE	PURA2_MOUSE	0
FTCD_MOUSE	DYR_MOUSE	0
FTCD_MOUSE	AL4A1_MOUSE	0
FTCD_MOUSE	PURA1_MOUSE	0
FTCD_MOUSE	GLSL_MOUSE	0
FTCD_MOUSE	AATC_MOUSE	0
FTCD_MOUSE	HUTI_MOUSE	0
FTCD_MOUSE	ASNS_MOUSE	0
FTCD_MOUSE	GLYC_MOUSE	0
FTCD_MOUSE	PUR2_MOUSE	0
SQRD_MOUSE	THTR_MOUSE	0
SQRD_MOUSE	SUOX_MOUSE	0
SQRD_MOUSE	ETHE1_MOUSE	0
UBA1_MOUSE	SYAC_MOUSE	0
UBA1_MOUSE	UB2L3_MOUSE	0
UBA1_MOUSE	UBC12_MOUSE	0
UBA1_MOUSE	SYLC_MOUSE	0
UBA1_MOUSE	NEDD8_MOUSE	0
UBA1_MOUSE	UBE2N_MOUSE	0
LMAN1_MOUSE	SC23A_MOUSE	0
DHC24_MOUSE	LICH_MOUSE	0
DHC24_MOUSE	CP27A_MOUSE	0
DHC24_MOUSE	SOAT2_MOUSE	0
DHC24_MOUSE	DHCR7_MOUSE	0
DHC24_MOUSE	ERG24_MOUSE	0
DHC24_MOUSE	CP51A_MOUSE	0
DHC24_MOUSE	ERG7_MOUSE	0
DHC24_MOUSE	CP7A1_MOUSE	0
RL28_MOUSE	RL31_MOUSE	0
RL28_MOUSE	RM22_MOUSE	0
RL28_MOUSE	IF2P_MOUSE	0
RL28_MOUSE	RL13_MOUSE	0
RL28_MOUSE	RL14_MOUSE	0
RL28_MOUSE	2AAA_MOUSE	0
RL28_MOUSE	RS27L_MOUSE	0
RL28_MOUSE	RL5_MOUSE	0
RL28_MOUSE	RL12_MOUSE	0
RL28_MOUSE	SRPRB_MOUSE	0
RL28_MOUSE	RL27A_MOUSE	0
RL28_MOUSE	RL35_MOUSE	0
RL28_MOUSE	RS21_MOUSE	0
RL28_MOUSE	RS16_MOUSE	0
RL28_MOUSE	EF1A1_MOUSE	0
RL28_MOUSE	SRP54_MOUSE	0
RL28_MOUSE	RLA1_MOUSE	0
RL28_MOUSE	SRP09_MOUSE	0
RL28_MOUSE	OST48_MOUSE	0
RL28_MOUSE	RL9_MOUSE	0
RL28_MOUSE	SRPR_MOUSE	0
RL28_MOUSE	RL13A_MOUSE	0
RL28_MOUSE	RS17_MOUSE	0
RL28_MOUSE	RS23_MOUSE	0
RL28_MOUSE	RENT1_MOUSE	0
RL28_MOUSE	SSRG_MOUSE	0
RL28_MOUSE	RL22L_MOUSE	0
RL28_MOUSE	RS3_MOUSE	0
RL28_MOUSE	RL26_MOUSE	0
RL28_MOUSE	RL27_MOUSE	0
RL28_MOUSE	RS15A_MOUSE	0
RL28_MOUSE	SSRA_MOUSE	0
RL28_MOUSE	RS13_MOUSE	0
RL28_MOUSE	RS12_MOUSE	0
RL28_MOUSE	PP2AA_MOUSE	0
RL28_MOUSE	RS6_MOUSE	0
RL28_MOUSE	RL17_MOUSE	0
RL28_MOUSE	EF2_MOUSE	0
RL28_MOUSE	RL21_MOUSE	0
RL28_MOUSE	GBLP_MOUSE	0
RL28_MOUSE	RL18A_MOUSE	0
RL28_MOUSE	SPCS1_MOUSE	0
RL28_MOUSE	RS14_MOUSE	0
RL28_MOUSE	RL11_MOUSE	0
RL28_MOUSE	RL22_MOUSE	0
RL28_MOUSE	RS3A_MOUSE	0
RL28_MOUSE	RL36A_MOUSE	0
RL28_MOUSE	SC61B_MOUSE	0
RL28_MOUSE	RL6_MOUSE	0
RL28_MOUSE	RSSA_MOUSE	0
RL28_MOUSE	RL32_MOUSE	0
RL28_MOUSE	RL29_MOUSE	0
RL28_MOUSE	RS26_MOUSE	0
RL28_MOUSE	RL23_MOUSE	0
RL28_MOUSE	RS25_MOUSE	0
RL28_MOUSE	RS10_MOUSE	0
RL28_MOUSE	RS5_MOUSE	0
RL28_MOUSE	RS4X_MOUSE	0
RL28_MOUSE	RL10_MOUSE	0
RL28_MOUSE	IF4G1_MOUSE	0
RL28_MOUSE	RL18_MOUSE	0
RL28_MOUSE	RS18_MOUSE	0
RL28_MOUSE	RL7_MOUSE	0
RL28_MOUSE	RL37A_MOUSE	0
RL28_MOUSE	RS30_MOUSE	0
RL28_MOUSE	RL19_MOUSE	0
RL28_MOUSE	RL4_MOUSE	0
RL28_MOUSE	RS15_MOUSE	0
RL28_MOUSE	RL23A_MOUSE	0
RL28_MOUSE	RL15_MOUSE	0
RL28_MOUSE	RS2_MOUSE	0
RL28_MOUSE	SC11A_MOUSE	0
RL28_MOUSE	RS9_MOUSE	0
RL28_MOUSE	SSRD_MOUSE	0
RL28_MOUSE	SRP68_MOUSE	0
RL28_MOUSE	RPN1_MOUSE	0
RL28_MOUSE	ERF1_MOUSE	0
RL28_MOUSE	RS11_MOUSE	0
RL28_MOUSE	RL30_MOUSE	0
RL28_MOUSE	RL10A_MOUSE	0
RL28_MOUSE	RL8_MOUSE	0
RL28_MOUSE	RNPS1_MOUSE	0
RL28_MOUSE	RPN2_MOUSE	0
RL28_MOUSE	RS28_MOUSE	0
RL28_MOUSE	RS7_MOUSE	0
RL28_MOUSE	RLA2_MOUSE	0
RL28_MOUSE	RL36_MOUSE	0
RL28_MOUSE	RS19_MOUSE	0
RL28_MOUSE	RL38_MOUSE	0
RL28_MOUSE	RL3_MOUSE	0
RL28_MOUSE	RS24_MOUSE	0
RL28_MOUSE	RS8_MOUSE	0
RL28_MOUSE	RL7A_MOUSE	0
RL28_MOUSE	RLA0_MOUSE	0
RL28_MOUSE	RS20_MOUSE	0
RL28_MOUSE	RBM8A_MOUSE	0
DHB8_MOUSE	UD16_MOUSE	0
DHB8_MOUSE	CP3AB_MOUSE	0
DHB8_MOUSE	UD19_MOUSE	0
DHB8_MOUSE	3BHS5_MOUSE	0
DHB8_MOUSE	CP3AP_MOUSE	0
DHB8_MOUSE	UD2A3_MOUSE	0
DHB8_MOUSE	UD11_MOUSE	0
DHB8_MOUSE	AK1D1_MOUSE	0
DHB8_MOUSE	CP3AD_MOUSE	0
THIC_MOUSE	ECHP_MOUSE	0
THIC_MOUSE	THIKA_MOUSE	0
THIC_MOUSE	HMCS2_MOUSE	0
THIC_MOUSE	ACLY_MOUSE	0
THIC_MOUSE	SCOT1_MOUSE	0
THIC_MOUSE	THIL_MOUSE	0
THIC_MOUSE	ODP2_MOUSE	0
THIC_MOUSE	HMGCL_MOUSE	0
THIC_MOUSE	THIKB_MOUSE	0
THIC_MOUSE	CISY_MOUSE	0
THIC_MOUSE	ACSA_MOUSE	0
THIC_MOUSE	ECHB_MOUSE	0
THIC_MOUSE	ACADS_MOUSE	0
THIC_MOUSE	ACADM_MOUSE	0
THIC_MOUSE	SUCB1_MOUSE	0
THIC_MOUSE	ACDSB_MOUSE	0
THIC_MOUSE	AACS_MOUSE	0
THIC_MOUSE	ECHA_MOUSE	0
THIC_MOUSE	SUCA_MOUSE	0
THIC_MOUSE	SUCB2_MOUSE	0
THIC_MOUSE	ACOX1_MOUSE	0
THIC_MOUSE	THIM_MOUSE	0
THIC_MOUSE	ACO12_MOUSE	0
THIC_MOUSE	HCDH_MOUSE	0
THIC_MOUSE	ODO2_MOUSE	0
THIC_MOUSE	HMCS1_MOUSE	0
THIC_MOUSE	ACACA_MOUSE	0
THIC_MOUSE	DCMC_MOUSE	0
THIC_MOUSE	MMSA_MOUSE	0
MT2_MOUSE	CD44_MOUSE	0
MT2_MOUSE	B2MG_MOUSE	0
MT2_MOUSE	MT1_MOUSE	0
MT2_MOUSE	STAT1_MOUSE	0
MT2_MOUSE	ICAM1_MOUSE	0
41_MOUSE	ZO2_MOUSE	0
FKBP4_MOUSE	ATOX1_MOUSE	0
FKBP4_MOUSE	PAHX_MOUSE	0
FKBP4_MOUSE	HS90A_MOUSE	0
FKBP4_MOUSE	HS90B_MOUSE	0
FKBP4_MOUSE	TEBP_MOUSE	0
GLRX1_MOUSE	GSHR_MOUSE	0
GLRX1_MOUSE	KCY_MOUSE	0
GLRX1_MOUSE	GLRX3_MOUSE	0
ODPB_MOUSE	ODB2_MOUSE	0
ODPB_MOUSE	LDHA_MOUSE	0
ODPB_MOUSE	ALDOB_MOUSE	0
ODPB_MOUSE	ODPX_MOUSE	0
ODPB_MOUSE	TKT_MOUSE	0
ODPB_MOUSE	PCKGC_MOUSE	0
ODPB_MOUSE	ODP2_MOUSE	0
ODPB_MOUSE	QCR1_MOUSE	0
ODPB_MOUSE	PDK2_MOUSE	0
ODPB_MOUSE	NDUS1_MOUSE	0
ODPB_MOUSE	KPYR_MOUSE	0
ODPB_MOUSE	ALDOC_MOUSE	0
ODPB_MOUSE	MPC2_MOUSE	0
ODPB_MOUSE	ACSA_MOUSE	0
ODPB_MOUSE	ODBA_MOUSE	0
ODPB_MOUSE	ALDOA_MOUSE	0
ODPB_MOUSE	KPYM_MOUSE	0
ODPB_MOUSE	PREP_MOUSE	0
ODPB_MOUSE	LDHD_MOUSE	0
ODPB_MOUSE	MPC1_MOUSE	0
ODPB_MOUSE	DEOC_MOUSE	0
ODPB_MOUSE	DLDH_MOUSE	0
ODPB_MOUSE	PYC_MOUSE	0
ODPB_MOUSE	ODPA_MOUSE	0
ODPB_MOUSE	ODO2_MOUSE	0
ODPB_MOUSE	MAOX_MOUSE	0
ODPB_MOUSE	QCR2_MOUSE	0
ODPB_MOUSE	TALDO_MOUSE	0
RANG_MOUSE	IMB1_MOUSE	0
RANG_MOUSE	XPO1_MOUSE	0
RANG_MOUSE	IPO5_MOUSE	0
RANG_MOUSE	RAN_MOUSE	0
RANG_MOUSE	NTF2_MOUSE	0
RANG_MOUSE	XPO2_MOUSE	0
K1C18_MOUSE	K2C1_MOUSE	0
K1C18_MOUSE	1433Z_MOUSE	0
K1C18_MOUSE	K2C8_MOUSE	0
CSAD_MOUSE	BAAT_MOUSE	0
CSAD_MOUSE	AATM_MOUSE	0
CSAD_MOUSE	AATC_MOUSE	0
UD16_MOUSE	UGDH_MOUSE	0
UD16_MOUSE	BIEA_MOUSE	0
UD16_MOUSE	CP3AB_MOUSE	0
UD16_MOUSE	CP2A5_MOUSE	0
UD16_MOUSE	CP2AC_MOUSE	0
UD16_MOUSE	AOXA_MOUSE	0
UD16_MOUSE	CP2E1_MOUSE	0
UD16_MOUSE	CP1A2_MOUSE	0
UD16_MOUSE	CP2CT_MOUSE	0
UD16_MOUSE	3BHS5_MOUSE	0
UD16_MOUSE	AL1A7_MOUSE	0
UD16_MOUSE	CP254_MOUSE	0
UD16_MOUSE	CP3AP_MOUSE	0
UD16_MOUSE	CP270_MOUSE	0
UD16_MOUSE	CP239_MOUSE	0
UD16_MOUSE	DHB12_MOUSE	0
UD16_MOUSE	ADH1_MOUSE	0
UD16_MOUSE	COMT_MOUSE	0
UD16_MOUSE	DHB2_MOUSE	0
UD16_MOUSE	CP4AA_MOUSE	0
UD16_MOUSE	DHI1_MOUSE	0
UD16_MOUSE	ADHX_MOUSE	0
UD16_MOUSE	ADH4_MOUSE	0
UD16_MOUSE	CP2B9_MOUSE	0
UD16_MOUSE	CP4AE_MOUSE	0
UD16_MOUSE	CBR1_MOUSE	0
UD16_MOUSE	AL1A1_MOUSE	0
UD16_MOUSE	BLVRB_MOUSE	0
UD16_MOUSE	EST1C_MOUSE	0
UD16_MOUSE	AK1D1_MOUSE	0
UD16_MOUSE	H17B6_MOUSE	0
UD16_MOUSE	DHB7_MOUSE	0
UD16_MOUSE	CP4CA_MOUSE	0
UD16_MOUSE	CP3AD_MOUSE	0
UD16_MOUSE	CP240_MOUSE	0
ETFB_MOUSE	CY1_MOUSE	0
ETFB_MOUSE	QCR10_MOUSE	0
ETFB_MOUSE	QCR1_MOUSE	0
ETFB_MOUSE	ETFA_MOUSE	0
ETFB_MOUSE	ECHM_MOUSE	0
ETFB_MOUSE	ACADM_MOUSE	0
ETFB_MOUSE	QCR8_MOUSE	0
ETFB_MOUSE	ECHA_MOUSE	0
ETFB_MOUSE	UCRI_MOUSE	0
ETFB_MOUSE	ECH1_MOUSE	0
