#node	score1
SDF2L_MOUSE	2.2191
ALBU_MOUSE	6.3365
PRDX1_MOUSE	5.4284
BODG_MOUSE	-3.566
HNRPM_MOUSE	-3.3019
SYYC_MOUSE	-3.3564
KINH_MOUSE	-1.3759
SC24A_MOUSE	4.9462
FTCD_MOUSE	-3.6736
SQRD_MOUSE	-3.0911
UBA1_MOUSE	-2.6482
LMAN1_MOUSE	-0.8801
DHC24_MOUSE	-1.7735
RL28_MOUSE	-3.2088
DHB8_MOUSE	-3.1896
THIC_MOUSE	-2.8181
MT2_MOUSE	6.7145
41_MOUSE	-3.2082
FKBP4_MOUSE	-1.259
GLRX1_MOUSE	-3.1458
ODPB_MOUSE	-3.4993
RANG_MOUSE	-3.2232
K1C18_MOUSE	3.8997
CSAD_MOUSE	-3.7053
UD16_MOUSE	-3.5224
ETFB_MOUSE	0.0608
IF1A_MOUSE	4.3216
NB5R3_MOUSE	0.393
AHSA1_MOUSE	-3.4993
AGM1_MOUSE	2.0735
RL31_MOUSE	6.105
RHOB_MOUSE	36.0401
TRFE_MOUSE	1.9649
UGDH_MOUSE	-3.5704
DDX3X_MOUSE	-3.4265
FBX6_MOUSE	2.7459
VPS25_MOUSE	-1.6196
CCS_MOUSE	-0.1937
IF4B_MOUSE	-1.5314
ALD2_MOUSE	4.0754
SC31A_MOUSE	-3.6629
ARF6_MOUSE	-3.3232
KLC4_MOUSE	-3.4916
AKAP1_MOUSE	-3.5822
MOT1_MOUSE	0.2376
ODB2_MOUSE	-3.0614
IF2H_MOUSE	-2.3403
CREL2_MOUSE	-3.5581
GSTT2_MOUSE	-1.0848
SDSL_MOUSE	31.6706
RM22_MOUSE	-1.8876
UFD1_MOUSE	-2.5308
GSHR_MOUSE	-3.4363
M2GD_MOUSE	-1.9355
IST1_MOUSE	0.9053
NDKA_MOUSE	-1.2272
ARGI1_MOUSE	0.8329
EPS15_MOUSE	-2.1356
LTOR1_MOUSE	-3.0861
IF2G_MOUSE	-3.2386
PDCD6_MOUSE	-1.0153
APOC2_MOUSE	3.8854
GPDM_MOUSE	-2.5634
PGES2_MOUSE	-1.7991
AN32A_MOUSE	-3.6792
SYIM_MOUSE	-3.4993
SO1B2_MOUSE	-0.3742
NDUS7_MOUSE	-3.4005
IF2P_MOUSE	-3.7311
BHMT1_MOUSE	-3.0462
NADC_MOUSE	-2.1956
EIF3H_MOUSE	-2.7968
LDHA_MOUSE	43.5395
ECHP_MOUSE	-3.5079
ALDOB_MOUSE	72.6764
RL13_MOUSE	-2.6634
RL14_MOUSE	-2.1511
ARP2_MOUSE	-2.8101
GANAB_MOUSE	-3.5224
NUDC2_MOUSE	-3.194
TIF1B_MOUSE	-3.0847
THIKA_MOUSE	-3.2414
GPAT1_MOUSE	-0.9079
NDUB5_MOUSE	2.091
ATP5L_MOUSE	-0.8298
CAND1_MOUSE	-3.4432
CLPB_MOUSE	-3.3016
2AAA_MOUSE	-2.8302
PPCS_MOUSE	-3.0614
BIEA_MOUSE	-1.6665
PRS8_MOUSE	-3.384
ABCD3_MOUSE	-2.8388
MCEE_MOUSE	-2.6366
BGAL_MOUSE	1.3654
PROD_MOUSE	-3.3688
CAZA2_MOUSE	-3.7294
CAZA1_MOUSE	-1.2496
HMCS2_MOUSE	20.4033
RS27L_MOUSE	-2.3142
1433F_MOUSE	-2.8302
SYHC_MOUSE	-2.4135
HNRPC_MOUSE	-3.0308
LRP1_MOUSE	-3.3884
AP1G1_MOUSE	4.774
MOES_MOUSE	-3.3085
E41L2_MOUSE	-2.3729
TOM40_MOUSE	3.4945
RL5_MOUSE	-3.5759
CPNS1_MOUSE	1.2846
K2C1_MOUSE	-2.9839
MDHM_MOUSE	-3.2905
RBM47_MOUSE	4.2784
ANXA2_MOUSE	-1.272
HGS_MOUSE	-2.8548
SOX_MOUSE	-3.1345
PSA5_MOUSE	-3.1805
ALDH2_MOUSE	7.7853
PCCB_MOUSE	-2.0095
RINI_MOUSE	-2.7867
FPPS_MOUSE	-3.396
