#node	score1
PSB1_MOUSE	-3.4221
NDUAC_MOUSE	-0.1107
COPB_MOUSE	-3.3765
NAMPT_MOUSE	-3.1106
SGTA_MOUSE	-1.3025
RAB6A_MOUSE	-2.8719
FAHD1_MOUSE	-2.1608
ATP8_MOUSE	-2.1673
DDX5_MOUSE	-3.6032
PSD12_MOUSE	-2.8173
AL3A2_MOUSE	4.9982
ROA0_MOUSE	-3.0122
ATP5J_MOUSE	-3.5992
LAMP2_MOUSE	-3.5822
GSTP1_MOUSE	72.6764
C1TC_MOUSE	-3.5328
CP3AB_MOUSE	-3.2829
ACLY_MOUSE	-3.7304
PHB2_MOUSE	-3.0882
PTN6_MOUSE	-3.423
TCPB_MOUSE	-3.728
CP7B1_MOUSE	-2.8603
ARC1A_MOUSE	-1.5342
PPA6_MOUSE	-3.7236
ACSM5_MOUSE	-3.3614
CY1_MOUSE	-3.0203
IMB1_MOUSE	-2.0699
RL12_MOUSE	-2.1233
GLO2_MOUSE	-3.6766
GPX1_MOUSE	-2.2555
DYHC1_MOUSE	-2.9752
S27A5_MOUSE	-2.6531
METK1_MOUSE	25.5076
NDKB_MOUSE	-3.4993
A1AT2_MOUSE	-3.0813
AP2A2_MOUSE	-1.6221
GLNA_MOUSE	1.3063
BID_MOUSE	-3.7118
OSBL1_MOUSE	-2.98
AN32B_MOUSE	-3.1935
HYEP_MOUSE	-0.4714
SRPRB_MOUSE	-2.6344
GAS2_MOUSE	-1.8554
NDUB7_MOUSE	-3.4538
NDUB4_MOUSE	-2.0573
UMPS_MOUSE	-2.7524
PSMD8_MOUSE	-2.5747
M2OM_MOUSE	-2.1927
RL27A_MOUSE	-3.5367
CP2A5_MOUSE	-2.1153
DHTK1_MOUSE	-3.5682
NUDT5_MOUSE	-1.7708
GSLG1_MOUSE	-2.5904
PUR6_MOUSE	-2.7864
UCHL5_MOUSE	0.4009
PLAK_MOUSE	-1.4995
XPO1_MOUSE	-1.8091
CADH2_MOUSE	-3.2491
FABPL_MOUSE	3.5345
SYAC_MOUSE	-3.3516
VIGLN_MOUSE	-2.8463
RAB10_MOUSE	-1.396
EMD_MOUSE	-3.6491
RCC2_MOUSE	3.0784
AT2L1_MOUSE	2.6916
TCPH_MOUSE	-2.856
PAPS1_MOUSE	11.6929
DNJB4_MOUSE	3.3726
GCSH_MOUSE	-3.2596
COF1_MOUSE	-2.6212
EPN4_MOUSE	-3.129
ACADL_MOUSE	-1.6702
ACSL4_MOUSE	-1.2849
NDUBA_MOUSE	-3.3235
PNCB_MOUSE	-3.646
TCPG_MOUSE	-3.7266
RAB1B_MOUSE	2.4555
CERU_MOUSE	-2.0591
DPYD_MOUSE	-2.1567
THIOM_MOUSE	-3.3043
IPO7_MOUSE	-3.5526
MCM7_MOUSE	-2.7769
KPRA_MOUSE	-2.9867
AP2B1_MOUSE	-2.8966
HEBP1_MOUSE	-3.0515
ENOA_MOUSE	-2.4918
SYK_MOUSE	0.3271
PSD13_MOUSE	2.4965
RAB7A_MOUSE	-3.6815
GSTO1_MOUSE	-2.9957
HPRT_MOUSE	3.5903
TMEDA_MOUSE	-3.1136
QCR10_MOUSE	0.7556
PP1A_MOUSE	-3.2793
HEMO_MOUSE	26.2395
RL35_MOUSE	-3.0358
CP2AC_MOUSE	-2.9777
PUR9_MOUSE	-3.6821
MTNB_MOUSE	-3.7392
ODPX_MOUSE	-3.4124
SCOT1_MOUSE	-0.3579
AOXA_MOUSE	-3.2406
COPD_MOUSE	-3.5224
CAD17_MOUSE	-0.5656
DECR_MOUSE	4.9048
THTM_MOUSE	-3.0549
EIF3I_MOUSE	1.8493
GCSP_MOUSE	-3.016
CP2DQ_MOUSE	-3.1936
IPO5_MOUSE	-2.3077
MTX2_MOUSE	-1.8849
HPT_MOUSE	-0.1358
ELAV1_MOUSE	-2.297
ACSL3_MOUSE	3.6667
CP2E1_MOUSE	0.4597
SF3A1_MOUSE	-2.7022
RS21_MOUSE	-3.0308
CSN7A_MOUSE	-3.0047
EIF3L_MOUSE	-3.2637
RUXE_MOUSE	-2.6814
VATA_MOUSE	-3.3765
TS101_MOUSE	-0.425
RS16_MOUSE	-3.7326
BHMT2_MOUSE	-3.0145
DEST_MOUSE	-2.4432
CSK_MOUSE	-3.7145
CP1A2_MOUSE	-1.225
AAPK2_MOUSE	-2.7269
SYEP_MOUSE	-3.6941
HOT_MOUSE	-2.8173
IDH3A_MOUSE	-3.591
ATPG_MOUSE	-1.8017
GDIB_MOUSE	-2.688
TCPQ_MOUSE	-3.5153
AIFM1_MOUSE	-3.4916
UD19_MOUSE	-3.1179
NNTM_MOUSE	-3.6008
HAOX1_MOUSE	-3.7392
MAVS_MOUSE	-2.8979
NDUS4_MOUSE	7.8633
MCCA_MOUSE	-2.7786
LICH_MOUSE	-2.8302
EF1A1_MOUSE	-2.515
THTR_MOUSE	-2.898
RT05_MOUSE	-2.8351
LSM2_MOUSE	-2.5115
NDUA6_MOUSE	-2.6915
TWF1_MOUSE	-2.9956
SRP54_MOUSE	-2.8302
RLA1_MOUSE	-1.3485
CRK_MOUSE	-2.7269
SUOX_MOUSE	-3.5153
CO4B_MOUSE	-3.6792
STAU1_MOUSE	-2.5133
DJC11_MOUSE	-3.5012
VAPB_MOUSE	-0.7572
SMD3_MOUSE	-2.3726
MPPA_MOUSE	-3.2154
ATPD_MOUSE	-3.6247
VATG1_MOUSE	-2.8506
PLCB_MOUSE	-3.7118
GLSK_MOUSE	-3.3808
CD44_MOUSE	3.717
IF6_MOUSE	-2.456
GSTA3_MOUSE	-3.3588
TKT_MOUSE	-3.52
SRP09_MOUSE	-2.0888
TOM5_MOUSE	-3.3614
KAP0_MOUSE	-1.1961
IDHG1_MOUSE	1.8896
DDC_MOUSE	-3.6008
GALT_MOUSE	-3.1178
GCST_MOUSE	-2.3391
AMPN_MOUSE	-3.3139
OST48_MOUSE	-2.6879
RL9_MOUSE	-2.5461
SRPR_MOUSE	-0.1894
THIL_MOUSE	-2.7022
DHE3_MOUSE	-1.2685
HYES_MOUSE	-0.8088
LHPP_MOUSE	4.1199
PCKGC_MOUSE	0.1344
FIBG_MOUSE	-1.8851
UGPA_MOUSE	-0.7223
MDHC_MOUSE	-0.3926
SET_MOUSE	-3.5962
MYH9_MOUSE	-3.6923
MCM2_MOUSE	-1.0459
G3BP2_MOUSE	-3.4319
MOGS_MOUSE	-1.3875
CDC5L_MOUSE	-3.4616
DDX6_MOUSE	-3.4524
PGAM1_MOUSE	-0.6012
PCBP1_MOUSE	-0.8672
URIC_MOUSE	-1.7299
OTUB1_MOUSE	-2.9814
UBP14_MOUSE	-3.3564
HA1B_MOUSE	-2.0121
VATH_MOUSE	5.9936
STT3A_MOUSE	-3.3847
FABD_MOUSE	-3.7149
PSMD3_MOUSE	-2.8109
SYRC_MOUSE	-3.6531
DNJA3_MOUSE	-2.8471
LGMN_MOUSE	-2.6344
PREB_MOUSE	0.4009
AK1A1_MOUSE	-1.3625
CPSF5_MOUSE	-2.4318
CP2CT_MOUSE	-2.6005
MGST3_MOUSE	-3.1421
AL9A1_MOUSE	-0.4966
TBCA_MOUSE	-1.0656
CP27A_MOUSE	-3.3339
TTL12_MOUSE	-3.4969
IF4G2_MOUSE	-2.5827
RL13A_MOUSE	-2.9874
CHM4B_MOUSE	-1.9638
CTNA1_MOUSE	-2.209
NDUV3_MOUSE	-3.3564
FUBP2_MOUSE	-3.1406
ARLY_MOUSE	-0.2145
PSME2_MOUSE	-2.1575
COPB2_MOUSE	-0.8643
GLCNE_MOUSE	-3.1141
CHMP7_MOUSE	-3.533
2AAB_MOUSE	13.0637
ODP2_MOUSE	-0.8736
CSK2B_MOUSE	-0.759
RS17_MOUSE	-2.8162
PAIRB_MOUSE	-3.6736
QCR1_MOUSE	-2.9814
DCTN1_MOUSE	2.4521
RS23_MOUSE	-3.6604
FINC_MOUSE	-3.3023
OXND1_MOUSE	-3.1805
HRG_MOUSE	-3.396
IF4A2_MOUSE	29.2516
RENT1_MOUSE	-3.0358
TBB6_MOUSE	1.5288
TXNL1_MOUSE	-3.6216
PDK2_MOUSE	2.8161
3BHS5_MOUSE	0.6912
AL1A7_MOUSE	-1.418
RDH7_MOUSE	-3.1945
NSF_MOUSE	-1.5504
SC23A_MOUSE	-3.3621
L2HDH_MOUSE	-2.1984
HMGCL_MOUSE	-2.8207
GDIR2_MOUSE	-1.7367
NT5C_MOUSE	-1.3015
NTCP_MOUSE	-3.5268
NDUS1_MOUSE	-3.3925
IPYR_MOUSE	-2.5462
ETFA_MOUSE	-2.0466
PSB8_MOUSE	-2.2763
ECHM_MOUSE	-3.5153
ANM1_MOUSE	-3.4968
IVD_MOUSE	-3.0832
DHX15_MOUSE	-2.8629
STT3B_MOUSE	2.5888
SYVC_MOUSE	-3.6352
MPPB_MOUSE	11.0964
PSD11_MOUSE	-3.646
DBNL_MOUSE	-2.9663
PSA6_MOUSE	-3.4904
NDUAB_MOUSE	-3.0263
DERL1_MOUSE	-3.393
PSB7_MOUSE	-3.0614
NP1L4_MOUSE	-3.437
GLU2B_MOUSE	-3.3187
CP2DA_MOUSE	-0.2377
FUMH_MOUSE	4.054
SSRG_MOUSE	31.479
ACY3_MOUSE	-3.5822
TIM13_MOUSE	-3.7054
GSTM1_MOUSE	29.9242
CD166_MOUSE	25.2814
VAPA_MOUSE	-0.1561
CLUS_MOUSE	-3.5386
CP254_MOUSE	2.6168
DJB11_MOUSE	11.3202
KBL_MOUSE	-3.6636
GNMT_MOUSE	-1.7314
CDC42_MOUSE	-1.572
PPT1_MOUSE	-3.5311
ATG7_MOUSE	-3.2253
U2AF2_MOUSE	-2.9067
ROA2_MOUSE	-2.6455
ITB1_MOUSE	-1.9846
PSMD5_MOUSE	-2.9867
NMT1_MOUSE	-2.0275
KYNU_MOUSE	-2.9972
MTND_MOUSE	-1.6095
PON1_MOUSE	-3.181
CP3AP_MOUSE	-3.3331
CXB1_MOUSE	-3.4134
SNX5_MOUSE	-1.6548
1433G_MOUSE	-3.5797
ATP5I_MOUSE	-2.918
LYAG_MOUSE	-3.4504
HNRL1_MOUSE	-2.1187
3BHS7_MOUSE	-2.0503
ELOC_MOUSE	-2.545
THIKB_MOUSE	-3.6247
NEDD4_MOUSE	-0.3584
TOP1_MOUSE	-3.3331
BAAT_MOUSE	-3.5597
CTND1_MOUSE	-3.4949
GALM_MOUSE	-1.3142
B2MG_MOUSE	22.0055
CGL_MOUSE	-2.6799
EEA1_MOUSE	-3.1328
CISY_MOUSE	-3.5466
APOA2_MOUSE	-0.6533
PDC6I_MOUSE	-3.1078
PRPS1_MOUSE	-2.7344
ATPK_MOUSE	-2.5133
DCTN2_MOUSE	-0.9292
SARDH_MOUSE	-3.4087
SOAT2_MOUSE	-2.5592
CUL4A_MOUSE	-0.024
ALR_MOUSE	-1.6967
ADRM1_MOUSE	-2.1268
U2AF1_MOUSE	-1.8037
DNJC3_MOUSE	-1.3473
FKBP8_MOUSE	-2.4279
CD81_MOUSE	-3.5424
GSTM7_MOUSE	-3.4256
RAN_MOUSE	-3.3331
AKC1H_MOUSE	1.1143
RU1C_MOUSE	20.3729
PYRG1_MOUSE	1.5122
KAD3_MOUSE	-2.6961
DCUP_MOUSE	-3.4836
TERA_MOUSE	-3.7277
CACP_MOUSE	-3.651
EIF3D_MOUSE	-3.298
SCFD1_MOUSE	-3.5079
6PGL_MOUSE	-3.3283
TOM34_MOUSE	-3.5822
PRS4_MOUSE	-3.3278
KPYR_MOUSE	-0.9995
UB2L3_MOUSE	-0.5028
RL22L_MOUSE	-1.9809
SPRE_MOUSE	-3.6819
HMGB1_MOUSE	-3.4391
PDXK_MOUSE	-1.7354
SRSF5_MOUSE	5.1085
SIR5_MOUSE	-3.5275
NDUB3_MOUSE	-1.4817
RT09_MOUSE	-3.6923
GSTM6_MOUSE	1.2388
DHSO_MOUSE	-2.2166
STX7_MOUSE	-1.4415
ALDOC_MOUSE	2.6724
ATX2L_MOUSE	3.4943
RBM39_MOUSE	-2.4318
RT33_MOUSE	17.1904
NSDHL_MOUSE	-3.3765
LPPRC_MOUSE	-3.4671
TRAP1_MOUSE	-3.3744
AATM_MOUSE	-3.5364
NDUV2_MOUSE	-2.9895
LAMP1_MOUSE	-3.5432
EIF3C_MOUSE	-2.4388
SEC13_MOUSE	-1.0215
RS3_MOUSE	-2.7787
NDUV1_MOUSE	-2.4567
RL26_MOUSE	-0.0997
MPC2_MOUSE	-0.0239
CSN6_MOUSE	-2.7594
RAB2A_MOUSE	-1.1585
RL27_MOUSE	-3.4159
HNRH2_MOUSE	-1.2036
RS15A_MOUSE	-2.6643
SELB_MOUSE	-3.651
TNPO3_MOUSE	-3.4687
MOCS1_MOUSE	-3.6736
CYBP_MOUSE	-1.923
PRDX5_MOUSE	-3.0396
BAG3_MOUSE	-3.4621
DPYL2_MOUSE	0.234
EIF3B_MOUSE	-3.5992
HUTU_MOUSE	-3.7265
PPP6_MOUSE	24.1611
ACAD8_MOUSE	-2.7378
RM15_MOUSE	-3.5652
SSRA_MOUSE	0.0362
DHCR7_MOUSE	-2.7635
ACSA_MOUSE	-2.2007
IF4A3_MOUSE	-1.6284
ACOC_MOUSE	-3.3283
GLPK_MOUSE	-2.1379
ECHD2_MOUSE	-2.9597
TPM4_MOUSE	4.9087
SYG_MOUSE	-0.202
SF3B3_MOUSE	-1.4852
ECHB_MOUSE	-2.5904
UD2A3_MOUSE	-3.5599
S27A2_MOUSE	-2.7217
ERG24_MOUSE	-2.7449
CP270_MOUSE	-3.0923
PHS_MOUSE	18.2171
COPZ1_MOUSE	-1.3056
RS13_MOUSE	-2.6784
RS12_MOUSE	-2.1153
NDUA8_MOUSE	-3.6408
PSB2_MOUSE	-1.3014
PDIA1_MOUSE	-0.9389
NTF2_MOUSE	-3.423
CDC37_MOUSE	-3.4306
KMO_MOUSE	-3.0882
OTC_MOUSE	0.3791
PRDX3_MOUSE	-1.3342
CP239_MOUSE	-1.8124
NLTP_MOUSE	11.7583
CPT2_MOUSE	-3.2039
ACADS_MOUSE	-2.5636
3HAO_MOUSE	-0.2897
ARC1B_MOUSE	5.5602
RM10_MOUSE	-1.9891
NCPR_MOUSE	-3.4269
ARHGC_MOUSE	1.6225
DHB4_MOUSE	12.2079
PP2AA_MOUSE	-1.3575
TPMT_MOUSE	-3.3605
DEK_MOUSE	-3.3227
HACL1_MOUSE	-3.1717
RS6_MOUSE	-1.5611
CAPR1_MOUSE	-3.6519
PCCA_MOUSE	-2.7323
VPS29_MOUSE	-2.4271
PACN2_MOUSE	-2.9213
MCAT_MOUSE	-3.7375
CH10_MOUSE	-0.7173
SC23B_MOUSE	-3.7236
FKB1A_MOUSE	1.8517
P5CR3_MOUSE	-3.4432
S26A1_MOUSE	-0.3016
PCY2_MOUSE	-3.4391
BASI_MOUSE	-1.3828
PA1B2_MOUSE	-1.1906
DHB12_MOUSE	-0.759
RL17_MOUSE	-2.8866
LSM8_MOUSE	-2.4573
PARK7_MOUSE	-3.3738
ODBA_MOUSE	-3.5913
APOA4_MOUSE	-1.9223
APOC3_MOUSE	-3.3884
ARPC2_MOUSE	-3.6736
APOA1_MOUSE	-2.8072
AMPL_MOUSE	-3.6792
MCA3_MOUSE	2.6072
STRAP_MOUSE	2.4591
CAP1_MOUSE	-3.6587
NUDC_MOUSE	1.4658
ATOX1_MOUSE	-3.4125
UBP10_MOUSE	2.5339
SYDC_MOUSE	-3.7131
ADH1_MOUSE	18.909
DCXR_MOUSE	-2.0503
STAT3_MOUSE	-3.6545
GGCT_MOUSE	-2.8839
PSME1_MOUSE	-2.7682
PEX19_MOUSE	-2.3143
MK01_MOUSE	-3.7149
GLGB_MOUSE	-3.0401
ACADM_MOUSE	-2.8513
IPO9_MOUSE	1.6671
G3BP1_MOUSE	-1.8712
NSF1C_MOUSE	-3.2141
GMPPB_MOUSE	2.5824
COMT_MOUSE	-3.5376
SAHH_MOUSE	48.271
DNJA2_MOUSE	-3.2454
VPS35_MOUSE	-0.3249
KCY_MOUSE	-0.2761
1433B_MOUSE	-3.5826
SC22B_MOUSE	-0.8197
C1QBP_MOUSE	0.1842
PUR4_MOUSE	-2.6653
TRXR1_MOUSE	-2.1258
TRXR2_MOUSE	-3.0957
SKP1_MOUSE	-2.9991
PDC10_MOUSE	0.3358
ARF4_MOUSE	-3.6736
VDAC1_MOUSE	-2.1744
ITM2B_MOUSE	11.7428
SUCB1_MOUSE	-3.6989
CAN2_MOUSE	-3.0882
EF2_MOUSE	-1.418
SAM50_MOUSE	0.0902
ENTP5_MOUSE	-2.4071
ALDOA_MOUSE	-1.6262
PAFA2_MOUSE	-0.5694
RL21_MOUSE	-3.1733
KPYM_MOUSE	-3.2298
AP1B1_MOUSE	-3.19
ABCE1_MOUSE	-3.4432
GLCTK_MOUSE	-2.5536
JAM1_MOUSE	-2.4567
CSN4_MOUSE	-3.412
DHB2_MOUSE	-2.994
TBA4A_MOUSE	0.5465
TIM10_MOUSE	0.2212
RUVB2_MOUSE	-3.5248
MTX1_MOUSE	-3.3784
PP2BA_MOUSE	-3.7265
LPP_MOUSE	-2.6447
HSP7C_MOUSE	-3.3278
RAB9A_MOUSE	3.4693
UBP7_MOUSE	-3.2262
ROA3_MOUSE	-3.5793
PRDX6_MOUSE	-1.3247
EIF3K_MOUSE	-1.6245
NDUA9_MOUSE	-1.0075
EGFR_MOUSE	-2.1405
AT1A1_MOUSE	1.3654
GBLP_MOUSE	-3.5485
LGUL_MOUSE	-1.1324
DJC10_MOUSE	-0.4359
1433Z_MOUSE	-3.5263
UN45A_MOUSE	6.8819
NDUS6_MOUSE	-2.3492
BPNT1_MOUSE	-3.4038
ACOX2_MOUSE	-2.2292
MRP2_MOUSE	-2.2579
RL18A_MOUSE	-3.5883
TIM8A_MOUSE	-0.2096
ARFG1_MOUSE	-3.3441
SPCS1_MOUSE	11.9575
VATE1_MOUSE	17.42
OAT_MOUSE	0.5294
RS14_MOUSE	-3.2904
SRR_MOUSE	3.6096
PSA_MOUSE	-3.3601
KAT3_MOUSE	-3.3854
SAR1B_MOUSE	-3.4124
GALE_MOUSE	-3.5268
RL11_MOUSE	-2.545
ANT3_MOUSE	-3.7145
RU17_MOUSE	-3.6941
CP4AA_MOUSE	11.4459
CMC1_MOUSE	-2.0789
RL22_MOUSE	-2.8173
PHB_MOUSE	-2.7269
ASNA_MOUSE	-0.7472
GCDH_MOUSE	0.1316
SYFA_MOUSE	-3.4222
DHI1_MOUSE	-3.5581
PABP1_MOUSE	-0.9982
RS3A_MOUSE	-3.7198
DHAK_MOUSE	18.4886
RHOA_MOUSE	-1.0871
ACDSB_MOUSE	-3.591
IDHC_MOUSE	-3.4916
DDX3Y_MOUSE	-2.5614
PFD2_MOUSE	-2.9828
MGLL_MOUSE	2.0337
HNRPD_MOUSE	-3.2089
RADI_MOUSE	-1.3046
TLN1_MOUSE	-3.194
DERL2_MOUSE	-3.5224
RL36A_MOUSE	-2.8926
DDB1_MOUSE	-3.0548
APOE_MOUSE	-2.4567
SODM_MOUSE	-3.5992
PURA2_MOUSE	-1.9247
PDIA4_MOUSE	-3.6702
ELOV2_MOUSE	16.4583
YMEL1_MOUSE	2.6975
ENPL_MOUSE	1.213
PCBP2_MOUSE	-3.2114
DYR_MOUSE	-2.6749
NDUB8_MOUSE	-3.384
ABCBB_MOUSE	-0.4904
NDUBB_MOUSE	-1.025
PA2G4_MOUSE	-3.3332
SYSC_MOUSE	-3.4916
IQGA2_MOUSE	-3.4455
SC61B_MOUSE	-2.7613
AACS_MOUSE	-3.5822
USMG5_MOUSE	-1.2069
UBC12_MOUSE	-3.6159
GUAD_MOUSE	-1.4759
EF1G_MOUSE	-2.2347
CDD_MOUSE	1.4345
VP26A_MOUSE	-0.8921
ULA1_MOUSE	-0.4868
CTNB1_MOUSE	-3.0263
TGM2_MOUSE	-2.4526
FAD1_MOUSE	-0.6098
QCR8_MOUSE	-3.5079
FBRL_MOUSE	-3.6792
GRPE1_MOUSE	-3.648
GBG12_MOUSE	-3.4817
TFR1_MOUSE	2.6267
K2C8_MOUSE	-2.6114
RL6_MOUSE	-3.1733
NDUAA_MOUSE	-3.246
VKGC_MOUSE	-2.9067
RT18B_MOUSE	-3.6352
FIBB_MOUSE	-0.9093
ZO1_MOUSE	-2.4461
MYL6_MOUSE	-3.6989
ADHX_MOUSE	-3.4504
VASP_MOUSE	-0.829
RBBP4_MOUSE	6.4536
PSA7_MOUSE	-3.1914
PDIA3_MOUSE	-3.0663
THRB_MOUSE	9.5751
IRGM1_MOUSE	-3.3212
TOM70_MOUSE	-3.1069
PSA2_MOUSE	-3.3937
CALM_MOUSE	1.5518
AT2A2_MOUSE	-2.9895
NDUA2_MOUSE	-2.1178
RAB5B_MOUSE	3.4254
BLMH_MOUSE	-2.28
RSSA_MOUSE	-3.4221
GRHPR_MOUSE	0.7267
FLNB_MOUSE	-3.5471
RL32_MOUSE	-3.1146
ECHA_MOUSE	-3.5224
EFTU_MOUSE	-2.9861
G3P_MOUSE	4.7909
SUCA_MOUSE	-2.8744
NU5M_MOUSE	-1.9092
RFA2_MOUSE	-3.5883
ADH4_MOUSE	-2.0466
SYMC_MOUSE	-3.4582
EWS_MOUSE	-2.3325
GFPT1_MOUSE	-0.0509
DPM1_MOUSE	-2.276
ATPA_MOUSE	-3.6545
SRRM2_MOUSE	-3.5883
MRCKB_MOUSE	-2.9213
SYCC_MOUSE	-3.5704
GSH0_MOUSE	0.9258
RT02_MOUSE	7.7212
CX6A1_MOUSE	0.0324
ADK_MOUSE	-3.0882
GBB1_MOUSE	-2.9525
RL29_MOUSE	-3.5551
RS26_MOUSE	1.0146
IF5A1_MOUSE	9.0276
GSTK1_MOUSE	-3.5592
EF1B_MOUSE	-3.666
RL23_MOUSE	-3.5665
PSB3_MOUSE	-2.6034
RS25_MOUSE	-2.6294
NU4M_MOUSE	-0.4683
PCNA_MOUSE	-3.4297
SPS2_MOUSE	-2.1037
CX6B1_MOUSE	-0.3926
YBOX1_MOUSE	-2.836
RS10_MOUSE	-2.7979
SRS10_MOUSE	-3.6736
TTHY_MOUSE	7.2293
COX2_MOUSE	0.5401
GSHB_MOUSE	-3.2351
UD11_MOUSE	3.3408
COX1_MOUSE	-2.6915
CLPP_MOUSE	-2.784
RS5_MOUSE	8.4674
THUM1_MOUSE	-0.886
CP2B9_MOUSE	-3.5268
HXK4_MOUSE	-2.7034
PEA15_MOUSE	1.9774
EIF3E_MOUSE	3.0354
DAD1_MOUSE	-0.1907
CP4AE_MOUSE	-2.0888
ACTZ_MOUSE	-3.1345
AMACR_MOUSE	0.2394
TPP2_MOUSE	-0.6212
GLRX3_MOUSE	-3.2594
SDHL_MOUSE	-2.4174
PGK1_MOUSE	-3.591
RET4_MOUSE	-2.1405
RS4X_MOUSE	-3.0813
AHSA2_MOUSE	-2.308
ACTN4_MOUSE	-3.591
PSA1_MOUSE	-3.0962
HS90A_MOUSE	-3.3106
VA0D1_MOUSE	0.1736
ADRO_MOUSE	-3.6923
NHRF1_MOUSE	1.1378
COPA_MOUSE	-2.536
HGD_MOUSE	-3.5058
IDHP_MOUSE	-1.6382
ABCG2_MOUSE	-3.1923
HS74L_MOUSE	3.341
TCTP_MOUSE	-2.5705
APEX1_MOUSE	-3.6032
ESTD_MOUSE	-3.5341
LSM6_MOUSE	2.1544
NUCL_MOUSE	-3.49
PSMD1_MOUSE	-2.1716
OPLA_MOUSE	-2.5876
PDIA6_MOUSE	-0.1856
HIBCH_MOUSE	-3.3738
DDX21_MOUSE	-2.3605
ARPC5_MOUSE	0.2421
CP2J5_MOUSE	-1.1906
TXD12_MOUSE	-2.4222
ACSL1_MOUSE	-3.0581
MECR_MOUSE	-2.0499
RAB5C_MOUSE	-1.6361
TIM9_MOUSE	-2.8308
