#label	score
SERC_MOUSE	NaN
RT4I1_MOUSE	NaN
ACAD9_MOUSE	NaN
FKBP2_MOUSE	NaN
RT27_MOUSE	NaN
DCAF8_MOUSE	NaN
F10A1_MOUSE	NaN
GLYAT_MOUSE	NaN
ABCF1_MOUSE	NaN
STMN1_MOUSE	NaN
CSDE1_MOUSE	NaN
SNX2_MOUSE	NaN
SNX1_MOUSE	NaN
ACBP_MOUSE	NaN
UBE2K_MOUSE	NaN
EIF2A_MOUSE	NaN
CMC2_MOUSE	NaN
UBXN1_MOUSE	NaN
MTP_MOUSE	NaN
AADAT_MOUSE	4.4836
D2HDH_MOUSE	NaN
TT39C_MOUSE	NaN
TXD17_MOUSE	NaN
ARL1_MOUSE	NaN
CY250_MOUSE	0.8206
NP1L1_MOUSE	NaN
GALK1_MOUSE	NaN
TADBP_MOUSE	NaN
PPIA_MOUSE	NaN
PGP_MOUSE	NaN
CATA_MOUSE	NaN
NUCG_MOUSE	NaN
A1CF_MOUSE	NaN
PDIP2_MOUSE	NaN
BT3L4_MOUSE	NaN
STIM1_MOUSE	0.2518
AASS_MOUSE	NaN
BDH_MOUSE	17.7151
PDCD5_MOUSE	8.205
CX7A2_MOUSE	NaN
RMD3_MOUSE	3.2388
PNPO_MOUSE	NaN
ST1A1_MOUSE	4.7309
GOGA2_MOUSE	7.1618
HUTH_MOUSE	NaN
HYKK_MOUSE	NaN
ISCU_MOUSE	NaN
FABPI_MOUSE	NaN
CP8B1_MOUSE	NaN
PRDX4_MOUSE	NaN
RUXG_MOUSE	NaN
DHRS4_MOUSE	NaN
SF01_MOUSE	9.2848
AFG31_MOUSE	NaN
PECR_MOUSE	NaN
TNPO1_MOUSE	NaN
TBA1C_MOUSE	NaN
S10AB_MOUSE	NaN
DIC_MOUSE	1.6777
I23O2_MOUSE	NaN
IIGP1_MOUSE	NaN
MPP6_MOUSE	-2.9895
CAPZB_MOUSE	NaN
ALG5_MOUSE	NaN
HECD1_MOUSE	12.294
PVRL2_MOUSE	11.0286
FADS1_MOUSE	3.031
PTPA_MOUSE	NaN
ATPO_MOUSE	NaN
FADS2_MOUSE	-1.0188
