#label	score
SERC_MOUSE	NaN
RT4I1_MOUSE	NaN
TIM16_MOUSE	NaN
ACAD9_MOUSE	NaN
FKBP2_MOUSE	NaN
RT27_MOUSE	6.1132
DCAF8_MOUSE	3.3693
F10A1_MOUSE	NaN
RALY_MOUSE	NaN
GLYAT_MOUSE	NaN
ABCF1_MOUSE	NaN
STMN1_MOUSE	6.2205
CSDE1_MOUSE	NaN
SNX2_MOUSE	NaN
SNX1_MOUSE	NaN
ACBP_MOUSE	1.1551
UBE2K_MOUSE	NaN
EIF2A_MOUSE	NaN
CMC2_MOUSE	NaN
UBXN1_MOUSE	NaN
MTP_MOUSE	NaN
AADAT_MOUSE	NaN
D2HDH_MOUSE	NaN
TT39C_MOUSE	NaN
TXD17_MOUSE	NaN
ARL1_MOUSE	NaN
CY250_MOUSE	NaN
SAP_MOUSE	NaN
ITIH2_MOUSE	NaN
NP1L1_MOUSE	-1.6069
GALK1_MOUSE	NaN
TADBP_MOUSE	0.8898
PPIA_MOUSE	4.8403
PGP_MOUSE	0.7418
CATA_MOUSE	NaN
NUCG_MOUSE	NaN
A1CF_MOUSE	NaN
PDIP2_MOUSE	-3.0763
BT3L4_MOUSE	15.758
PEX1_MOUSE	8.3566
STIM1_MOUSE	NaN
AASS_MOUSE	NaN
BDH_MOUSE	NaN
PDCD5_MOUSE	8.8925
CX7A2_MOUSE	NaN
RMD3_MOUSE	2.4864
PNPO_MOUSE	NaN
ST1A1_MOUSE	NaN
GOGA2_MOUSE	NaN
HUTH_MOUSE	NaN
XYLB_MOUSE	NaN
HYKK_MOUSE	NaN
ISCU_MOUSE	NaN
FABPI_MOUSE	NaN
CP8B1_MOUSE	NaN
LKHA4_MOUSE	-2.9763
PRDX4_MOUSE	NaN
RUXG_MOUSE	NaN
DHRS4_MOUSE	NaN
SF01_MOUSE	1.8784
AFG31_MOUSE	NaN
PECR_MOUSE	NaN
TNPO1_MOUSE	NaN
ACYP1_MOUSE	NaN
TBA1C_MOUSE	NaN
S10AB_MOUSE	NaN
HNRLL_MOUSE	31.8223
DIC_MOUSE	NaN
I23O2_MOUSE	NaN
IIGP1_MOUSE	NaN
