#label	score
RUXG_MOUSE	NaN
ROA1_MOUSE	NaN
H10_MOUSE	NaN
HMCS1_MOUSE	NaN
PGK1_MOUSE	NaN
ATP5L_MOUSE	NaN
NDUAC_MOUSE	NaN
RL12_MOUSE	NaN
BHMT1_MOUSE	NaN
RL7A_MOUSE	NaN
PSME1_MOUSE	NaN
MOCS1_MOUSE	NaN
HNRPQ_MOUSE	NaN
TCPD_MOUSE	NaN
ERAP1_MOUSE	NaN
RS2_MOUSE	NaN
IDI1_MOUSE	NaN
HNRPD_MOUSE	NaN
NTF2_MOUSE	NaN
RL14_MOUSE	NaN
SSRD_MOUSE	NaN
GSLG1_MOUSE	NaN
SELB_MOUSE	NaN
MUTA_MOUSE	NaN
NH2L1_MOUSE	NaN
TPIS_MOUSE	NaN
SYMC_MOUSE	NaN
F10A1_MOUSE	NaN
PSA2_MOUSE	NaN
GSTP1_MOUSE	66.4137
TOM70_MOUSE	NaN
TCEA1_MOUSE	NaN
MYL6_MOUSE	NaN
DDX6_MOUSE	NaN
RS30_MOUSE	NaN
RUXE_MOUSE	NaN
IQGA1_MOUSE	NaN
G3BP2_MOUSE	NaN
PA1B2_MOUSE	NaN
AP2A1_MOUSE	NaN
IF4B_MOUSE	NaN
SEPT7_MOUSE	NaN
IDH3A_MOUSE	NaN
MGLL_MOUSE	NaN
RAB1A_MOUSE	NaN
SAHH_MOUSE	42.0082
IF4A1_MOUSE	NaN
NP1L1_MOUSE	NaN
SYIC_MOUSE	NaN
ARHGC_MOUSE	NaN
RS13_MOUSE	NaN
RS24_MOUSE	NaN
RL10_MOUSE	NaN
PDC10_MOUSE	NaN
RRF2M_MOUSE	NaN
PSA3_MOUSE	NaN
ATPK_MOUSE	NaN
HGD_MOUSE	NaN
CUL2_MOUSE	NaN
CP240_MOUSE	NaN
SYWC_MOUSE	NaN
MANF_MOUSE	NaN
IF4G2_MOUSE	NaN
CYC_MOUSE	NaN
CYB5_MOUSE	NaN
SPCS1_MOUSE	5.6947
UBP7_MOUSE	NaN
ARLY_MOUSE	NaN
PSME2_MOUSE	NaN
UBP10_MOUSE	NaN
RL27A_MOUSE	NaN
HUTH_MOUSE	NaN
RAB9A_MOUSE	NaN
UBE2K_MOUSE	NaN
CMC1_MOUSE	NaN
NDUV2_MOUSE	NaN
SF01_MOUSE	NaN
FAF2_MOUSE	NaN
VPS29_MOUSE	NaN
ECHA_MOUSE	NaN
RS20_MOUSE	NaN
GGCT_MOUSE	NaN
STAT3_MOUSE	NaN
HNRPM_MOUSE	NaN
PFD2_MOUSE	NaN
PHB_MOUSE	NaN
GLPK_MOUSE	-8.4007
MPC1_MOUSE	NaN
DPM1_MOUSE	NaN
COPA_MOUSE	NaN
PPIA_MOUSE	NaN
GPD1L_MOUSE	NaN
DERL2_MOUSE	NaN
NDKA_MOUSE	NaN
HOT_MOUSE	NaN
EF1B_MOUSE	NaN
RL13A_MOUSE	NaN
RM15_MOUSE	NaN
NDUB5_MOUSE	NaN
ARPC4_MOUSE	NaN
ACBP_MOUSE	NaN
I23O2_MOUSE	NaN
PDCD5_MOUSE	NaN
CGL_MOUSE	-8.9427
G3P_MOUSE	-1.472
STT3A_MOUSE	NaN
MOES_MOUSE	NaN
GLO2_MOUSE	NaN
AT5F1_MOUSE	NaN
NDUBB_MOUSE	NaN
RM39_MOUSE	3.1685
COF1_MOUSE	NaN
SNP23_MOUSE	NaN
RPN2_MOUSE	NaN
ARL1_MOUSE	NaN
RANG_MOUSE	NaN
