#node	score1
GNAI3_MOUSE	-9.9551
APOH_MOUSE	-7.2781
COX5A_MOUSE	-9.6496
ARP2_MOUSE	-9.0729
DHSD_MOUSE	-4.9931
COMT_MOUSE	-9.8004
ODB2_MOUSE	-9.3242
MCM7_MOUSE	-9.0398
RADI_MOUSE	-7.5674
3HAO_MOUSE	-6.5525
RAB5B_MOUSE	-2.8374
RL13_MOUSE	-8.9263
DDX3X_MOUSE	-9.6893
AOXA_MOUSE	-9.5034
PDIP2_MOUSE	-9.9864
FTCD_MOUSE	-9.9364
SYYC_MOUSE	-9.6192
SYHC_MOUSE	-8.6764
TCPG_MOUSE	-9.9894
IMB1_MOUSE	-8.3327
PSA_MOUSE	-9.6229
RM10_MOUSE	-8.252
CP51A_MOUSE	5.1401
TBB6_MOUSE	-4.734
AFG31_MOUSE	-9.8812
ITA3_MOUSE	-9.7894
PLAK_MOUSE	-7.7623
GSTT1_MOUSE	-9.7544
MCA3_MOUSE	-3.6556
COASY_MOUSE	-9.9139
PABP1_MOUSE	-7.261
CPNS1_MOUSE	-4.9782
CLPB_MOUSE	-9.5644
UBA1_MOUSE	-8.9111
EMD_MOUSE	-9.9119
BIEA_MOUSE	-7.9293
SF3A1_MOUSE	-8.965
NDUAB_MOUSE	-9.2892
SMD1_MOUSE	-2.655
PON1_MOUSE	-9.4439
CLPP_MOUSE	-9.0468
XPO2_MOUSE	-9.9777
YKT6_MOUSE	-9.189
GNMT_MOUSE	-7.9942
TIM44_MOUSE	-9.6424
AP2A2_MOUSE	-7.8849
APOE_MOUSE	-8.7196
APOC2_MOUSE	-2.3775
CP2F2_MOUSE	-9.7707
RAB8A_MOUSE	-6.7312
CP2CT_MOUSE	-8.8633
ATPD_MOUSE	-9.8875
PPP5_MOUSE	-9.2434
GLU2B_MOUSE	-9.5815
RS11_MOUSE	-8.9008
INMT_MOUSE	-6.8726
SYG_MOUSE	-6.4648
TPM4_MOUSE	-1.3541
PROD_MOUSE	-9.6317
KLC4_MOUSE	-9.7544
SYFA_MOUSE	-9.685
GCDH_MOUSE	-6.1312
CALR_MOUSE	-9.2744
RL8_MOUSE	-9.6477
GSTM5_MOUSE	-8.9589
GSTM4_MOUSE	-1.3341
GSTM7_MOUSE	-9.6884
GSTM1_MOUSE	23.6615
EIF3G_MOUSE	-5.6748
ADH1_MOUSE	12.6462
PHB2_MOUSE	-9.351
PTN6_MOUSE	-9.6858
RS5_MOUSE	2.2046
BID_MOUSE	-9.9746
DJB11_MOUSE	5.0574
